,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,14.47,0,0.57,0.04,Artifact,Weak,,,31,4.75,0.2,3.64,8.99,Compound,None,,,61,3.65,0.1,3.47,4.93,Compound,None,,,91,3.23,0.2,2,4.72,Artifact,Weak,,,121,2.66,0.1,1.21,2.23,Solvent,Weak + C13_Sat,,,151,1.77,0,1.01,0.4,Compound,None,,
2,13,0,0.51,0.05,Artifact,Weak,,,32,4.73,0,2.75,0.93,Impurity,None,,,62,3.64,0.1,3.55,3.87,Compound,None,,,92,3.22,0.1,2.29,2.68,Artifact,Weak,,,122,2.59,0,7.31,0.81,Artifact,Weak,,,152,1.75,0,1.87,0.35,Compound,None,,
3,11.81,0,0.56,0.06,Artifact,Weak,,,33,4.67,0,4.66,0.97,Impurity,None,,,63,3.64,0.1,1.75,2.13,Compound,None,,,93,3.22,0.1,2.11,2.92,Artifact,Weak,,,123,2.56,0,0.77,0.29,Artifact,Weak,,,153,1.47,0,11.58,2.31,Compound,None,,
4,10.25,0,0.42,0.03,Artifact,Weak,,,34,4.66,0,2,0.32,Impurity,Weak,,,64,3.63,0.1,2.45,4.36,Compound,None,,,94,3.21,0.1,2.11,2.76,Artifact,Weak,,,124,2.53,0.3,11.45,32.08,Artifact,Weak,,,154,1.36,0,1.08,0.13,Artifact,Weak,,
5,10.2,0,2.11,1.08,Compound,None,,,35,4.63,0,4.16,2.48,Compound,None,,,65,3.62,0.1,1.88,1.69,Compound,None,,,95,3.16,0.1,2.36,2.63,Compound,None,,,125,2.52,0.3,1.02,3.39,Solvent,Weak,,,155,1.3,0,1.24,0.29,Impurity,None,,
6,8.44,0.2,9.65,28.72,Compound,None,,,36,4.61,0,3.23,2.13,Compound,None,,,66,3.61,0,0.8,0.07,Artifact,Weak,,,96,3.15,0.1,2.01,1.98,Compound,None,,,126,2.52,0.2,0.67,1.98,Solvent,Weak,,,156,1.28,0,0.97,0.37,Impurity,None,,
7,8,0,0.58,0.05,Artifact,Weak,,,37,4.59,0.3,3.16,13.04,Compound,None,,,67,3.61,0,1.41,0.26,Compound,None,,,97,3.14,0.1,2.13,1.38,Compound,None,,,127,2.51,24.8,1.18,348.66,Solvent,None,,,157,1.26,0,1.01,0.32,Compound,None,,
8,7.69,0,2.31,0.39,Impurity,None,,,38,4.57,0.3,2.61,9.19,Compound,None,,,68,3.59,0,0.89,0.13,Impurity,Weak,,,98,3.13,0.2,6.21,16.87,Compound,None,,,128,2.5,58.8,1.35,1027.55,Solvent,None,,,158,1.24,0.1,25.15,26.53,Compound,None,,
9,7.4,0,3.07,0.34,Artifact,Weak,,,39,4.48,0,2.99,1.37,Compound,None,,,69,3.58,0.1,4.98,9.38,Compound,None,,,99,3.13,0.1,2.79,3.72,Compound,None,,,129,2.5,86.5,1.39,1569.35,Solvent,None,,,159,1.23,0.4,2.74,12.65,Compound,None,,
10,7.38,0,0.54,0.1,Impurity,Weak,,,40,4.47,0.1,2.73,2.43,Compound,None,,,70,3.57,0.2,3.64,6.93,Compound,None,,,100,3.12,0.1,1.8,1.24,Compound,None,,,130,2.5,56.1,1.31,909.71,Solvent,None,,,160,1.18,0,1.59,0.17,Artifact,Weak,,
11,6.57,0.1,2.59,2.74,Compound,None,,,41,4.45,0.1,3.57,2.17,Compound,None,,,71,3.56,0.2,2.5,5.24,Compound,None,,,101,3.11,0.1,2.56,3.79,Compound,None,,,131,2.49,23.5,1.31,336.13,Solvent,None,,,161,1.15,0.1,3.5,2.08,Compound,None,,
12,6.56,0,0.67,0.08,Artifact,Weak,,,42,4.45,0,2.16,0.97,Compound,None,,,72,3.54,0.4,6.35,33.11,Compound,None,,,102,3.1,0.1,2.94,4.94,Compound,None,,,132,2.47,0,0.37,0.09,Artifact,Weak,,,162,1.12,0,1.01,0.11,Impurity,Weak,,
13,6.56,0.1,2.34,2.37,Compound,None,,,43,4.43,0,2.48,1.32,Compound,None,,,73,3.53,0.2,2.79,7,Compound,None,,,103,3.08,0,2.35,0.82,Compound,None,,,133,2.46,0,0.93,0.14,Artifact,Weak,,,163,1.11,0,2.47,0.48,Impurity,None,,
14,6.2,0.1,2.53,2.28,Compound,None,,,44,4.41,0,2.29,0.85,Compound,None,,,74,3.53,0.1,3.17,5.23,Compound,None,,,104,3.08,0,1.66,0.51,Compound,None,,,134,2.39,0,0.5,0.05,Artifact,Weak,,,164,1.1,0,0.87,0.09,Artifact,Weak,,
15,6.19,0.1,2.85,2.4,Compound,None,,,45,4.4,0,4.5,2.67,Compound,None,,,75,3.52,0.1,1.67,1.14,Compound,None,,,105,3.06,0,1.75,0.86,Compound,None,,,135,2.35,0,18.04,3.44,Compound,None,,,165,1.09,0,1.79,0.17,Compound,Weak,,
