,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,15.22,0,0.78,0.07,Artifact,Weak,,,24,2.33,0.4,1.35,6.34,Solvent,Weak + C13_Sat,,,47,1.14,0.1,1.4,1.22,Compound,None,,
2,8.32,0,1.16,0.29,Compound,None,,,25,2.33,0.5,1.21,7.46,Solvent,Weak + C13_Sat,,,48,1.05,0,0.38,0.03,Artifact,Weak,,
3,7.62,0,0.6,0.06,Artifact,Weak,,,26,2.32,0.3,1.4,5.73,Solvent,Weak + C13_Sat,,,49,1.02,0,4.25,1.26,Compound,None,,
4,7.23,0,0.73,0.06,Artifact,Weak,,,27,2.32,0.1,1.22,1.93,Solvent,Weak + C13_Sat,,,50,1,0,1.48,0.14,Compound,None,,
5,7.13,0,1.23,0.11,Artifact,Weak,,,28,2.26,0,1.67,0.14,Artifact,Weak,,,51,0.99,0,0.73,0.13,Compound,None,,
6,6.54,0,20.01,8.35,Compound,None,,,29,2.21,0,3.33,0.48,Compound,None,,,52,0.97,0,2.43,0.38,Compound,None,,
7,6.07,0,0.51,0.04,Artifact,Weak,,,30,2.2,0,3.18,0.23,Artifact,Weak,,,53,0.92,0,0.71,0.06,Artifact,Weak,,
8,3.41,0.4,32.91,130.81,Artifact,Weak,,,31,2.18,0,2.54,0.41,Compound,None,,,54,0.9,0,1,0.11,Artifact,Weak,,
9,3.39,0.3,11.77,43.21,Artifact,Weak,,,32,2.16,0,2.34,0.22,Artifact,Weak,,,55,0.87,0,4.22,0.8,Compound,None,,
10,2.68,0.1,1.22,2.06,Solvent,Weak + C13_Sat,,,33,2.07,0,0.88,0.09,Artifact,Weak,,,56,0.85,0,2.61,0.96,Compound,None,,
11,2.67,0.3,1.21,5.04,Solvent,Weak + C13_Sat,,,34,1.9,0.1,0.92,1.06,Compound,None,,,57,0.83,0,17.21,9.18,Compound,None,,
12,2.67,0.5,1.47,9.38,Solvent,Weak + C13_Sat,,,35,1.51,0,21.53,2.34,Compound,None,,,58,0.12,0.1,1.09,0.7,CS Reference,Weak + C13_Sat,,
13,2.66,0.3,1.28,5.71,Solvent,Weak + C13_Sat,,,36,1.36,0,0.8,0.08,Artifact,Weak,,,59,0.08,0,0.71,0.06,Compound,None,,
14,2.66,0.1,1.05,1.47,Solvent,Weak + C13_Sat,,,37,1.33,0,0.81,0.08,Artifact,Weak,,,60,0.07,0.4,1.76,9.7,Compound,None,,
15,2.64,0,0.49,0.04,Artifact,Weak,,,38,1.31,0,0.61,0.08,Compound,None,,,61,0.06,0,2.29,0.29,Compound,None,,
16,2.52,0.2,0.92,2.48,Solvent,Weak,,,39,1.3,0,1,0.2,Compound,None,,,62,0.05,0,1.36,0.32,Compound,None,,
17,2.52,0.2,0.69,1.47,Solvent,Weak,,,40,1.28,0,1.19,0.16,Compound,None,,,63,0,0,0.87,0.24,CS Reference,Weak,,
18,2.51,25.1,1.22,346.1,Solvent,None,,,41,1.26,0,1.12,0.19,Compound,None,,,64,-0.01,0,5.25,2.09,CS Reference,Weak,,
19,2.5,54.4,1.21,776.77,Solvent,None,,,42,1.24,0,8.9,4.82,Compound,None,,,65,-0.02,0.3,1.62,6.23,CS Reference,None,,
20,2.5,92.2,1.54,1920.54,Solvent,None,,,43,1.23,0.3,2.74,9.37,Compound,None,,,66,-0.03,12.9,0.88,133.06,CS Reference,None,,
21,2.5,54.5,1.14,754.11,Solvent,None,,,44,1.18,0,1.91,0.16,Compound,None,,,67,-0.04,0.3,0.78,2.91,CS Reference,None,,
22,2.49,23.7,1.25,329.73,Solvent,None,,,45,1.16,0,1.34,0.14,Compound,None,,,68,-0.18,0.1,1.07,0.8,CS Reference,Weak + C13_Sat,,
23,2.34,0.1,1.13,1.95,Solvent,Weak + C13_Sat,,,46,1.15,0.2,2.93,6.06,Compound,None,,,69,-1.23,0,0.47,0.03,Artifact,Weak,,
