,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,15.35,0,0.57,0.05,Artifact,Weak,,,28,2.67,0.5,1.39,9.28,Solvent,Weak + C13_Sat,,,55,1.23,0.2,4.09,12.55,Compound,None,,
2,15.09,0,0.72,0.06,Artifact,Weak,,,29,2.66,0.3,1.37,5.9,Solvent,Weak + C13_Sat,,,56,1.15,0.1,2.23,2.57,Compound,None,,
3,14.6,0,1,0.07,Artifact,Weak,,,30,2.66,0.1,1.25,2.04,Solvent,Weak + C13_Sat,,,57,1.15,0.1,1.79,2.92,Compound,None,,
4,13.69,0,0.96,0.06,Artifact,Weak,,,31,2.53,0.4,12.63,58.99,Artifact,Weak,,,58,1.14,0.1,2.07,2.45,Compound,None,,
5,12.56,0,0.45,0.04,Artifact,Weak,,,32,2.52,0.2,0.7,1.37,Solvent,Weak,,,59,1.13,0.1,50.38,47.76,Compound,None,,
6,8.28,0,1.24,0.11,Artifact,Weak,,,33,2.52,1.5,8,163.3,Solvent,Weak,,,60,1.13,0.2,114.07,283.27,Compound,None,,
7,8.11,0,0.54,0.05,Artifact,Weak,,,34,2.51,24.2,1.22,373.1,Solvent,None,,,61,1.11,0,16.2,3.43,Compound,None,,
8,7.59,0,0.86,0.06,Artifact,Weak,,,35,2.5,58.5,1.42,1127.67,Solvent,None,,,62,1.05,0.1,4.63,3.59,Impurity,None,,
9,7.3,0,645.99,60.76,Compound,None,,,36,2.5,83.4,1.46,1591.75,Solvent,None,,,63,1.03,0.1,4.27,3.21,Impurity,None,,
10,7.25,0,0.54,0.04,Artifact,Weak,,,37,2.5,55.1,1.31,924.58,Solvent,None,,,64,1.02,0,3.14,1.07,Impurity,None,,
11,7.14,0,0.5,0.04,Artifact,Weak,,,38,2.49,25.5,1.36,451.32,Solvent,None,,,65,1,0,0.87,0.1,Impurity,Weak,,
12,7.03,0.2,96.67,225.97,Compound,None,,,39,2.34,0.1,1.26,2.18,Solvent,Weak + C13_Sat,,,66,1,0,1.63,0.2,Impurity,Weak,,
13,6.81,0,0.54,0.04,Artifact,Weak,,,40,2.33,0.3,1.41,6.17,Solvent,Weak + C13_Sat,,,67,0.99,0,0.81,0.16,Impurity,Weak,,
14,6.74,0,0.9,0.1,Artifact,Weak,,,41,2.33,0.5,1.41,8.72,Solvent,Weak + C13_Sat,,,68,0.99,0,0.65,0.12,Impurity,Weak,,
15,6.62,0,1.53,0.17,Impurity,Weak,,,42,2.32,0.3,1.43,6.15,Solvent,Weak + C13_Sat,,,69,0.97,0,1.55,0.25,Impurity,Weak,,
16,6.53,0.1,2.72,3.51,Impurity,None,,,43,2.32,0.1,1.22,1.98,Solvent,Weak + C13_Sat,,,70,0.97,0,0.72,0.09,Impurity,Weak,,
17,6.22,0,2.63,1.22,Impurity,None,,,44,2.23,0,0.5,0.04,Artifact,Weak,,,71,0.85,0,1.38,0.31,Impurity,Weak,,
18,6.02,0,1.42,0.14,Artifact,Weak,,,45,2.18,0,1.71,0.31,Impurity,Weak,,,72,0.83,0.1,35.03,30.19,Compound,None,,
19,5.82,0,3.36,1.16,Impurity,None,,,46,2.16,0,2.09,0.12,Artifact,Weak,,,73,0.07,0.4,1.97,9.79,CS Reference,None,,
20,5.75,0,2.9,1.54,Impurity,None,,,47,2.06,0,0.81,0.07,Artifact,Weak,,,74,0.06,0,1.02,0.15,CS Reference,Weak,,
21,5.42,0,6.04,1.03,Impurity,None,,,48,2.04,0,46.66,26.46,Compound,None,,,75,0.05,0,1.9,0.54,CS Reference,None,,
22,4.83,0.1,289.07,343.58,Compound,None,,,49,1.91,0.1,0.79,0.67,Impurity,None,,,76,0,0,3.04,0.85,Impurity,None,,
23,3.67,0.1,169.86,148.28,Compound,None,,,50,1.84,0.1,63.75,113.37,Compound,None,,,77,-0.06,0.1,0.79,0.9,Impurity,None,,
24,3.5,0.1,2.73,3.3,Impurity,Weak,,,51,1.8,0,0.63,0.06,Impurity,Weak,,,78,-0.08,0,1.65,0.19,Impurity,Weak,,
25,3.49,0,13.62,4.72,Artifact,Weak,,,52,1.3,0,1.07,0.22,Impurity,Weak,,,79,-0.53,0,0.58,0.04,Artifact,Weak,,
26,2.68,0.1,1.31,2.44,Solvent,Weak + C13_Sat,,,53,1.28,0,0.86,0.13,Impurity,Weak,,,80,-0.87,0,0.8,0.06,Artifact,Weak,,
27,2.67,0.3,1.27,5.52,Solvent,Weak + C13_Sat,,,54,1.26,0,2.64,1.11,Impurity,None,,,81,-2.24,0,0.91,0.08,Artifact,Weak,,
