,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,14.35,0,0.65,0.06,Artifact,Weak,,,27,2.52,0.3,0.99,2.93,Solvent,Weak,,,53,1.3,0,1.66,0.22,Impurity,Weak,,,79,0.83,0.1,20.53,21.18,Compound,None,,
2,14.23,0,0.55,0.04,Artifact,Weak,,,28,2.52,1.6,2.03,36.1,Solvent,None,,,54,1.26,0,2.45,1.16,Impurity,None,,,80,0.75,0,1.11,0.07,Artifact,Weak,,
3,13.24,0,0.75,0.06,Artifact,Weak,,,29,2.51,30,1.49,576.05,Solvent,None,,,55,1.25,0,1.27,0.14,Artifact,Weak,,,81,0.2,0,0.82,0.12,Impurity,Weak,,
4,10.27,0,0.64,0.05,Artifact,Weak,,,30,2.5,62.1,1.49,1181.29,Solvent,None,,,56,1.25,0,2.03,0.77,Compound,None,,,82,0.18,0,1.09,0.09,Artifact,Weak,,
5,10.13,0,1.15,0.08,Artifact,Weak,,,31,2.5,85.3,1.45,1526.86,Solvent,None,,,57,1.24,0.1,2.06,1.45,Compound,None,,,83,0.13,0.1,0.85,0.6,Impurity,None,,
6,9.37,0,0.81,0.08,Artifact,Weak,,,32,2.5,53.9,1.31,808.9,Solvent,None,,,58,1.23,0.4,3.4,18.02,Compound,None,,,84,0.12,0.1,1.2,0.89,CS Reference,Weak + C13_Sat,,
7,8.49,0,2.59,0.45,Impurity,Weak,,,33,2.49,22.3,1.34,316.79,Solvent,None,,,59,1.18,0,1.76,0.25,Impurity,Weak,,,85,0.08,0,0.81,0.35,Impurity,Weak,,
8,8.36,0,0.54,0.04,Artifact,Weak,,,34,2.42,0.1,173.6,302.43,Artifact,Weak,,,60,1.16,0,1.8,0.27,Impurity,Weak,,,86,0.08,0,1.98,0.83,Compound,None,,
9,8.32,0,0.81,0.4,Impurity,Weak,,,35,2.34,0.2,1.49,3.63,Solvent,Weak + C13_Sat,,,61,1.15,0.1,2.12,3.2,Compound,None,,,87,0.07,0.7,1.83,14.46,Compound,None,,
10,7.88,0,0.62,0.06,Artifact,Weak,,,36,2.33,0.3,1.36,6.07,Solvent,Weak + C13_Sat,,,62,1.15,0.1,1.82,3.38,Compound,None,,,88,0.06,0.1,2.94,4.13,Compound,None,,
11,7.85,0,0.44,0.05,Artifact,Weak,,,37,2.33,0.5,1.45,9.74,Solvent,Weak + C13_Sat,,,63,1.14,0.1,1.5,1.7,Compound,None,,,89,0.06,0,1.41,0.7,Compound,None,,
12,7.08,0,16.07,2.07,Compound,None,,,38,2.32,0.3,1.31,5.25,Solvent,Weak + C13_Sat,,,64,1.14,0,1.05,0.21,Impurity,Weak,,,90,0.05,0.1,1.78,2.29,Compound,None,,
13,6.83,0,12.33,2.64,Compound,None,,,39,2.32,0.1,1.24,1.94,Solvent,Weak + C13_Sat,,,65,1.1,0,1.18,0.31,Impurity,Weak,,,91,0.04,0,1.4,0.6,Compound,None,,
14,6.56,0.1,6.96,5.78,Compound,None,,,40,2.29,0,0.52,0.05,Artifact,Weak,,,66,1.05,0,1.06,0.13,Artifact,Weak,,,92,0.04,0,0.96,0.52,Compound,Weak,,
15,6.06,0,0.71,0.07,Artifact,Weak,,,41,2.16,0,3.94,0.77,Impurity,Weak,,,67,1.04,0,1.83,0.24,Impurity,Weak,,,93,0.01,0,0.99,0.18,CS Reference,Weak,,
16,5.49,0,0.52,0.05,Artifact,Weak,,,42,2.09,0,1.16,0.09,Artifact,Weak,,,68,1.02,0,8.11,1.2,Impurity,Weak,,,94,0,0,0.71,0.1,CS Reference,Weak,,
17,5.43,0,3.69,0.57,Impurity,Weak,,,43,2.07,0,0.92,0.08,Artifact,Weak,,,69,1.01,0,0.74,0.05,Artifact,Weak,,,95,0,0.1,0.84,0.99,CS Reference,None,,
18,4.13,0,0.61,0.06,Artifact,Weak,,,44,2.03,0,0.89,0.13,Impurity,Weak,,,70,1,0,1.66,0.21,Impurity,Weak,,,96,-0.01,0.1,0.64,1.21,CS Reference,Weak,,
19,3.82,0,1.01,0.47,Impurity,Weak,,,45,2.02,0,0.96,0.36,Impurity,Weak,,,71,0.99,0,0.67,0.1,Impurity,Weak,,,97,-0.02,0.6,1.77,11.48,CS Reference,None,,
20,3.51,0,2.5,1.52,Impurity,None,,,46,1.88,0,1.9,0.99,Impurity,None,,,72,0.98,0,0.51,0.06,Artifact,Weak,,,98,-0.03,13.3,0.88,150.62,CS Reference,None,,
