,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,8.12,0,14.66,2.44,Impurity,Weak,,,27,5.28,0,3.6,0.75,Impurity,Weak,,,53,4.31,0.1,11.59,11.51,Compound,None,,,79,3.53,0.4,20.44,100.13,Artifact,Weak,,,105,2.26,0,7.6,3.6,Artifact,Weak,,,131,1.48,0.1,9.77,5.97,Compound,None,,
2,7.89,0,7.55,1.38,Impurity,Weak,,,28,5.14,0,3.62,0.9,Impurity,Weak,,,54,4.28,0.1,3.7,3.25,Compound,None,,,80,3.52,0.2,11.32,33.68,Artifact,Weak,,,106,2.24,0,3.35,1.34,Artifact,Weak,,,132,1.46,0.1,7.76,6.36,Compound,None,,
3,7.86,0,6.99,1.03,Artifact,Weak,,,29,5.13,0,10.7,5.79,Compound,None,,,55,4.26,0.3,7.12,28.62,Compound,None,,,81,3.48,0.2,19.28,54.68,Artifact,Weak,,,107,2.22,0,4.11,1.32,Artifact,Weak,,,133,1.39,0,2.33,0.33,Artifact,Weak,,
4,7.77,0,2.62,0.36,Impurity,Weak,,,30,5.09,0,8.66,2.11,Compound,None,,,56,4.24,0.2,5.88,14.37,Compound,None,,,82,3.46,0.1,15.53,26.5,Artifact,Weak,,,108,2.2,0.2,5.43,11.21,Artifact,Weak,,,134,1.33,0,4.57,0.59,Artifact,Weak,,
5,7.59,0,11.24,1.53,Impurity,Weak,,,31,5.07,0.1,26.68,43.17,Compound,None,,,57,4.22,0.1,5.11,3.31,Artifact,Weak,,,83,3.44,0.6,49.89,384.1,Artifact,Weak,,,109,2.18,0.3,5.23,20.29,Artifact,Weak,,,135,1.29,0.1,27.37,29.06,Compound,None,,
6,7.42,0,3.85,1.06,Impurity,Weak,,,32,5.02,0,4.22,0.55,Impurity,Weak,,,58,4.21,0.1,5.55,5.5,Artifact,Weak,,,84,3.43,0.4,25.93,97.99,Artifact,Weak,,,110,2.16,0.1,4.28,7.75,Artifact,Weak,,,136,1.27,0.2,22.25,49.24,Compound,None,,
7,7.15,0.1,188.83,131.91,Compound,None,,,33,4.99,0.1,32.09,49.99,Compound,None,,,59,4.2,0,4.16,1.25,Artifact,Weak,,,85,3.18,1.7,102.39,1700.97,Compound,None,,,111,2.12,0.1,9.6,7.35,Artifact,Weak,,,137,1.26,0.3,12.18,50.32,Compound,None,,
8,6.67,0,13.46,2.06,Impurity,Weak,,,34,4.96,0.1,17.58,21.76,Compound,None,,,60,4.13,0.1,5.4,4.83,Artifact,Weak,,,86,3.1,0.2,9.92,35.09,Artifact,Weak,,,112,2.11,0.1,10.92,7.69,Artifact,Weak,,,138,1.25,0.3,8.01,32.91,Compound,None,,
9,6.65,0,6.24,1.57,Impurity,Weak,,,35,4.91,0.1,4.56,4.39,Compound,None,,,61,4.11,0.1,8.59,13.93,Artifact,Weak,,,87,3.08,0.2,5.45,11.39,Artifact,Weak,,,113,2.09,0.1,4.03,8.12,Artifact,Weak,,,139,1.23,0.2,7.61,20.37,Compound,None,,
10,6.55,0.3,14.19,63.26,Compound,None,,,36,4.9,0.3,6.76,27.4,Compound,None,,,62,3.99,0,12.1,1.68,Artifact,Weak,,,88,3.06,0.2,5.07,10.24,Artifact,Weak,,,114,2.08,0,2.84,0.81,Artifact,Weak,,,140,1.19,0.1,9.38,9.09,Compound,None,,
11,6.48,0,28.29,5.44,Compound,None,,,37,4.89,0.3,9.85,32.23,Compound,None,,,63,3.97,0,7.65,3.37,Artifact,Weak,,,89,3.04,0.6,13.34,93.66,Compound,None,,,115,2.07,0,6.38,2.96,Artifact,Weak,,,141,1.16,0.3,21.29,77.43,Compound,None,,
12,6.47,0,3.42,0.69,Impurity,Weak,,,38,4.87,0.1,9.59,14.81,Compound,None,,,64,3.96,0,5.48,2.61,Artifact,Weak,,,90,3.01,0.4,21.63,110.75,Compound,None,,,116,2.06,0.1,5.51,5.81,Artifact,Weak,,,142,1.14,0.2,7.72,14.87,Compound,None,,
13,6.46,0,5.6,1.75,Impurity,Weak,,,39,4.85,0,5.35,2.12,Compound,Weak,,,65,3.89,0.1,7.32,5.17,Artifact,Weak,,,91,2.9,0.1,8.72,11.75,Artifact,Weak,,,117,2.04,0,7.47,3.3,Artifact,Weak,,,143,1.13,0.3,11.13,34.68,Compound,None,,
14,6.37,0.1,15.69,17.43,Compound,None,,,40,4.81,0.9,12.17,125.01,Compound,None,,,66,3.87,0,11.4,1.88,Artifact,Weak,,,92,2.88,0.3,9.97,31.82,Artifact,Weak,,,118,2.03,0,8.15,4.98,Artifact,Weak,,,144,1.11,0.5,9.78,62.78,Compound,None,,
15,6.32,0,21.88,6.27,Compound,None,,,41,4.75,0.1,6.3,7.94,Compound,None,,,67,3.81,0,5.26,0.95,Artifact,Weak,,,93,2.86,0.1,6.17,4.27,Artifact,Weak,,,119,2.02,0.1,13.35,14.08,Compound,None,,,145,1.09,0.3,7.19,29.93,Compound,None,,
16,6.18,0.3,9.45,30.53,Compound,None,,,42,4.74,0.4,12.88,63.92,Compound,None,,,68,3.8,0.2,14.55,32.27,Artifact,Weak,,,94,2.67,0.5,8.49,56.65,Solvent,Weak + C13_Sat,,,120,1.98,0,5.7,1.01,Artifact,Weak,,,146,1.08,0.1,7.54,15.27,Compound,None,,
17,6.15,0.1,22.03,14.19,Compound,None,,,43,4.71,0.1,19.91,32.65,Compound,None,,,69,3.78,0,22.17,11.17,Artifact,Weak,,,95,2.64,0.1,68.27,72.45,Artifact,Weak,,,121,1.91,0.1,3.44,3.62,Impurity,None,,,147,1.06,0.3,20.71,90.63,Compound,None,,
18,6.12,0,13.92,4.5,Impurity,None,,,44,4.61,0.3,24.28,102.64,Compound,None,,,70,3.76,0,13.47,8.8,Artifact,Weak,,,96,2.59,0.5,43.67,231.52,Artifact,Weak,,,122,1.87,0.2,71.35,160.29,Compound,None,,,148,1.04,0.1,6.3,5.36,Compound,None,,
19,6.05,0,7.32,2.08,Impurity,None,,,45,4.57,0,7.45,1.76,Impurity,Weak,,,71,3.75,0,9.73,1.06,Artifact,Weak,,,97,2.5,99.8,7.58,8416.05,Solvent,None,,,123,1.84,0.2,13.92,41.08,Compound,None,,,149,0.9,0,3.93,0.78,Impurity,Weak,,
20,6.01,0.1,2.91,2.52,Impurity,None,,,46,4.54,0,13.33,4.88,Impurity,None,,,72,3.69,0.1,80.64,95.41,Artifact,Weak,,,98,2.41,0.5,4.4,29.02,Artifact,Weak,,,124,1.82,0.3,7.68,34.13,Compound,None,,,150,0.87,0.1,26.23,30.77,Compound,None,,
21,5.94,0,51,19.46,Compound,None,,,47,4.46,0.2,17.42,47.27,Compound,None,,,73,3.67,0.2,8.04,17.42,Artifact,Weak,,,99,2.39,0,4.86,1.18,Artifact,Weak,,,125,1.81,0.1,7.63,14.13,Compound,None,,,151,0.85,0.1,30.23,30.15,Compound,None,,
22,5.76,0,24.5,2.71,Artifact,Weak,,,48,4.43,0.3,17.41,58.93,Compound,None,,,74,3.64,0.2,10.41,27.54,Artifact,Weak,,,100,2.37,0,4.98,1.99,Artifact,Weak,,,126,1.78,0.1,42.27,66.62,Compound,None,,,152,0.84,0.1,17.14,12.4,Compound,None,,
23,5.53,0,16.1,2.77,Impurity,Weak,,,49,4.42,0,11.26,5.25,Compound,None,,,75,3.6,0.6,46.96,410.31,Compound,None,,,101,2.36,0,3.2,0.87,Artifact,Weak,,,127,1.77,0,4.26,0.62,Artifact,Weak,,,153,0.81,0,13.02,7.2,Compound,None,,
24,5.36,0,17.67,5.37,Impurity,None,,,50,4.39,0.3,18.76,66.14,Compound,None,,,76,3.59,1,114.03,1633.54,Compound,None,,,102,2.33,0.5,8.1,51.39,Solvent,Weak + C13_Sat,,,128,1.75,0.1,4.57,5.34,Impurity,None,,,154,0.13,0,32.58,4.63,Impurity,Weak,,
25,5.32,0,68.07,17.17,Compound,None,,,51,4.34,0.2,19.12,55.18,Compound,None,,,77,3.57,0.1,3.91,5.58,Artifact,Weak,,,103,2.3,0,2.73,0.82,Artifact,Weak,,,129,1.72,0,8.75,3.94,Impurity,None,,,155,0.07,0,3.69,1.74,Impurity,None,,
26,5.31,0,20.12,10.72,Compound,None,,,52,4.33,0.1,18.96,26.86,Compound,None,,,78,3.55,0,5.08,2.67,Artifact,Weak,,,104,2.28,0,1.83,0.28,Artifact,Weak,,,130,1.49,0.2,19.1,38.57,Compound,None,,,,,,,,,,,
