,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,7.88,0,5.52,1.48,Impurity,Weak,,,30,5.14,0.1,20.47,21.49,Compound,None,,,59,4.35,0.2,11.07,31.36,Compound,None,,,88,3.56,1.8,153.68,3557.71,Compound,None,,,117,2.3,0,2.36,1.12,Artifact,Weak,,,146,1.46,0.1,8.09,9.83,Compound,None,,
2,7.76,0,4.45,0.68,Impurity,Weak,,,31,5.13,0,4.78,0.73,Artifact,Weak,,,60,4.33,0.3,15.03,60.49,Compound,None,,,89,3.54,0.5,12.43,81.53,Artifact,Weak,,,118,2.28,0.1,5.07,3.8,Artifact,Weak,,,147,1.39,0,5,2.41,Impurity,Weak,,
3,7.68,0,9.89,1.37,Artifact,Weak,,,32,5.11,0,2.77,0.59,Artifact,Weak,,,61,4.3,0.1,7.75,9.74,Artifact,Weak,,,90,3.53,0.5,7.8,43.17,Artifact,Weak,,,119,2.26,0.1,4.52,5.89,Artifact,Weak,,,148,1.38,0,6.85,1.52,Impurity,Weak,,
4,7.6,0,9.01,2.53,Impurity,Weak,,,33,5.1,0.1,6.91,5.96,Compound,None,,,62,4.28,0.1,3.66,5.43,Artifact,Weak,,,91,3.46,0,12.82,8.72,Artifact,Weak,,,120,2.24,0.1,5.31,3.19,Artifact,Weak,,,149,1.29,0.2,20.74,50.82,Compound,None,,
5,7.57,0,13.71,2.14,Artifact,Weak,,,34,5.08,0.1,12.11,18.16,Compound,None,,,63,4.26,0.5,7.8,52.64,Compound,None,,,92,3.45,0.2,136.12,326.63,Artifact,Weak,,,121,2.22,0,3.98,2.33,Artifact,Weak,,,150,1.27,0.3,9.88,30.8,Compound,None,,
6,7.42,0,3.55,0.72,Impurity,Weak,,,35,5.07,0.1,16.87,20.07,Compound,None,,,64,4.24,0.3,6.11,26.16,Compound,None,,,93,3.44,0.3,19.96,91,Artifact,Weak,,,122,2.2,0.3,4.77,18.41,Artifact,Weak,,,151,1.25,0.9,11.36,124.55,Compound,None,,
7,7.41,0,5.37,0.61,Artifact,Weak,,,36,5.05,0,17.78,10.22,Compound,None,,,65,4.22,0.1,8.81,13,Artifact,Weak,,,94,3.16,2,120.14,2237.27,Compound,None,,,123,2.18,0.5,4.94,34.92,Compound,None,,,152,1.23,0.1,4.85,7.53,Impurity,None,,
8,7.31,0,1.25,0.16,Artifact,Weak,,,37,5.02,0,5.49,2.79,Impurity,Weak,,,66,4.21,0.1,6.67,9.57,Artifact,Weak,,,95,3.12,0.2,6.41,12.7,Artifact,Weak,,,124,2.16,0.3,3.97,12.4,Artifact,Weak,,,153,1.2,0,11.33,7.91,Compound,None,,
9,7.04,0.1,138.05,83.41,Compound,None,,,38,4.99,0.2,31.49,83.76,Compound,None,,,67,4.19,0.1,7.84,5.37,Artifact,Weak,,,96,3.1,0.7,9.91,90.08,Compound,None,,,125,2.12,0.1,7.45,9.49,Artifact,Weak,,,154,1.19,0,6.44,4.17,Compound,None,,
10,6.82,0,6.62,1.29,Impurity,Weak,,,39,4.97,0.1,22.53,19.79,Compound,None,,,68,4.13,0.1,4.9,4.28,Artifact,Weak,,,97,3.08,0.4,5.27,21.31,Artifact,Weak,,,126,2.1,0.1,17.65,19.75,Artifact,Weak,,,155,1.17,0.3,33.97,127.11,Compound,None,,
11,6.67,0,5.68,1.83,Impurity,Weak,,,40,4.96,0.1,11.49,13.12,Compound,None,,,69,4.11,0.2,9.47,24.03,Compound,None,,,98,3.06,0.2,3.7,9.37,Artifact,Weak,,,127,2.09,0.2,3.76,9.93,Artifact,Weak,,,156,1.16,0.2,10.8,25.4,Compound,None,,
12,6.66,0,6.61,2.75,Impurity,Weak,,,41,4.94,0.1,9.46,9.36,Compound,None,,,70,4.04,0,9.72,2.69,Artifact,Weak,,,99,3.04,0.5,15.94,103.34,Compound,None,,,128,2.08,0,2.05,0.18,Artifact,Weak,,,157,1.14,0.3,9.52,38.48,Compound,None,,
13,6.64,0,10.17,1.53,Impurity,Weak,,,42,4.91,0.1,3.62,4.81,Compound,None,,,71,4.02,0.1,26.87,19.15,Artifact,Weak,,,100,3.03,0.6,10.23,68.17,Compound,None,,,129,2.07,0,5.39,1.75,Artifact,Weak,,,158,1.13,0.3,7.88,28.21,Compound,None,,
14,6.55,0.4,12.31,65.21,Compound,None,,,43,4.9,0.6,6.48,48.44,Compound,None,,,72,3.99,0,8.1,5.44,Artifact,Weak,,,101,3.01,0.4,11.04,61.31,Artifact,Weak,,,130,2.06,0.1,6.78,11.74,Artifact,Weak,,,159,1.11,0.6,8.6,70.66,Compound,None,,
15,6.5,0.1,44.75,46.86,Compound,None,,,44,4.89,0.4,6.06,28.79,Compound,None,,,73,3.97,0.1,10.58,10.79,Artifact,Weak,,,102,2.99,0,6.85,2,Artifact,Weak,,,131,2.02,0.1,21.71,34.78,Compound,None,,,160,1.09,0.5,7.5,49.88,Compound,None,,
16,6.36,0.1,18.64,21.72,Compound,None,,,45,4.88,0.2,5.15,17.08,Compound,None,,,74,3.95,0.1,9.61,12.88,Artifact,Weak,,,103,2.9,0.2,5.69,11.81,Artifact,Weak,,,132,1.98,0,10.85,3.76,Impurity,Weak,,,161,1.07,0.3,4.2,14.29,Compound,None,,
17,6.18,0.3,8.29,34.47,Compound,None,,,46,4.87,0.3,6.24,25.33,Compound,None,,,75,3.94,0,3.64,1.66,Artifact,Weak,,,104,2.88,0.5,9.97,63.51,Compound,None,,,133,1.91,0,2.79,1.5,Impurity,Weak,,,162,1.06,0.4,12.37,64.17,Compound,None,,
18,6.16,0.2,25.03,53.39,Compound,None,,,47,4.86,0.1,7.89,13.26,Compound,None,,,76,3.89,0.1,11.47,21.05,Artifact,Weak,,,105,2.86,0.1,6.22,10.24,Artifact,Weak,,,134,1.86,0.2,27.48,71.64,Compound,None,,,163,1.04,0.1,6.28,11.95,Compound,None,,
19,6.12,0,5.48,1.37,Impurity,Weak,,,48,4.81,1.5,13.66,241.79,Compound,None,,,77,3.87,0.1,48.07,55.96,Artifact,Weak,,,106,2.71,0,2.99,0.56,Artifact,Weak,,,135,1.84,0.2,11.66,39.37,Compound,None,,,164,1.02,0.1,17.53,17.31,Compound,None,,
20,6.05,0,7.24,2.78,Impurity,Weak,,,49,4.74,0.8,16.98,170.72,Compound,None,,,78,3.81,0.1,17.75,15.32,Artifact,Weak,,,107,2.67,0.5,7.78,45.16,Solvent,Weak + C13_Sat,,,136,1.82,0.3,6.02,28.45,Compound,None,,,165,1,0,2.8,0.68,Impurity,Weak,,
21,6.01,0.1,3.42,4.94,Impurity,None,,,50,4.7,0.2,33,57.25,Compound,None,,,79,3.8,0.1,6.05,11.28,Artifact,Weak,,,108,2.63,0,8.17,1.21,Artifact,Weak,,,137,1.81,0.2,5.92,12.23,Impurity,None,,,166,0.98,0,2.66,0.3,Artifact,Weak,,
22,5.76,0,2.53,0.36,Artifact,Weak,,,51,4.61,0.4,19.36,83.98,Compound,None,,,80,3.78,0.1,26.88,56.39,Artifact,Weak,,,109,2.61,0.3,64.46,198.56,Artifact,Weak,,,138,1.79,0.1,16.42,25.51,Compound,None,,,167,0.9,0.1,24.91,33.08,Compound,None,,
23,5.53,0,6.57,1.19,Artifact,Weak,,,52,4.58,0.1,8.36,10.2,Compound,None,,,81,3.76,0.1,14.86,27.42,Artifact,Weak,,,110,2.56,0.1,3.15,2.9,Artifact,Weak,,,139,1.77,0.1,6.59,5.77,Impurity,None,,,168,0.87,0.2,21.61,51.95,Compound,None,,
24,5.36,0.1,40.97,29.34,Compound,None,,,53,4.57,0.1,7.35,8.99,Compound,None,,,82,3.74,0.1,18.67,32.57,Artifact,Weak,,,111,2.5,99.8,7.21,8063.51,Solvent,None,,,140,1.75,0.1,4.57,6.66,Impurity,None,,,169,0.85,0.1,10.27,11.46,Compound,None,,
