,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,15.14,0,0.75,0.06,Artifact,Weak,,,27,4.57,0,2.04,0.31,Compound,None,,,53,2.38,0,0.59,0.04,Artifact,Weak,,
2,13.4,0,0.59,0.04,Artifact,Weak,,,28,4.35,0,2.24,0.25,Artifact,Weak,,,54,2.34,0.1,1.37,2.52,Solvent,Weak + C13_Sat,,
3,13.28,0,1.43,0.12,Artifact,Weak,,,29,4.33,0,1.75,0.34,Compound,None,,,55,2.33,0.3,1.19,5.22,Solvent,Weak + C13_Sat,,
4,11.32,0,0.43,0.04,Artifact,Weak,,,30,4.28,0,0.83,0.07,Artifact,Weak,,,56,2.33,0.5,1.32,9.06,Solvent,Weak + C13_Sat,,
5,11.1,0,0.73,0.05,Artifact,Weak,,,31,3.63,0,3.1,0.3,Artifact,Weak,,,57,2.32,0.3,1.22,5.17,Solvent,Weak + C13_Sat,,
6,8.83,0,0.72,0.05,Artifact,Weak,,,32,3.57,0,0.58,0.08,Impurity,None,,,58,2.32,0.1,1.21,1.88,Solvent,Weak + C13_Sat,,
7,8.72,0,0.52,0.04,Artifact,Weak,,,33,3.55,0,0.76,0.08,Artifact,Weak,,,59,2.21,0,7.19,0.71,Artifact,Weak,,
8,8.53,0,6.01,1.16,Compound,None,,,34,3.51,0,1.66,0.19,Compound,None,,,60,2,0,0.65,0.06,Artifact,Weak,,
9,7.63,0,0.64,0.05,Artifact,Weak,,,35,3.48,0,1.98,0.14,Artifact,Weak,,,61,1.87,0,8.5,0.84,Artifact,Weak,,
10,7.1,0,0.79,0.07,Impurity,Weak,,,36,3.47,0,1.43,0.13,Artifact,Weak,,,62,1.3,0,1.92,0.22,Compound,None,,
11,7.09,0,1.3,0.12,Artifact,Weak,,,37,3.13,0,1.98,0.17,Compound,None,,,63,1.28,0,0.88,0.22,Compound,None,,
12,6.55,0,1.66,0.21,Compound,None,,,38,3.06,0,69.8,7.35,Artifact,Weak,,,64,1.23,0.4,2.84,13.05,Compound,None,,
13,6.53,0,1.12,0.11,Artifact,Weak,,,39,3.03,0,4.45,0.28,Artifact,Weak,,,65,1.17,0,0.32,0.03,Artifact,Weak,,
14,6.28,0,0.65,0.04,Artifact,Weak,,,40,2.76,0,0.69,0.07,Artifact,Weak,,,66,1.15,0,3.11,1.73,Compound,None,,
15,5.38,0,0.99,0.1,Artifact,Weak,,,41,2.68,0.1,1.21,2.21,Solvent,Weak + C13_Sat,,,67,1.05,0,1.02,0.26,Compound,None,,
16,5.36,0,0.75,0.08,Artifact,Weak,,,42,2.67,0.3,1.27,5.58,Solvent,Weak + C13_Sat,,,68,1.03,0,3.37,0.37,Artifact,Weak,,
17,5.22,0,2.02,0.39,Compound,None,,,43,2.67,0.5,1.32,8.93,Solvent,Weak + C13_Sat,,,69,0.85,0,1.51,1.02,Compound,None,,
18,5.21,0,1.55,0.33,Compound,None,,,44,2.66,0.3,1.2,4.96,Solvent,Weak + C13_Sat,,,70,0.83,0,3.29,1.09,Compound,None,,
19,4.88,0,2.05,0.43,Compound,None,,,45,2.66,0.1,1.22,1.97,Solvent,Weak + C13_Sat,,,71,0.81,0,0.58,0.05,Artifact,Weak,,
20,4.87,0,1.93,0.46,Compound,None,,,46,2.52,0.3,1.2,5.08,Solvent,Weak,,,72,0.15,0,0.65,0.05,Artifact,Weak,,
21,4.82,0,1.05,0.17,Compound,None,,,47,2.52,0.3,1.06,4.49,Solvent,Weak,,,73,0.07,0,1.51,0.64,Compound,None,,
22,4.81,0,3.73,0.58,Compound,None,,,48,2.51,25,1.17,353.92,Solvent,None,,,74,-1.12,0,0.47,0.04,Artifact,Weak,,
23,4.76,0,1.43,0.33,Compound,None,,,49,2.5,63,1.32,1091.2,Solvent,None,,,75,-1.21,0,0.88,0.09,Artifact,Weak,,
24,4.75,0,3.82,1.03,Compound,None,,,50,2.5,85.7,1.23,1340.03,Solvent,None,,,76,-1.52,0,1.18,0.11,Artifact,Weak,,
25,4.74,0,1.4,0.22,Compound,None,,,51,2.5,57,1.25,916.38,Solvent,None,,,77,-1.76,0,0.67,0.04,Artifact,Weak,,
26,4.58,0,1.56,0.3,Compound,None,,,52,2.49,22.2,1.19,305.9,Solvent,None,,,,,,,,,,,
