,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,15.07,0,0.43,0.03,Artifact,Weak,,,31,2.5,71.1,2.05,1881.14,Solvent,None,,
2,14.13,0,0.9,0.07,Artifact,Weak,,,32,2.5,68.2,1.82,1540.73,Solvent,None,,
3,13.63,0,1.05,0.09,Artifact,Weak,,,33,2.49,42.8,1.98,1007.6,Solvent,None,,
4,12.34,0,0.58,0.04,Artifact,Weak,,,34,2.49,10.6,1.24,128.17,Compound,None,,
5,11.22,0,0.61,0.05,Artifact,Weak,,,35,2.44,0.1,11.99,8.18,Artifact,Weak,,
6,10.78,0,0.21,0.02,Artifact,Weak,,,36,2.41,0.1,19.4,13.79,Artifact,Weak,,
7,10.22,0,1.01,0.08,Artifact,Weak,,,37,2.38,0.1,196.12,344,Artifact,Weak,,
8,10.17,0,0.75,0.07,Artifact,Weak,,,38,2.36,0.1,28.49,15.48,Compound,None,,
9,9.28,0,0.41,0.03,Artifact,Weak,,,39,2.34,0,1.42,0.85,Solvent,Weak + C13_Sat,,
10,9.23,0,0.53,0.04,Artifact,Weak,,,40,2.33,0.2,2.14,6.54,Solvent,Weak + C13_Sat,,
11,8.99,0,0.89,0.1,Artifact,Weak,,,41,2.33,0.4,2.07,10.62,Solvent,Weak + C13_Sat,,
12,8.18,0,0.46,0.03,Artifact,Weak,,,42,2.32,0.4,1.89,9.76,Solvent,Weak + C13_Sat,,
13,7.57,0,0.52,0.04,Artifact,Weak,,,43,2.32,0.2,1.77,5.11,Solvent,Weak + C13_Sat,,
14,6.84,0,0.54,0.04,Artifact,Weak,,,44,2.31,0.1,1.35,0.86,Compound,Weak + C13_Sat,,
15,4.53,0,0.6,0.04,Artifact,Weak,,,45,2.28,0,0.82,0.06,Artifact,Weak,,
16,4.44,0,0.56,0.05,Artifact,Weak,,,46,1.5,0,0.42,0.04,Artifact,Weak,,
17,4.03,0,27.63,17.33,Compound,None,,,47,1.3,0,3.21,0.59,Impurity,None,,
18,3.29,0.1,2.88,3.03,Artifact,Weak,,,48,1.27,0,2.87,0.5,Compound,None,,
19,3.21,0.1,19.1,18.08,Compound,None,,,49,1.25,0,7.06,2.31,Compound,None,,
20,2.68,0.1,1.71,1.3,Solvent,Weak + C13_Sat,,,50,1.23,0.1,4.39,5.08,Compound,None,,
21,2.67,0.2,2.15,6.7,Solvent,Weak + C13_Sat,,,51,1.14,0,3.65,0.83,Impurity,None,,
22,2.67,0.4,1.94,9.38,Solvent,Weak + C13_Sat,,,52,1.07,0,64.96,4.95,Artifact,Weak,,
23,2.66,0.4,1.99,10.95,Solvent,Weak + C13_Sat,,,53,1.02,0,1.07,0.1,Artifact,Weak,,
24,2.66,0.2,1.86,5.7,Solvent,Weak + C13_Sat,,,54,1,0,0.78,0.08,Artifact,Weak,,
25,2.66,0.1,1.24,0.8,Compound,Weak + C13_Sat,,,55,0.85,0,3.35,0.25,Artifact,Weak,,
26,2.55,0.8,19.98,234.36,Compound,None,,,56,0.83,0,26.6,9.78,Compound,None,,
27,2.52,5.5,11.46,700.01,Solvent,None,,,57,0.07,0,0.5,0.05,Artifact,Weak,,
28,2.52,0.7,1.7,12.6,Solvent,Weak,,,58,-1.06,0,0.59,0.03,Artifact,Weak,,
29,2.51,11.4,1.84,285.93,Solvent,None,,,59,-1.36,0,0.8,0.08,Artifact,Weak,,
30,2.5,38,1.94,948.15,Solvent,None,,,60,-3.26,0,0.59,0.06,Artifact,Weak,,
