,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,9.87,0,0.94,0.39,Impurity,Weak,,,27,4.46,0,3.46,1.82,Impurity,None,,,53,3.13,0.2,3.9,12.56,Artifact,Weak,,,79,2.43,0,219.85,30.85,Artifact,Weak,,,105,1.3,0.1,198.76,149.75,Compound,None,,
2,7.89,0,2.02,0.17,Artifact,Weak,,,28,4.45,0,4.38,1.58,Impurity,None,,,54,3.11,0.1,28.68,39.41,Artifact,Weak,,,80,2.4,0,1.72,0.31,Artifact,Weak,,,106,1.3,0.1,2.14,1.48,Compound,None,,
3,7.39,0,1.35,0.2,Artifact,Weak,,,29,4.44,0,3.5,1.56,Impurity,None,,,55,3.11,0.2,2.58,8.23,Artifact,Weak,,,81,2.39,0,1.3,0.32,Impurity,Weak,,,107,1.28,0,1.43,0.49,Impurity,Weak,,
4,6.57,0.1,3.51,3.98,Impurity,None,,,30,4.42,0,6.03,2.63,Impurity,None,,,56,3.08,0,2.13,0.6,Artifact,Weak,,,82,2.34,0.1,1.64,2.75,Solvent,Weak + C13_Sat,,,108,1.27,0,14.13,6.56,Compound,None,,
5,6.55,0.1,2.51,1.97,Impurity,None,,,31,4.4,0,4.61,2.17,Impurity,None,,,57,3.08,0,2.61,0.51,Artifact,Weak,,,83,2.33,0.3,1.55,6.12,Solvent,Weak + C13_Sat,,,109,1.26,0.1,1.56,1.85,Compound,None,,
6,6.2,0.1,3.14,2.96,Impurity,None,,,32,4.39,0,2.98,1.17,Impurity,None,,,58,3.06,0,1.97,1.11,Artifact,Weak,,,84,2.33,0.5,1.74,10.1,Solvent,Weak + C13_Sat,,,110,1.25,0.1,8.64,8.72,Compound,None,,
7,6.19,0.1,3,1.79,Impurity,None,,,33,4.36,0,1.42,0.26,Impurity,Weak,,,59,3.05,0,1.48,0.72,Artifact,Weak,,,85,2.32,0.3,1.56,5.9,Solvent,Weak + C13_Sat,,,111,1.23,0.3,4.69,17.69,Compound,None,,
8,6.01,0,0.81,0.21,Impurity,Weak,,,34,4.34,0,8.41,2.63,Compound,None,,,60,3.05,0.1,2.36,1.77,Artifact,Weak,,,86,2.32,0.1,1.36,1.65,Solvent,Weak + C13_Sat,,,112,1.15,0.1,3.93,2.55,Impurity,None,,
9,5.78,0,3.03,0.92,Impurity,Weak,,,35,4.33,0,19.91,9.84,Compound,None,,,61,3.04,0.1,3.31,2.57,Artifact,Weak,,,87,2.29,0,0.96,0.15,Impurity,Weak,,,113,1.1,0.1,75.64,70.89,Compound,None,,
10,5.41,0,5.74,1.46,Impurity,None,,,36,4.28,0,1.98,0.82,Impurity,None,,,62,3.03,0,2.52,1.37,Artifact,Weak,,,88,2.26,0,1.87,0.32,Impurity,Weak,,,114,1.09,0,1.68,0.48,Impurity,Weak,,
11,5.23,0,1.29,0.17,Artifact,Weak,,,37,4.26,0.1,3.51,2.02,Impurity,None,,,63,3.01,0,3.91,1.03,Impurity,Weak,,,89,2.24,0,1.64,0.4,Impurity,Weak,,,115,1.07,0,1.7,0.32,Impurity,Weak,,
12,5.1,0,13.96,2.18,Impurity,Weak,,,38,4.25,0,2.17,1,Impurity,None,,,64,2.91,0,3.32,0.87,Impurity,Weak,,,90,2.24,0,0.69,0.11,Artifact,Weak,,,116,1.05,0,1.98,0.24,Artifact,Weak,,
13,4.91,0.1,4.57,3.5,Impurity,None,,,39,4.13,0,6.02,4.05,Impurity,None,,,65,2.9,0,4.79,1.18,Impurity,Weak,,,91,2.22,0,8.59,2.94,Impurity,None,,,117,1.04,0,1.58,0.29,Impurity,Weak,,
14,4.9,0.1,2.52,2.56,Impurity,None,,,40,4.11,0,3.72,1.3,Impurity,None,,,66,2.89,0,8.88,4.62,Impurity,None,,,92,2.2,0,2.82,0.96,Impurity,None,,,118,1.03,0,11.7,2.28,Impurity,None,,
15,4.89,0,2.15,1.25,Impurity,None,,,41,4.03,0,4.18,0.77,Impurity,Weak,,,67,2.88,0,3.18,1.38,Impurity,None,,,93,2.18,0,2.91,1.88,Impurity,None,,,119,1,0,1.38,0.21,Artifact,Weak,,
16,4.88,0,2.4,0.99,Impurity,None,,,42,3.89,0,1.99,0.26,Artifact,Weak,,,68,2.68,0.1,1.49,2.46,Solvent,Weak + C13_Sat,,,94,2.17,0,2.36,0.68,Impurity,Weak,,,120,0.99,0,1.49,0.2,Artifact,Weak,,
17,4.87,0,1.99,0.95,Impurity,None,,,43,3.8,0,1.66,0.26,Impurity,Weak,,,69,2.67,0.3,1.73,7.45,Solvent,Weak + C13_Sat,,,95,2.12,0,5.94,1.02,Impurity,Weak,,,121,0.9,0,1.43,0.19,Artifact,Weak,,
18,4.82,0.2,5.52,11.37,Compound,None,,,44,3.67,0,2.07,0.7,Impurity,Weak,,,70,2.67,0.5,1.64,9.9,Solvent,Weak + C13_Sat,,,96,2.1,0,1.38,0.23,Impurity,Weak,,,122,0.85,0.1,46.96,61.56,Compound,None,,
19,4.81,0.1,4.42,6.12,Compound,None,,,45,3.66,0,0.89,0.17,Impurity,Weak,,,71,2.66,0.3,1.63,6.57,Solvent,Weak + C13_Sat,,,97,2.1,0,1.52,0.62,Impurity,Weak,,,123,0.85,0,3.26,1,Impurity,None,,
20,4.75,0.1,3.98,3.21,Compound,None,,,46,3.61,0,1.12,0.16,Artifact,Weak,,,72,2.66,0.1,1.22,1.59,Solvent,Weak + C13_Sat,,,98,2.08,0,0.77,0.15,Impurity,Weak,,,124,0.84,0,1.1,0.1,Artifact,Weak,,
21,4.74,0.1,7.16,7.06,Compound,None,,,47,3.59,0.2,54.78,116.79,Artifact,Weak,,,73,2.52,0.3,1.45,4.99,Artifact,Weak,,,99,1.91,0.1,1.14,1.5,Impurity,None,,,125,0.83,0,3.38,0.82,Impurity,Weak,,
22,4.61,0,8.73,5.37,Impurity,None,,,48,3.57,0,2.26,1.23,Artifact,Weak,,,74,2.51,22.6,1.46,420.4,Solvent,None,,,100,1.87,0,2.12,0.31,Impurity,Weak,,,126,0.07,0,2.08,0.61,Impurity,Weak,,
23,4.6,0,2.02,0.64,Impurity,Weak,,,49,3.56,0,1.24,0.35,Artifact,Weak,,,75,2.5,54.8,1.73,1264.35,Solvent,None,,,101,1.86,0,5.74,1.88,Impurity,None,,,127,-0.06,0,1.09,0.17,Impurity,Weak,,
24,4.58,0,2.49,0.85,Impurity,Weak,,,50,3.54,0.1,7.12,6.67,Artifact,Weak,,,76,2.5,81.5,1.69,1823.69,Solvent,None,,,102,1.84,0,3.9,1.21,Impurity,None,,,128,-0.45,0,0.62,0.07,Artifact,Weak,,
25,4.57,0,1.85,0.55,Impurity,Weak,,,51,3.53,0,0.89,0.24,Artifact,Weak,,,77,2.5,51.2,1.55,1013.07,Solvent,None,,,103,1.82,0,2.28,0.43,Impurity,Weak,,,,,,,,,,,
26,4.48,0,2.84,0.73,Impurity,Weak,,,52,3.52,0.1,4.22,2.18,Artifact,Weak,,,78,2.49,19.9,1.29,300.32,Solvent,None,,,104,1.48,0,23.1,8.38,Compound,None,,,,,,,,,,,
