,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,13.65,0,1.21,0.11,Artifact,Weak,,,21,2.36,0,27.34,6.59,Artifact,Weak,,
2,8.6,0,1.27,0.11,Artifact,Weak,,,22,2.33,0.1,2.88,4.95,Solvent,Weak + C13_Sat,,
3,6.91,0,64.55,15.33,Compound,None,,,23,2.33,0.3,3.27,12.91,Solvent,Weak + C13_Sat,,
4,6.53,0,0.75,0.07,Artifact,Weak,,,24,2.32,0.4,3.64,19.31,Solvent,Weak + C13_Sat,,
5,3.4,0.2,55.5,100.81,Artifact,Weak,,,25,2.32,0.1,2.17,3.19,Solvent,Weak + C13_Sat,,
6,3.27,0.1,55.98,68.17,Artifact,Weak,,,26,1.75,0,0.5,0.05,Artifact,Weak,,
7,3.17,0,13.53,2.53,Artifact,Weak,,,27,1.29,0,3.24,0.7,Compound,None,,
8,2.75,0,0.42,0.03,Artifact,Weak,,,28,1.28,0,2.19,0.44,Compound,None,,
9,2.67,0.1,3.26,5.61,Solvent,Weak + C13_Sat,,,29,1.26,0,3.85,0.92,Compound,None,,
10,2.67,0.3,3.04,13.16,Solvent,Weak + C13_Sat,,,30,1.24,0,5.77,1.25,Compound,None,,
11,2.66,0.3,3.27,15.48,Solvent,Weak + C13_Sat,,,31,1.23,0.1,4.54,4.21,Compound,None,,
12,2.66,0.1,2.59,5.06,Solvent,Weak + C13_Sat,,,32,1.14,0,6.26,1.38,Compound,None,,
13,2.63,0.1,71.07,62.46,Artifact,Weak,,,33,1.12,0,1.41,0.14,Artifact,Weak,,
14,2.5,34.8,4.61,2339.06,Solvent,None,,,34,0.85,0,8.08,2.56,Compound,None,,
15,2.5,53,3.11,2217.5,Solvent,None,,,35,0.83,0,3.18,0.38,Artifact,Weak,,
16,2.5,57.9,3,2331.16,Solvent,None,,,36,0.82,0,22.01,8.34,Compound,None,,
17,2.49,25.5,2.36,708.61,Solvent,None,,,37,0.06,0,3.62,1.01,Compound,None,,
18,2.43,0,4.17,0.46,Artifact,Weak,,,38,-0.17,0,1,0.09,Artifact,Weak,,
19,2.43,0,1.11,0.1,Artifact,Weak,,,39,-1.8,0,0.57,0.05,Artifact,Weak,,
20,2.37,0.2,161.46,356.66,Artifact,Weak,,,40,-2.58,0,0.85,0.06,Artifact,Weak,,
