,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,10.2,0,3.57,0.8,Impurity,Weak,,,22,2.34,0.1,1.56,2.09,Solvent,Weak + C13_Sat,,
2,8.32,0,0.98,0.22,Artifact,Weak,,,23,2.33,0.3,1.82,6.93,Solvent,Weak + C13_Sat,,
3,8.14,0,1.67,0.26,Artifact,Weak,,,24,2.33,0.4,1.97,10.84,Solvent,Weak + C13_Sat,,
4,7.22,5.2,36.15,2461.87,Compound,None,,,25,2.32,0.2,1.65,5.48,Solvent,Weak + C13_Sat,,
5,5.08,0.1,13.15,11.31,Impurity,None,,,26,2.32,0.1,1.44,1.62,Solvent,Weak + C13_Sat,,
6,4.88,0.2,257,742.64,Compound,None,,,27,2.28,0,1.46,0.2,Artifact,Weak,,
7,4.7,0,12.33,4.67,Impurity,None,,,28,2.26,0,1.77,0.21,Artifact,Weak,,
8,4.46,0,9.8,5.75,Impurity,None,,,29,2.08,0,1.01,0.17,Impurity,Weak,,
9,3.59,0,6.76,1.14,Artifact,Weak,,,30,2.03,0.1,47.08,61.85,Compound,None,,
10,3.11,0.1,3.49,3.51,Artifact,Weak,,,31,1.91,0.1,1.08,1.22,Impurity,None,,
11,2.68,0.1,1.65,2.2,Solvent,Weak + C13_Sat,,,32,1.83,0.2,59.04,131.53,Compound,None,,
12,2.67,0.3,1.82,6.88,Solvent,Weak + C13_Sat,,,33,1.75,0,1.05,0.27,Impurity,Weak,,
13,2.67,0.4,1.95,11.3,Solvent,Weak + C13_Sat,,,34,1.26,0,1.62,0.4,Impurity,Weak,,
14,2.66,0.3,1.6,5.4,Solvent,Weak + C13_Sat,,,35,1.23,0.3,4.72,16.9,Compound,None,,
15,2.66,0.1,1.5,1.92,Solvent,Weak + C13_Sat,,,36,1.14,0.2,4.27,10.45,Impurity,None,,
16,2.52,1.2,18.31,302.27,Solvent,Weak,,,37,1.12,0.4,89.52,528.07,Compound,None,,
17,2.51,22.8,1.76,529.66,Solvent,None,,,38,1.09,0,1.1,0.39,Impurity,Weak,,
18,2.5,53.4,1.82,1292.1,Solvent,None,,,39,1.07,0,1.01,0.44,Impurity,Weak,,
19,2.5,78.6,1.85,1897.68,Solvent,None,,,40,0.85,0,4.38,1.63,Impurity,Weak,,
20,2.5,50.2,1.7,1064.05,Solvent,None,,,41,0.83,0,6.5,2.62,Impurity,Weak,,
21,2.49,19.5,1.38,305.91,Solvent,None,,,42,0.07,0,1.61,0.61,Impurity,Weak,,
