,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,15.56,0,0.57,0.04,Artifact,Weak,,,21,2.51,20.6,2.47,716.42,Solvent,None,,
2,15.12,0,0.73,0.06,Artifact,Weak,,,22,2.51,45.4,2.4,1259.05,Solvent,None,,
3,13.14,0,0.71,0.05,Artifact,Weak,,,23,2.5,79.8,2.71,2336.78,Solvent,None,,
4,11.86,0,0.57,0.05,Artifact,Weak,,,24,2.49,48,2.52,1253.25,Solvent,None,,
5,11.36,0,0.41,0.03,Artifact,Weak,,,25,2.49,14,1.53,204.89,Solvent,None,,
6,7.09,0.2,34.12,75.88,Compound,None,,,26,2.34,0.1,1.42,1.12,Solvent,Weak + C13_Sat,,
7,6.52,0,2.16,0.37,Compound,None,,,27,2.33,0.2,2.6,7.76,Solvent,Weak + C13_Sat,,
8,6.13,0,0.72,0.05,Artifact,Weak,,,28,2.33,0.5,3.35,18.41,Solvent,Weak + C13_Sat,,
9,3.88,0,0.92,0.07,Artifact,Weak,,,29,2.32,0.2,2.48,5.97,Solvent,Weak + C13_Sat,,
10,3.81,0.1,29.76,29.09,Compound,None,,,30,2.32,0.1,1.56,1.02,Solvent,Weak + C13_Sat,,
11,3.47,0,2.16,0.17,Artifact,Weak,,,31,2.29,0.1,132.31,118.96,Compound,None,,
12,3.29,0.5,39.62,294.9,Artifact,Weak,,,32,1.39,0,0.6,0.05,Artifact,Weak,,
13,2.99,0.1,27.22,56.58,Compound,None,,,33,1.3,0,2.48,0.34,Impurity,None,,
14,2.68,0.1,1.97,1.97,Solvent,Weak + C13_Sat,,,34,1.28,0,2.35,0.28,Compound,None,,
15,2.67,0.2,2.66,7.65,Solvent,Weak + C13_Sat,,,35,1.26,0,3.12,0.8,Compound,None,,
16,2.67,0.5,3.39,19.34,Solvent,Weak + C13_Sat,,,36,1.24,0.1,4.12,3.69,Compound,None,,
17,2.66,0.2,2.86,8.25,Solvent,Weak + C13_Sat,,,37,1.15,0,4.38,1.08,Compound,None,,
18,2.66,0.1,1.28,0.66,Solvent,Weak + C13_Sat,,,38,1.1,0,1.51,0.13,Artifact,Weak,,
19,2.58,0.2,60.11,182.05,Artifact,Weak,,,39,0.84,0,33.55,8.22,Compound,None,,
20,2.52,2.6,6.15,195.68,Solvent,None,,,40,0.07,0,3.26,0.29,Artifact,Weak,,
