,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,10.2,0.1,5.96,6.73,Impurity,None,,,27,2.51,14.3,1.3,198.83,Solvent,None,,,53,1.23,0.3,4.6,19.17,Compound,None,,
2,8.33,0,1.58,0.8,Impurity,Weak,,,28,2.5,46,2.01,1218.87,Solvent,None,,,54,1.2,0,1.52,0.12,Artifact,Weak,,
3,7.29,5.8,32.29,2391.59,Compound,None,,,29,2.5,80.1,2.29,2419.55,Solvent,None,,,55,1.18,0,3.25,0.55,Impurity,Weak,,
4,7.08,0,434.4,293.68,Artifact,Weak,,,30,2.5,50.2,1.79,1144.54,Solvent,None,,,56,1.16,0,4.56,1.13,Impurity,Weak,,
5,5.03,0.1,411.9,337.06,Compound,None,,,31,2.49,21.6,1.54,399.07,Solvent,None,,,57,1.14,0.2,4.41,11.19,Compound,None,,
6,4.87,0.1,199.3,165.64,Compound,None,,,32,2.34,0.2,2.46,5.59,Solvent,Weak + C13_Sat,,,58,1.12,0.2,57.34,148.16,Compound,None,,
7,4.79,0,0.71,0.05,Artifact,Weak,,,33,2.33,0.2,1.78,5.42,Solvent,Weak + C13_Sat,,,59,1.11,0.1,5.47,3.42,Compound,None,,
8,4.25,0,19.79,4.33,Impurity,None,,,34,2.33,0.4,2.29,12.63,Solvent,Weak + C13_Sat,,,60,1.11,0,3.07,0.97,Impurity,Weak,,
9,3.94,0,28.25,8.04,Impurity,None,,,35,2.32,0.3,1.8,6.42,Solvent,Weak + C13_Sat,,,61,1.1,0.1,5.64,6.43,Impurity,None,,
10,3.68,0.3,181.18,639.08,Artifact,Weak,,,36,2.32,0.1,1.63,2.15,Solvent,Weak + C13_Sat,,,62,1.08,0,3.95,2.25,Impurity,None,,
11,3.57,0.1,66.35,45.26,Artifact,Weak,,,37,2.19,0,25.8,4.95,Impurity,None,,,63,1.05,0.1,42.94,55.5,Compound,None,,
12,3.5,0.1,3.17,3.49,Artifact,Weak,,,38,2.17,0,1.61,0.26,Impurity,Weak,,,64,1.05,0,0.55,0.06,Impurity,Weak,,
13,3.48,0.1,34.09,67.83,Artifact,Weak,,,39,2.09,0,3.41,0.37,Artifact,Weak,,,65,1.04,0,2.12,0.37,Impurity,Weak,,
14,3.43,0.3,33.2,125.96,Artifact,Weak,,,40,2.08,0,0.65,0.09,Impurity,Weak,,,66,1.02,0,20.89,12.57,Compound,None,,
15,3.25,0.1,18.07,26.2,Artifact,Weak,,,41,2.07,0,8.42,1.25,Impurity,Weak,,,67,1,0,1.82,0.18,Artifact,Weak,,
16,3.18,0,48.18,18.89,Artifact,Weak,,,42,2.04,0.1,52.1,35.28,Compound,None,,,68,0.88,0.1,66.32,81.36,Compound,None,,
17,3.11,0,5.79,1.07,Artifact,Weak,,,43,2.01,0,14.18,2.65,Impurity,None,,,69,0.85,0.1,19.11,22.76,Compound,None,,
18,2.75,0,1.6,0.47,Impurity,Weak,,,44,1.91,0,53.88,14.25,Compound,None,,,70,0.83,0,10.64,5.83,Impurity,None,,
19,2.68,0.1,1.18,0.88,Solvent,Weak + C13_Sat,,,45,1.9,0,2.16,0.85,Impurity,Weak,,,71,0.8,0.1,18.51,14.73,Compound,None,,
20,2.67,0.2,2.04,6.16,Solvent,Weak + C13_Sat,,,46,1.84,0.1,73.35,97.27,Compound,None,,,72,0.08,0.1,1.05,1.38,CS Reference,None,,
21,2.67,0.4,2.42,13.95,Solvent,Weak + C13_Sat,,,47,1.83,0.1,32.24,44.1,Compound,None,,,73,0.08,0,73.96,10.88,CS Reference,None,,
22,2.66,0.2,1.69,5.4,Solvent,Weak + C13_Sat,,,48,1.77,0,3.59,0.4,Impurity,Weak,,,74,0.06,0,3.06,1.66,CS Reference,None,,
23,2.66,0.1,1.67,2.44,Solvent,Weak + C13_Sat,,,49,1.75,0,2.17,0.79,Impurity,Weak,,,75,-0.07,0,1.21,0.41,Impurity,Weak,,
24,2.61,0,23.36,6.66,Artifact,Weak,,,50,1.29,0,1.77,0.19,Artifact,Weak,,,76,-2.5,0,0.6,0.05,Artifact,Weak,,
25,2.56,0,37.43,2.45,Artifact,Weak,,,51,1.25,0,1.42,0.3,Impurity,Weak,,,,,,,,,,,
26,2.52,0.1,1.21,1.18,Artifact,Weak,,,52,1.24,0.2,132.21,336.35,Compound,None,,,,,,,,,,,
