,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,11.67,0,0.53,0.07,Artifact,Weak,,,31,2.75,0,10.65,5.69,Impurity,Weak,,,61,1.83,0.1,35.72,73.82,Compound,None,,
2,10.19,0.1,7.9,8.28,Impurity,None,,,32,2.68,0.1,1.83,2.65,Solvent,Weak + C13_Sat,,,62,1.75,0.1,1.99,1.23,Impurity,None,,
3,9.73,0,0.63,0.08,Artifact,Weak,,,33,2.67,0.2,1.71,5.52,Solvent,Weak + C13_Sat,,,63,1.74,0,29.72,12.52,Compound,None,,
4,8.16,0,4.19,2.47,Impurity,None,,,34,2.67,0.4,2.41,13.52,Solvent,Weak + C13_Sat,,,64,1.55,0.1,11.32,7.02,Impurity,None,,
5,7.69,0,29.51,5.55,Impurity,Weak,,,35,2.66,0.3,1.77,6.28,Solvent,Weak + C13_Sat,,,65,1.36,0,1.64,0.19,Artifact,Weak,,
6,7.48,0,19.46,2.69,Impurity,Weak,,,36,2.66,0.1,1.49,1.99,Solvent,Weak + C13_Sat,,,66,1.33,0,2.07,1.07,Impurity,Weak,,
7,7.39,0,1.58,0.23,Artifact,Weak,,,37,2.57,0.1,37.65,58.34,Artifact,Weak,,,67,1.3,0.1,2.75,2.47,Impurity,None,,
8,7.16,0,40.55,9.03,Impurity,None,,,38,2.52,1.6,16.76,378.27,Solvent,Weak,,,68,1.28,0.1,2.11,1.93,Impurity,None,,
9,7.08,0,9.55,1.95,Impurity,Weak,,,39,2.51,20.6,1.8,460.95,Solvent,None,,,69,1.26,0.2,109.86,278.05,Compound,None,,
10,7.06,0,13.88,8.42,Compound,None,,,40,2.5,48.9,1.87,1205.64,Solvent,None,,,70,1.26,0.1,1.9,2.18,Compound,None,,
11,7.04,0.1,153.91,282.85,Compound,None,,,41,2.5,78.9,2.21,2249.15,Solvent,None,,,71,1.23,0.6,4.13,33.43,Compound,None,,
12,6.99,0,56.09,11.62,Compound,None,,,42,2.5,49.1,1.77,1092,Solvent,None,,,72,1.22,0,1.04,0.33,Impurity,Weak,,
13,6.81,0,18.8,5.9,Impurity,None,,,43,2.49,19.9,1.55,341.77,Solvent,None,,,73,1.18,0,2.39,0.9,Impurity,Weak,,
14,6.72,0.1,431.69,701.41,Compound,None,,,44,2.44,0.1,30.59,46.91,Artifact,Weak,,,74,1.16,0.4,83.01,456.83,Compound,None,,
15,5.32,0,11.31,2.55,Impurity,Weak,,,45,2.39,0.1,76.98,55.28,Artifact,Weak,,,75,1.15,0.3,8.44,38.24,Compound,None,,
16,4.86,0,66.37,21.12,Compound,None,,,46,2.34,0.1,1.47,1.54,Solvent,Weak + C13_Sat,,,76,1.11,0.2,16.37,40.08,Compound,None,,
17,4.77,0.3,280.64,990.67,Compound,None,,,47,2.33,0.3,2.23,8.01,Solvent,Weak + C13_Sat,,,77,1.1,0,3.01,1.54,Impurity,Weak,,
18,3.96,0,51.68,22.93,Compound,None,,,48,2.33,0.4,2.26,13.23,Solvent,Weak + C13_Sat,,,78,1.07,0.1,38.22,48.96,Compound,None,,
19,3.82,0,1.85,0.26,Artifact,Weak,,,49,2.32,0.2,1.75,5.65,Solvent,Weak + C13_Sat,,,79,1.05,0.1,38.57,38.65,Compound,None,,
20,3.75,0.2,124.47,181.52,Compound,None,,,50,2.32,0.1,1.37,1.4,Solvent,Weak + C13_Sat,,,80,1.05,0,10.53,3.16,Compound,None,,
21,3.6,0,2.75,0.53,Artifact,Weak,,,51,2.26,0,1.97,0.26,Artifact,Weak,,,81,1.02,0,9.91,5.31,Impurity,None,,
22,3.59,0.1,14.02,17.1,Artifact,Weak,,,52,2.2,0,2.96,0.32,Artifact,Weak,,,82,0.9,0,2.35,0.63,Impurity,Weak,,
23,3.57,0,9.63,2.53,Artifact,Weak,,,53,2.18,0,2.38,0.98,Impurity,Weak,,,83,0.87,0.1,10.7,13.58,Compound,None,,
24,3.56,0,6.67,1.3,Artifact,Weak,,,54,2.16,0,1.61,0.23,Artifact,Weak,,,84,0.85,0.1,2.98,3.7,Compound,None,,
25,3.51,0.1,2.9,5.06,Artifact,Weak,,,55,2.14,0,2.39,0.23,Artifact,Weak,,,85,0.83,0.2,32.86,78.65,Compound,None,,
26,3.49,0,7.9,4.92,Artifact,Weak,,,56,2.1,0,2.26,0.36,Artifact,Weak,,,86,0.09,0,14.39,5.81,Impurity,None,,
27,3.48,0.1,11.72,5.75,Artifact,Weak,,,57,2.06,0,0.91,0.13,Artifact,Weak,,,87,0.07,0.2,2.21,5.81,Impurity,None,,
28,3.22,0.7,119.13,767.66,Artifact,Weak,,,58,2.02,0.1,44.43,83.69,Compound,None,,,88,-0.06,0,1.45,0.84,Impurity,Weak,,
29,3.18,1.4,74,1515.21,Compound,None,,,59,1.91,0.2,1.38,3.95,Impurity,None,,,,,,,,,,,
30,2.96,0.2,70.4,153.87,Artifact,Weak,,,60,1.85,0.3,76.71,317.31,Compound,None,,,,,,,,,,,
