,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,14.44,0,0.73,0.09,Artifact,Weak,,,23,2.32,0.2,2.47,5.41,Solvent,Weak + C13_Sat,,
2,12.53,0,0.56,0.07,Artifact,Weak,,,24,2.32,0.1,2.23,2.05,Solvent,Weak + C13_Sat,,
3,10.03,0,0.68,0.08,Artifact,Weak,,,25,2.2,0,2.49,0.24,Artifact,Weak,,
4,6.52,0.1,3.71,3.1,Compound,None,,,26,2.18,0,2.34,0.38,Impurity,Weak,,
5,6.28,0,3.33,1.28,Compound,None,,,27,1.91,0,2.7,0.99,Impurity,None,,
6,5.41,0,6.3,0.74,Artifact,Weak,,,28,1.3,0,1.12,0.13,Artifact,Weak,,
7,4.92,0,0.44,0.04,Artifact,Weak,,,29,1.26,0,4.95,1.77,Compound,None,,
8,3.52,0,0.71,0.08,Artifact,Weak,,,30,1.24,0.3,5.19,19.13,Compound,None,,
9,3.51,0,4.07,1.32,Compound,None,,,31,1.15,0.2,4.34,11.04,Compound,None,,
10,2.68,0.1,2.69,3.9,Solvent,Weak + C13_Sat,,,32,1.11,0,2.95,0.56,Impurity,Weak,,
11,2.67,0.2,2.71,7.55,Solvent,Weak + C13_Sat,,,33,1.02,0,2.25,0.48,Impurity,None,,
12,2.67,0.4,3.21,18.12,Solvent,Weak + C13_Sat,,,34,1,0,1.68,0.3,Impurity,Weak,,
13,2.66,0.2,2.54,6.17,Solvent,Weak + C13_Sat,,,35,0.87,0,4.54,0.53,Impurity,Weak,,
14,2.66,0.1,2.17,2.1,Solvent,Weak + C13_Sat,,,36,0.85,0,2.67,0.91,Impurity,None,,
15,2.59,0,0.8,0.1,Artifact,Weak,,,37,0.83,0.1,32.02,20.74,Compound,None,,
16,2.51,22.3,2.7,736.28,Solvent,None,,,38,0.72,0,0.55,0.08,Impurity,Weak,,
17,2.5,41.7,2.62,1320.37,Solvent,None,,,39,0.45,0,0.58,0.07,Artifact,Weak,,
18,2.5,73.3,3.03,2777.81,Solvent,None,,,40,0.44,0,0.93,0.09,Artifact,Weak,,
19,2.49,40.5,2.66,1313.59,Solvent,None,,,41,0.19,0,0.5,0.07,Impurity,Weak,,
20,2.49,13.6,2.06,352.41,Solvent,None,,,42,0.07,0,2.91,0.66,Impurity,None,,
21,2.33,0.3,4.5,15.86,Solvent,Weak + C13_Sat,,,43,-1.7,0,0.58,0.06,Artifact,Weak,,
22,2.33,0.4,3.28,15.93,Solvent,Weak + C13_Sat,,,44,-2.73,0,0.5,0.06,Artifact,Weak,,
