,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,15.61,0,0.52,0.05,Artifact,Weak,,,29,2.23,0,2.1,0.67,Impurity,None,,
2,14.49,0,0.54,0.04,Artifact,Weak,,,30,2.16,0,2.43,0.22,Artifact,Weak,,
3,14.05,0,1.2,0.12,Artifact,Weak,,,31,2.15,0,1.76,0.17,Artifact,Weak,,
4,10.13,0,2.74,1.09,Compound,None,,,32,2.13,0,2.08,0.22,Artifact,Weak,,
5,7.1,0.8,42.16,428.01,Compound,None,,,33,2.11,0,2.58,0.57,Impurity,None,,
6,6.46,0.1,2.43,1.71,Compound,None,,,34,2.09,0,1.55,0.18,Impurity,Weak,,
7,5.43,0,0.7,0.07,Artifact,Weak,,,35,2.06,0,1.58,0.17,Artifact,Weak,,
8,3.55,0,0.64,0.09,Artifact,Weak,,,36,1.84,0,1.83,1.24,Compound,None,,
9,3.44,0.1,2.43,2.04,Compound,None,,,37,1.27,0,0.81,0.08,Artifact,Weak,,
10,3.34,0.7,79.64,845.33,Artifact,Weak,,,38,1.23,0,2.36,0.24,Impurity,Weak,,
11,2.61,0.1,1.88,2.83,Solvent,Weak + C13_Sat,,,39,1.19,0,3.61,1.95,Compound,None,,
12,2.61,0.3,2.14,7.78,Solvent,Weak + C13_Sat,,,40,1.17,0.5,3.88,28.22,Compound,None,,
13,2.6,0.4,2.07,11.41,Solvent,Weak + C13_Sat,,,41,1.12,0,1.66,0.21,Artifact,Weak,,
14,2.6,0.3,2.05,7.41,Solvent,Weak + C13_Sat,,,42,1.08,0.2,4.07,9.73,Compound,None,,
15,2.59,0.1,1.64,2.11,Solvent,Weak + C13_Sat,,,43,1.06,0,4.06,0.55,Artifact,Weak,,
16,2.56,0,67.21,7.66,Artifact,Weak,,,44,1.04,0,44.8,30.8,Compound,None,,
17,2.52,0.1,41.27,33.92,Artifact,Weak,,,45,1.01,0,1.67,0.52,Impurity,None,,
18,2.45,1.7,15.65,365.54,Solvent,Weak,,,46,1,0,1.59,0.19,Impurity,Weak,,
19,2.44,21.6,1.78,483.23,Solvent,None,,,47,0.99,0,1.9,0.98,Compound,None,,
20,2.44,51,1.95,1210.75,Solvent,None,,,48,0.97,0,2.08,0.35,Compound,None,,
21,2.43,80.7,2.18,2233.77,Solvent,None,,,49,0.79,0,2.6,1.62,Compound,None,,
22,2.43,47.2,1.83,1025.05,Solvent,None,,,50,0.77,0,3.76,1.28,Compound,None,,
23,2.43,20.7,1.85,394.43,Solvent,None,,,51,0.49,0,1.09,0.12,Artifact,Weak,,
24,2.27,0.1,1.76,2.14,Solvent,Weak + C13_Sat,,,52,0,0.1,2.41,3.81,CS Reference,None,,
25,2.27,0.3,2.13,8.42,Solvent,Weak + C13_Sat,,,53,-0.07,0,2.62,0.3,Artifact,Weak,,
26,2.26,0.4,2.04,10.74,Solvent,Weak + C13_Sat,,,54,-0.13,0,1.79,0.19,Artifact,Weak,,
27,2.26,0.3,2.16,7.86,Solvent,Weak + C13_Sat,,,55,-0.5,0,0.58,0.06,Artifact,Weak,,
28,2.25,0.1,1.52,1.54,Solvent,Weak + C13_Sat,,,56,-3.16,0,0.46,0.05,Artifact,Weak,,
