,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,13.38,0,0.68,0.04,Artifact,Weak,,,28,2.5,86.4,1.25,1356.9,Solvent,None,,,55,1.36,0,1.72,0.1,Artifact,Weak,,,82,0.85,0.1,2.24,2.2,Compound,None,,
2,9.26,0,0.89,0.07,Artifact,Weak,,,29,2.5,58.5,1.31,943.33,Solvent,None,,,56,1.33,0,1.64,0.12,Artifact,Weak,,,83,0.83,0.1,26.05,21.59,Compound,None,,
3,8.12,0,0.78,0.07,Artifact,Weak,,,30,2.49,23.8,1.28,328.75,Solvent,None,,,57,1.32,0,1.84,0.12,Artifact,Weak,,,84,0.74,0,0.73,0.06,Artifact,Weak,,
4,7.91,0,10.25,0.93,Artifact,Weak,,,31,2.36,0,154,88.14,Compound,None,,,58,1.3,0,2.65,0.38,Impurity,None,,,85,0.65,0,0.39,0.03,Artifact,Weak,,
5,7.43,0,0.18,0.02,Artifact,Weak,,,32,2.34,0.1,1.11,1.96,Solvent,Weak + C13_Sat,,,59,1.28,0,1.08,0.08,Impurity,Weak,,,86,0.21,0,2.1,0.33,Compound,Weak + C13_Sat,,
6,6.01,0,0.69,0.07,Impurity,Weak,,,33,2.33,0.3,1.32,5.11,Solvent,Weak + C13_Sat,,,60,1.26,0,14.11,1.82,Compound,None,,,87,0.13,0,0.65,0.05,Artifact,Weak,,
7,5.39,0,8.59,1.77,Compound,None,,,34,2.33,0.5,1.42,9.56,Solvent,Weak + C13_Sat,,,61,1.26,0,4,1.44,Compound,None,,,88,0.12,0.1,1.15,0.74,CS Reference,Weak + C13_Sat,,
8,3.83,0,1.03,0.1,Artifact,Weak,,,35,2.32,0.3,1.21,5.11,Solvent,Weak + C13_Sat,,,62,1.24,0.5,3.11,19.42,Compound,None,,,89,0.1,0,2.42,0.24,Artifact,Weak,,
9,3.52,0,15.29,7.29,Artifact,Weak,,,36,2.32,0.1,1.23,2.01,Solvent,Weak + C13_Sat,,,63,1.19,0,174.72,74.73,Compound,None,,,90,0.09,0,6.39,0.76,Artifact,Weak,,
10,3.52,0.1,242.02,152.96,Artifact,Weak,,,37,2.29,0,0.77,0.34,Impurity,None,,,64,1.18,0,1.59,0.11,Artifact,Weak,,,91,0.08,0,0.6,0.08,Artifact,Weak,,
