,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,13.33,0,0.6,0.05,Artifact,Weak,,,25,2.33,0.3,1.53,6.35,Solvent,Weak + C13_Sat,,,49,1.64,0,2.09,0.41,Impurity,Weak,,,73,1,0,2.7,1.49,Compound,None,,
2,11.19,0,0.56,0.05,Artifact,Weak,,,26,2.33,0.5,1.41,9.17,Solvent,Weak + C13_Sat,,,50,1.55,0,1.16,0.08,Artifact,Weak,,,74,1,0,1.43,0.24,Impurity,Weak,,
3,9.01,0,0.58,0.05,Artifact,Weak,,,27,2.32,0.3,1.24,4.77,Solvent,Weak + C13_Sat,,,51,1.54,0,2.73,0.27,Artifact,Weak,,,75,0.87,0,1.54,0.41,Impurity,Weak,,
4,7.23,0.1,436.49,559.53,Compound,None,,,28,2.32,0.1,1.3,2.13,Solvent,Weak + C13_Sat,,,52,1.49,0,3.55,0.66,Impurity,Weak,,,76,0.85,0,2.27,1.18,Compound,None,,
5,6.61,0,0.48,0.04,Artifact,Weak,,,29,2.31,0,1.7,0.34,Impurity,Weak,,,53,1.48,0,2.37,0.37,Impurity,Weak,,,77,0.83,0.1,22.92,31.69,Compound,None,,
6,6.01,0,0.62,0.08,Artifact,Weak,,,30,2.3,0.1,1.34,2.6,Impurity,None,,,54,1.36,0,1.31,0.17,Impurity,Weak,,,78,0.77,0,0.96,0.25,Impurity,Weak,,
7,5.12,0,0.48,0.04,Artifact,Weak,,,31,2.3,0.1,1.19,1.81,Impurity,None,,,55,1.33,0,1.26,0.28,Impurity,Weak,,,79,0.44,0,4.54,0.51,Artifact,Weak,,
8,3.46,0.6,245.45,1421.97,Artifact,Weak,,,32,2.27,0,4.95,0.94,Impurity,None,,,56,1.3,0,1.63,0.28,Impurity,Weak,,,80,0.21,0,1.31,0.13,Artifact,Weak,,
9,3.41,0.8,55.22,402.81,Artifact,Weak,,,33,2.26,0,2.27,0.61,Impurity,None,,,57,1.28,0,0.65,0.09,Impurity,Weak,,,81,0.12,0.1,1.17,1.05,CS Reference,Weak + C13_Sat,,
10,2.75,0,0.9,0.36,Artifact,Weak,,,34,2.22,0,1.49,0.23,Impurity,Weak,,,58,1.26,0,1.64,0.67,Compound,None,,,82,0.07,0,3.13,1.15,Compound,None,,
11,2.68,0.1,1.37,2.56,Solvent,Weak + C13_Sat,,,35,2.2,0,2.43,1.21,Impurity,None,,,59,1.25,0.1,16.54,26.27,Compound,None,,,83,0.07,0.8,1.35,13.76,Compound,None,,
12,2.67,0.4,1.58,7.75,Solvent,Weak + C13_Sat,,,36,2.18,0.1,2.49,2.15,Impurity,None,,,60,1.23,0.2,3.36,8.53,Compound,None,,,84,0.06,0,0.89,0.15,Impurity,Weak,,
13,2.67,0.5,1.39,8.71,Solvent,Weak + C13_Sat,,,37,2.18,0,0.74,0.11,Impurity,Weak,,,61,1.22,0,0.9,0.25,Impurity,Weak,,,85,0.05,0,1.22,0.15,Impurity,Weak,,
14,2.66,0.3,1.35,5.8,Solvent,Weak + C13_Sat,,,38,2.16,0,2.44,1.1,Impurity,None,,,62,1.21,0,6.32,0.68,Artifact,Weak,,,86,0,0.1,43.5,36.74,CS Reference,Weak,,
15,2.66,0.1,1.25,1.97,Solvent,Weak + C13_Sat,,,39,2.09,0,1.96,0.39,Impurity,Weak,,,63,1.19,0,0.98,0.12,Artifact,Weak,,,87,0,0,1.34,0.33,CS Reference,Weak,,
16,2.54,0.8,34.84,415.63,Compound,None,,,40,2.06,0,2.33,0.42,Impurity,Weak,,,64,1.17,0,12.94,4.99,Compound,None,,,88,-0.01,0,0.71,0.31,CS Reference,Weak,,
17,2.53,0.2,7.49,21.05,Artifact,Weak,,,41,2.05,0,12.12,5.04,Compound,None,,,65,1.15,0.2,3.85,10.32,Compound,None,,,89,-0.02,0.5,1.83,11.38,CS Reference,None,,
18,2.52,0.3,1.49,7.42,Solvent,Weak,,,42,2.02,0,1.37,0.3,Impurity,Weak,,,66,1.12,0,8.51,3.47,Compound,None,,,90,-0.03,16.1,0.88,176.03,CS Reference,None,,
19,2.51,22.1,1.22,328.85,Solvent,None,,,43,1.98,0,2.4,0.3,Impurity,Weak,,,67,1.11,0,1.16,0.71,Compound,None,,,91,-0.04,0.3,0.74,2.57,CS Reference,Weak,,
20,2.5,62.5,1.7,1444.13,Solvent,None,,,44,1.93,0,0.83,0.06,Artifact,Weak,,,68,1.11,0,2.83,1.11,Compound,None,,,92,-0.06,0,0.87,0.25,CS Reference,Weak,,
21,2.5,81.5,1.4,1406.76,Solvent,None,,,45,1.91,0.1,1.02,1.65,Impurity,None,,,69,1.1,0.1,1.07,1.2,Impurity,None,,,93,-0.18,0.1,1.22,1.04,CS Reference,Weak + C13_Sat,,
22,2.5,54.9,1.38,884.7,Solvent,None,,,46,1.84,0.2,55.49,115.98,Compound,None,,,70,1.08,0,1.25,0.64,Compound,None,,,,,,,,,,,
23,2.49,23.1,1.33,323.67,Solvent,None,,,47,1.75,0,1.48,0.1,Artifact,Weak,,,71,1.07,0.3,160.66,556.23,Compound,None,,,,,,,,,,,
24,2.34,0.1,1.3,2.33,Solvent,Weak + C13_Sat,,,48,1.65,0,1.76,0.29,Impurity,Weak,,,72,1.02,0.1,4.28,3.76,Compound,None,,,,,,,,,,,
