,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,14.37,0,0.5,0.04,Artifact,Weak,,,28,4.59,0,2.88,0.54,Impurity,None,,,55,2.68,0.2,2.11,6.24,Solvent,Weak + C13_Sat,,,82,2.22,0,2.75,0.47,Artifact,Weak,,
2,14.3,0,0.64,0.06,Artifact,Weak,,,29,4.57,0,2.42,0.49,Impurity,None,,,56,2.67,0.4,2.03,10.31,Solvent,Weak + C13_Sat,,,83,2.12,0,1.85,0.13,Artifact,Weak,,
3,12.61,0,0.56,0.05,Artifact,Weak,,,30,4.56,0,1.63,0.15,Artifact,Weak,,,57,2.67,0.4,2.08,11.22,Solvent,Weak + C13_Sat,,,84,2.09,0,5.76,1.4,Compound,None,,
4,10.41,0,0.59,0.05,Artifact,Weak,,,31,4.48,0,3.08,0.37,Artifact,Weak,,,58,2.66,0.2,1.99,6.16,Solvent,Weak + C13_Sat,,,85,2.06,0,3.4,0.46,Artifact,Weak,,
5,9.31,0,0.56,0.05,Artifact,Weak,,,32,4.47,0,4.21,0.89,Compound,None,,,59,2.66,0.1,1.34,0.85,Solvent,Weak + C13_Sat,,,86,1.87,0,6.49,1.26,Compound,None,,
6,9.13,0,0.87,0.07,Artifact,Weak,,,33,4.44,0,5.67,1.04,Compound,None,,,60,2.6,0,28.93,4.24,Artifact,Weak,,,87,1.82,0,15.86,1.45,Artifact,Weak,,
7,8.45,0.1,9.31,6.86,Compound,None,,,34,4.42,0,2.51,0.32,Compound,None,,,61,2.58,0.1,62.13,60.6,Artifact,Weak,,,88,1.77,0,0.5,0.04,Artifact,Weak,,
8,8.37,0,0.65,0.06,Artifact,Weak,,,35,4.36,0,1.3,0.13,Artifact,Weak,,,62,2.53,5.4,8.47,599.9,Solvent,None,,,89,1.63,0,0.53,0.04,Artifact,Weak,,
9,8.25,0,0.47,0.04,Artifact,Weak,,,36,4.35,0,7.06,1.78,Compound,None,,,63,2.51,7.1,1.72,164.33,Solvent,None,,,90,1.49,0,15.63,1.37,Artifact,Weak,,
10,6.57,0,3.06,0.58,Impurity,None,,,37,4.33,0,12.31,1.96,Compound,None,,,64,2.51,40.2,2.21,1245.59,Solvent,None,,,91,1.33,0,0.95,0.08,Artifact,Weak,,
