,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,14.7,0,0.72,0.06,Artifact,Weak,,,24,2.68,0.1,1.33,2.16,Solvent,Weak + C13_Sat,,,47,1.36,0,2.12,0.29,Compound,None,,
2,12.99,0,0.47,0.03,Artifact,Weak,,,25,2.67,0.4,1.45,6.38,Solvent,Weak + C13_Sat,,,48,1.3,0,1.54,0.44,Compound,None,,
3,10.42,0,0.6,0.05,Artifact,Weak,,,26,2.67,0.5,1.46,9.22,Solvent,Weak + C13_Sat,,,49,1.28,0,1.03,0.24,Compound,None,,
4,10.11,0,0.89,0.06,Artifact,Weak,,,27,2.66,0.3,1.41,6.16,Solvent,Weak + C13_Sat,,,50,1.26,0,1.54,0.73,Compound,None,,
5,9.68,0,0.79,0.05,Artifact,Weak,,,28,2.66,0.1,1.1,1.64,Solvent,Weak + C13_Sat,,,51,1.24,0.4,3.48,17.49,Compound,None,,
6,9.28,0,0.69,0.06,Artifact,Weak,,,29,2.52,0.3,1.23,4.62,Solvent,Weak,,,52,1.18,0,1.54,0.15,Compound,None,,
7,8.44,0,3.51,2.1,Compound,None,,,30,2.52,0.2,0.91,1.95,Solvent,Weak,,,53,1.15,0.2,3.33,6.67,Compound,None,,
8,7.49,0,1.21,0.1,Artifact,Weak,,,31,2.51,24.8,1.3,377.81,Solvent,None,,,54,1.05,0,5.55,0.92,Compound,None,,
9,6.52,0.2,1.22,2.43,Compound,None,,,32,2.5,58.6,1.43,1024.68,Solvent,None,,,55,1.02,0,5.93,1.31,Compound,None,,
10,6.29,0,1.1,0.52,Compound,None,,,33,2.5,86.3,1.43,1543.92,Solvent,None,,,56,1.01,0,1.68,0.17,Compound,None,,
11,5.55,0,0.62,0.05,Artifact,Weak,,,34,2.5,56.9,1.44,994.06,Solvent,None,,,57,1,0,2.41,0.18,Compound,None,,
12,5.5,0,2.94,0.28,Artifact,Weak,,,35,2.49,22.4,1.31,302.9,Solvent,None,,,58,0.98,0,0.95,0.12,Impurity,None,,
13,5.47,0,0.62,0.04,Artifact,Weak,,,36,2.34,0.1,1.36,2.31,Solvent,Weak + C13_Sat,,,59,0.97,0,2.24,0.33,Compound,None,,
14,5.18,0,0.95,0.09,Artifact,Weak,,,37,2.33,0.4,1.43,6.29,Solvent,Weak + C13_Sat,,,60,0.87,0,2.17,0.5,Compound,None,,
15,5.05,0,0.95,0.1,Compound,None,,,38,2.33,0.5,1.44,8.93,Solvent,Weak + C13_Sat,,,61,0.85,0.1,1.87,1.29,Compound,None,,
16,5,0,0.95,0.09,Artifact,Weak,,,39,2.32,0.3,1.46,6.04,Solvent,Weak + C13_Sat,,,62,0.84,0,2.44,0.77,Compound,None,,
17,4.95,0,0.66,0.05,Artifact,Weak,,,40,2.32,0.1,1.26,1.93,Solvent,Weak + C13_Sat,,,63,0.82,0,41.41,6.17,Compound,None,,
18,4.39,0,1.48,0.11,Artifact,Weak,,,41,2.24,0,4.5,0.57,Compound,None,,,64,0.8,0,0.5,0.03,Artifact,Weak,,
19,4.28,0,1.51,0.22,Compound,None,,,42,2.12,0,1.46,0.14,Artifact,Weak,,,65,0.07,0,1.62,0.23,Compound,None,,
20,3.9,0,0.47,0.03,Artifact,Weak,,,43,2.06,0,0.69,0.06,Artifact,Weak,,,66,-0.79,0,0.43,0.04,Artifact,Weak,,
21,3.56,0,1.08,0.14,Compound,None,,,44,2.04,0,11.09,2.24,Compound,None,,,67,-1.89,0,0.57,0.04,Artifact,Weak,,
22,3.51,0.1,2.29,3.17,Compound,None,,,45,1.77,0,12.6,7.61,Compound,None,,,68,-2.99,0,0.45,0.04,Artifact,Weak,,
23,3.08,0,0.66,0.06,Impurity,Weak,,,46,1.46,0,0.34,0.02,Artifact,Weak,,,,,,,,,,,
