,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,15.64,0,0.65,0.05,Artifact,Weak,,,28,2.5,11.4,1.26,135.32,Solvent,None,,
2,11.18,0,0.67,0.05,Artifact,Weak,,,29,2.44,0.3,71.67,274.21,Artifact,Weak,,
3,10.21,0,2.15,0.5,Impurity,None,,,30,2.35,0,1.34,0.74,Compound,Weak + C13_Sat,,
4,8.17,0,4.04,0.92,Impurity,None,,,31,2.34,0.2,2.33,5.31,Solvent,Weak + C13_Sat,,
5,7.18,2.4,24.08,753.69,Compound,None,,,32,2.34,0.4,2.3,10.3,Solvent,Weak + C13_Sat,,
6,7.08,0.2,84.8,193.53,Compound,None,,,33,2.34,0.4,2.29,12.09,Solvent,Weak + C13_Sat,,
7,6.98,0,166.6,65.56,Compound,None,,,34,2.33,0.2,1.87,5.07,Solvent,Weak + C13_Sat,,
8,6.53,0,0.66,0.05,Artifact,Weak,,,35,2.33,0.1,1.34,1.04,Solvent,Weak + C13_Sat,,
9,5.24,0,0.7,0.04,Artifact,Weak,,,36,2.31,0.1,1.51,1.48,Impurity,None,,
10,4,0,52.43,28.34,Compound,None,,,37,2.31,0,0.83,0.21,Impurity,None,,
11,3.7,0,0.66,0.04,Artifact,Weak,,,38,1.92,0,1.91,0.26,Impurity,Weak,,
12,3.47,0,46.48,12.94,Artifact,Weak,,,39,1.83,0,47.85,21.64,Compound,None,,
13,3.39,0.2,49.62,105.39,Artifact,Weak,,,40,1.76,0,2.81,0.58,Impurity,None,,
14,3.22,0,1.66,0.18,Artifact,Weak,,,41,1.39,0,0.4,0.03,Artifact,Weak,,
15,3.08,0.1,71.8,49.78,Compound,None,,,42,1.37,0,0.56,0.05,Artifact,Weak,,
16,2.69,0,1.35,0.57,Compound,Weak + C13_Sat,,,43,1.31,0,3.21,0.5,Impurity,None,,
17,2.69,0.2,2.41,5.98,Solvent,Weak + C13_Sat,,,44,1.29,0,2.97,0.3,Impurity,Weak,,
18,2.68,0.4,2.39,10.92,Solvent,Weak + C13_Sat,,,45,1.27,0,3.26,1.25,Compound,None,,
19,2.68,0.4,2.32,12.29,Solvent,Weak + C13_Sat,,,46,1.25,0.1,4.81,6.79,Compound,None,,
20,2.67,0.2,2.01,5.82,Solvent,Weak + C13_Sat,,,47,1.16,0,7.36,3.15,Compound,None,,
21,2.67,0.1,1.25,0.94,Solvent,Weak + C13_Sat,,,48,1.13,0,9.57,2.9,Compound,None,,
22,2.64,0.1,80.9,116.59,Artifact,Weak,,,49,1.11,0,3.05,0.55,Compound,None,,
23,2.52,8.1,1.33,117.72,Compound,None,,,50,0.86,0,2.89,0.44,Impurity,None,,
24,2.52,35.9,2.19,955.36,Solvent,None,,,51,0.84,0,29.02,15.37,Compound,None,,
25,2.51,63.6,2.3,1831.49,Solvent,None,,,52,0.09,0,1.29,0.22,Impurity,None,,
26,2.51,70.3,2.23,1999.65,Solvent,None,,,53,0.08,0,3.19,0.72,Impurity,None,,
27,2.5,38.3,1.98,867.22,Solvent,None,,,,,,,,,,,
