,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,12.66,0,0.74,0.06,Artifact,Weak,,,28,4.25,0.1,4.61,4.56,Compound,None,,,55,3.06,0.1,2.16,1.57,Artifact,Weak,,,82,2.2,0,1.36,0.14,Artifact,Weak,,,109,0.99,0.2,3.12,6.96,Compound,None,,
2,9.55,0,0.43,0.05,Artifact,Weak,,,29,3.8,0,7.53,2.19,Artifact,Weak,,,56,3.05,0.1,2.39,1.79,Artifact,Weak,,,83,2.2,0,2.38,0.52,Compound,None,,,110,0.98,0.2,2.69,6.13,Compound,None,,
3,8.51,0.3,2.2,9.72,Compound,None,,,30,3.78,0,1.27,0.23,Artifact,Weak,,,57,3.04,0.1,4.96,4.89,Artifact,Weak,,,84,2.17,0,3.07,0.44,Compound,None,,,111,0.92,0,2.05,0.41,Compound,Weak,,
4,8.15,0,0.52,0.05,Artifact,Weak,,,31,3.77,0,3.54,0.61,Artifact,Weak,,,58,3.03,0.1,4.08,7.03,Artifact,Weak,,,85,2.17,0,1.12,0.12,Artifact,Weak,,,112,0.9,0,3.43,1.14,Compound,None,,
5,7.85,0,0.82,0.09,Artifact,Weak,,,32,3.76,0,35.62,23.57,Artifact,Weak,,,59,3.01,0.1,4.24,3.42,Artifact,Weak,,,86,2.15,0,7.38,3.79,Compound,None,,,113,0.88,0,2.68,1.09,Compound,None,,
6,7.85,0,2.84,0.6,Impurity,None,,,33,3.67,0.1,6.16,3.97,Artifact,Weak,,,60,2.99,0,2.17,0.4,Artifact,Weak,,,87,2.11,0,2.78,0.53,Impurity,None,,,114,0.87,0,4.28,1.91,Compound,None,,
7,7.84,0,1.56,0.27,Impurity,Weak,,,34,3.64,0.1,8.48,11.35,Artifact,Weak,,,61,2.9,0.1,3.62,2.65,Artifact,Weak,,,88,2.09,0,0.73,0.06,Artifact,Weak,,,115,0.87,0,3.3,0.56,Compound,None,,
8,7.83,0,2.87,0.71,Impurity,None,,,35,3.6,0,6.41,2.18,Artifact,Weak,,,62,2.88,0.1,3.97,5.04,Artifact,Weak,,,89,2.06,0,9.47,3.35,Compound,None,,,116,0.85,0.1,4.95,5.95,Compound,None,,
9,7.69,0,2.68,0.35,Artifact,Weak,,,36,3.57,0.1,8.41,10.23,Artifact,Weak,,,63,2.86,0,3.5,2.37,Artifact,Weak,,,90,2.04,0,6.68,0.73,Compound,None,,,117,0.83,0.1,29.01,51.34,Compound,None,,
10,7.38,0,1.76,0.21,Artifact,Weak,,,37,3.56,0,1.9,0.23,Artifact,Weak,,,64,2.68,0.1,1.61,1.76,Solvent,Weak + C13_Sat,,,91,2.02,0,4.64,3.14,Compound,None,,,118,0.21,0,1.69,0.25,Artifact,Weak,,
11,7.28,0,24.13,5.23,Compound,None,,,38,3.55,0,2.5,1.08,Artifact,Weak,,,65,2.67,0.3,1.99,7.57,Solvent,Weak + C13_Sat,,,92,1.87,0.1,2.81,2.87,Compound,None,,,119,0.13,0,2.07,1.08,Compound,None,,
12,6.57,0,22.75,9.19,Compound,None,,,39,3.54,0,2.14,0.8,Artifact,Weak,,,66,2.67,0.4,2.14,12.6,Solvent,Weak + C13_Sat,,,93,1.82,0,23.61,13.14,Compound,None,,,120,0.12,0.1,1.85,1.41,CS Reference,Weak + C13_Sat,,
13,6.19,0,18.43,5.63,Compound,None,,,40,3.54,0,2.31,0.86,Artifact,Weak,,,67,2.66,0.3,1.9,7.38,Solvent,Weak + C13_Sat,,,94,1.78,0,1.88,0.45,Compound,None,,,121,0.09,0,4.57,0.77,Artifact,Weak,,
14,6.01,0,1.58,0.32,Impurity,None,,,41,3.53,0,3.17,1.42,Artifact,Weak,,,68,2.66,0.1,1.52,1.91,Solvent,Weak + C13_Sat,,,95,1.77,0,5.22,2.92,Compound,None,,,122,0.08,0.1,15.99,14.35,Compound,None,,
15,5.62,0,0.59,0.08,Artifact,Weak,,,42,3.53,0,4.78,2.4,Artifact,Weak,,,69,2.53,1.5,13.69,288.22,Compound,None,,,96,1.72,0,3,0.63,Impurity,None,,,123,0.07,1.9,2.31,56.09,Compound,None,,
16,5.41,0,14.14,1.93,Artifact,Weak,,,43,3.5,0,1.96,0.21,Artifact,Weak,,,70,2.51,18.6,1.56,367.87,Solvent,None,,,97,1.47,0,38.49,9.68,Compound,None,,,124,0.05,0.1,3.81,2.56,Compound,None,,
17,5.39,0,21.21,1.88,Artifact,Weak,,,44,3.46,0.1,154.36,213.71,Artifact,Weak,,,71,2.5,48.9,1.97,1277.69,Solvent,None,,,98,1.34,0,0.93,0.08,Artifact,Weak,,,125,0.04,0,1.41,0.36,Artifact,Weak,,
18,5.39,0,1.06,0.13,Artifact,Weak,,,45,3.46,0,1.95,0.28,Artifact,Weak,,,72,2.5,77.6,2.14,2192.98,Solvent,None,,,99,1.26,0,27.6,10.44,Compound,None,,,126,0.01,0.1,12.58,9.91,CS Reference,Weak,,
19,4.9,0,3.95,2.28,Compound,None,,,46,3.44,0,2.39,0.45,Artifact,Weak,,,73,2.5,48.5,1.95,1216.41,Solvent,None,,,100,1.26,0,3.16,1.25,Compound,None,,,127,0,0.1,3.73,4.96,CS Reference,Weak,,
