,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,10.2,0,2.95,1.59,Impurity,None,,,30,2.35,0,2.59,0.36,Impurity,Weak,,
2,8.33,0,1.17,0.48,Impurity,Weak,,,31,2.34,0.1,1.29,1.82,Solvent,Weak + C13_Sat,,
3,7.23,1.6,41.74,882.66,Compound,None,,,32,2.33,0.3,1.64,5.95,Solvent,Weak + C13_Sat,,
4,6.76,0,0.7,0.05,Artifact,Weak,,,33,2.33,0.6,1.94,15.53,Solvent,Weak + C13_Sat,,
5,5.43,0,7.22,1.1,Impurity,Weak,,,34,2.32,0.2,1.25,3.79,Solvent,Weak + C13_Sat,,
6,5.24,0,0.59,0.04,Artifact,Weak,,,35,2.32,0.1,1.4,1.78,Solvent,Weak + C13_Sat,,
7,4.85,0.1,273.3,163.32,Compound,None,,,36,2.21,0,1.26,0.08,Artifact,Weak,,
8,4.15,0,5.67,0.48,Artifact,Weak,,,37,2.17,0,3.56,0.2,Artifact,Weak,,
9,4.07,0,2.37,0.18,Artifact,Weak,,,38,2.08,0,0.85,0.06,Artifact,Weak,,
10,3.82,0,3,0.3,Artifact,Weak,,,39,1.9,0,1.63,0.71,Impurity,Weak,,
11,3.5,0.1,2.45,2.68,Artifact,Weak,,,40,1.84,0.1,57.45,78.4,Compound,None,,
12,3.26,0.2,26.17,41.62,Artifact,Weak,,,41,1.77,0,1.06,0.11,Impurity,Weak,,
13,3.2,0.2,75,166.74,Artifact,Weak,,,42,1.75,0,1.62,0.32,Impurity,Weak,,
14,3.16,0,4.25,0.83,Artifact,Weak,,,43,1.55,0,1.63,0.19,Impurity,Weak,,
15,3.11,0.1,2.73,2.75,Artifact,Weak,,,44,1.45,0,1.29,0.08,Artifact,Weak,,
16,2.75,0,0.75,0.07,Artifact,Weak,,,45,1.44,0,1.18,0.18,Impurity,Weak,,
17,2.68,0.1,1.42,2.04,Solvent,Weak + C13_Sat,,,46,1.29,0,1.25,0.09,Impurity,Weak,,
18,2.67,0.3,1.72,7.08,Solvent,Weak + C13_Sat,,,47,1.25,0,13.35,1.15,Impurity,Weak,,
19,2.67,0.4,1.55,8.55,Solvent,Weak + C13_Sat,,,48,1.23,0.2,3.4,9.2,Compound,None,,
20,2.66,0.3,1.6,6,Solvent,Weak + C13_Sat,,,49,1.14,0.2,3.79,8.26,Compound,None,,
21,2.66,0.1,1.29,1.68,Solvent,Weak + C13_Sat,,,50,1.12,0.2,116.11,299.17,Compound,None,,
22,2.58,0,1.12,0.09,Artifact,Weak,,,51,1.11,0,13.6,2.23,Compound,None,,
23,2.56,0.1,14.11,14.72,Artifact,Weak,,,52,1.08,0,1.24,0.43,Impurity,Weak,,
24,2.52,0.2,1.15,3.27,Solvent,Weak,,,53,1.02,0,2.4,0.34,Impurity,Weak,,
25,2.51,20.7,1.32,334.44,Solvent,None,,,54,0.85,0,2.22,0.83,Impurity,Weak,,
26,2.5,58.9,1.89,1486.39,Solvent,None,,,55,0.83,0,3.59,0.77,Impurity,Weak,,
27,2.5,79.5,1.61,1625.87,Solvent,None,,,56,0.06,0.1,2.07,1.95,CS Reference,None,,
28,2.5,53.6,1.55,993.13,Solvent,None,,,57,-0.22,0,0.47,0.04,Artifact,Weak,,
29,2.49,21.6,1.43,317.5,Solvent,None,,,,,,,,,,,
