,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,7.69,0,0.66,0.08,Artifact,Weak,,,30,1.94,0,284.51,93.39,Compound,None,,
2,7.21,0,155.36,42.57,Compound,None,,,31,1.9,0.1,1.53,1.17,Impurity,None,,
3,6.93,0,0.6,0.05,Artifact,Weak,,,32,1.83,0.1,55.63,80.48,Compound,None,,
4,5.4,0,12.92,1.18,Artifact,Weak,,,33,1.75,0,2.29,0.42,Impurity,Weak,,
5,4.53,0,1,0.09,Artifact,Weak,,,34,1.26,0,1.44,0.36,Impurity,Weak,,
6,3.74,0.1,181.38,131.15,Artifact,Weak,,,35,1.23,0.4,4.46,22.34,Compound,None,,
7,3.58,0.2,91.32,255.07,Artifact,Weak,,,36,1.19,0.2,186.77,420.05,Compound,None,,
8,3.19,0.1,76.49,43.75,Artifact,Weak,,,37,1.16,0,2.28,0.54,Impurity,Weak,,
9,2.68,0.1,1.33,1.13,Solvent,Weak + C13_Sat,,,38,1.15,0.3,4.16,12.45,Compound,None,,
10,2.67,0.2,2.01,6.81,Solvent,Weak + C13_Sat,,,39,1.05,0,2.92,0.45,Artifact,Weak,,
11,2.67,0.5,2.64,16.38,Solvent,Weak + C13_Sat,,,40,1.02,0,4.2,1.39,Impurity,None,,
12,2.66,0.3,1.96,7.02,Solvent,Weak + C13_Sat,,,41,1,0,1.91,0.19,Impurity,Weak,,
13,2.66,0.1,1.35,1.21,Solvent,Weak + C13_Sat,,,42,0.99,0,0.72,0.09,Artifact,Weak,,
14,2.51,15.9,1.36,223.93,Solvent,None,,,43,0.87,0,2.43,0.71,Impurity,Weak,,
15,2.5,41.8,1.83,1038.48,Solvent,None,,,44,0.85,0,2.9,1.28,Compound,None,,
16,2.5,83.7,2.81,2992.55,Solvent,None,,,45,0.83,0.1,37.11,48.29,Compound,None,,
17,2.5,40.9,1.84,996.85,Solvent,None,,,46,0.12,0,1.61,0.84,CS Reference,Weak + C13_Sat,,
18,2.49,16.2,1.31,230.95,Solvent,None,,,47,0.07,0,83.67,11.64,Compound,None,,
19,2.34,0.1,1.43,1.08,Solvent,Weak + C13_Sat,,,48,0.07,0.4,2.24,12.02,Compound,None,,
20,2.33,0.2,2,6.72,Solvent,Weak + C13_Sat,,,49,0.05,0,2.46,0.79,Artifact,Weak,,
21,2.33,0.5,2.65,16.19,Solvent,Weak + C13_Sat,,,50,0.01,0,1.61,0.25,CS Reference,Weak,,
22,2.32,0.3,1.86,6.29,Solvent,Weak + C13_Sat,,,51,0,0,1.32,0.22,CS Reference,Weak,,
23,2.32,0.1,1.31,1.29,Solvent,Weak + C13_Sat,,,52,0,0,5.4,3.1,CS Reference,Weak,,
24,2.3,0,1.86,0.29,Artifact,Weak,,,53,-0.02,0.3,4.5,13.01,CS Reference,Weak,,
25,2.27,0,2.83,0.39,Artifact,Weak,,,54,-0.03,8.8,1.52,148.06,CS Reference,None,,
26,2.21,0,1.32,0.16,Artifact,Weak,,,55,-0.04,0.3,2.73,11.12,CS Reference,None,,
27,2.19,0,2.6,0.29,Artifact,Weak,,,56,-0.05,0.1,6.52,5.06,CS Reference,Weak,,
28,2.18,0,3.48,0.49,Impurity,Weak,,,57,-0.06,0,0.98,0.14,CS Reference,Weak,,
29,2.04,0,21.5,3.2,Impurity,Weak,,,58,-0.18,0,1.63,0.87,CS Reference,Weak + C13_Sat,,
