,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,15.37,0,0.69,0.08,Artifact,Weak,,,31,2.5,52.5,1.59,1018.68,Solvent,None,,
2,14.84,0,0.66,0.06,Artifact,Weak,,,32,2.49,21.8,1.54,387.91,Solvent,None,,
3,14.19,0,0.54,0.05,Artifact,Weak,,,33,2.34,0.1,1.89,3.54,Solvent,Weak + C13_Sat,,
4,13.39,0,0.51,0.05,Artifact,Weak,,,34,2.33,0.3,1.62,6.31,Solvent,Weak + C13_Sat,,
5,12.79,0,0.62,0.07,Artifact,Weak,,,35,2.33,0.5,1.76,10.53,Solvent,Weak + C13_Sat,,
6,12.48,0,0.76,0.08,Artifact,Weak,,,36,2.32,0.3,1.65,6.31,Solvent,Weak + C13_Sat,,
7,11.05,0,1.31,0.11,Artifact,Weak,,,37,2.32,0.1,1.44,2.03,Solvent,Weak + C13_Sat,,
8,10.42,0,0.42,0.04,Artifact,Weak,,,38,2.23,0,2.87,0.47,Compound,None,,
9,9.77,0,0.61,0.07,Artifact,Weak,,,39,2.18,0,2.71,0.44,Compound,None,,
10,7.19,0,0.94,0.11,Artifact,Weak,,,40,2.16,0,1.17,0.19,Compound,None,,
11,6.85,0,1.22,0.13,Artifact,Weak,,,41,1.91,0.1,1.95,1.48,Compound,None,,
12,6.53,0,1.12,0.21,Compound,None,,,42,1.49,0,6.73,0.94,Artifact,Weak,,
13,6.52,0.1,1.86,1.69,Compound,None,,,43,1.3,0,2.36,0.83,Compound,None,,
14,6.28,0,2.35,0.48,Compound,None,,,44,1.28,0,1.14,0.46,Compound,None,,
15,5.48,0,0.52,0.07,Artifact,Weak,,,45,1.26,0,1.76,1.03,Compound,None,,
16,5.4,0,2.14,0.23,Artifact,Weak,,,46,1.24,0.3,3.77,13.58,Compound,None,,
17,5.36,0,0.68,0.08,Artifact,Weak,,,47,1.15,0.1,3.56,2.24,Compound,None,,
18,4.03,0,0.75,0.09,Artifact,Weak,,,48,1.13,0,1.43,0.14,Artifact,Weak,,
19,3.57,0,1.19,0.16,Artifact,Weak,,,49,1.05,0,2.52,0.36,Artifact,Weak,,
20,3.51,0,1.28,0.24,Compound,None,,,50,0.97,0,1.26,0.16,Artifact,Weak,,
21,2.68,0.1,1.77,3.24,Solvent,Weak + C13_Sat,,,51,0.85,0,2.86,1.7,Compound,None,,
22,2.67,0.3,1.72,7.19,Solvent,Weak + C13_Sat,,,52,0.83,0,10.19,6.29,Compound,None,,
23,2.67,0.5,1.68,10.01,Solvent,Weak + C13_Sat,,,53,0.81,0,5.06,1.16,Compound,None,,
24,2.66,0.3,1.78,7.59,Solvent,Weak + C13_Sat,,,54,0.27,0,0.54,0.06,Artifact,Weak,,
25,2.66,0.1,1.5,2.03,Solvent,Weak + C13_Sat,,,55,0.07,0,1.91,0.73,Compound,None,,
26,2.62,0,16.9,2.01,Artifact,Weak,,,56,-0.22,0,0.6,0.09,Artifact,Weak,,
27,2.52,0.8,20.33,240.04,Solvent,Weak,,,57,-1.35,0,0.58,0.07,Artifact,Weak,,
28,2.51,25.3,1.8,576.16,Solvent,None,,,58,-2,0,0.71,0.09,Artifact,Weak,,
29,2.5,55.5,1.64,1128.99,Solvent,None,,,59,-2.52,0,0.47,0.05,Artifact,Weak,,
30,2.5,82.6,1.77,1844.09,Solvent,None,,,,,,,,,,,
