,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,15.68,0,0.62,0.06,Artifact,Weak,,,28,4.38,0,1.52,0.24,Impurity,Weak,,,55,3.22,0,2.22,1.41,Compound,None,,,82,2.33,0.3,1.47,6.53,Solvent,Weak + C13_Sat,,
2,13.02,0,0.66,0.06,Artifact,Weak,,,29,4.35,0.1,3.11,3.2,Compound,None,,,56,3.21,0,1.69,0.86,Compound,None,,,83,2.33,0.5,1.38,8.31,Solvent,Weak + C13_Sat,,
3,10.2,0,1.88,0.29,Impurity,Weak,,,30,4.33,0.1,2.45,4.17,Compound,None,,,57,3.16,0,1.86,0.94,Compound,None,,,84,2.32,0.3,1.38,5.55,Solvent,Weak + C13_Sat,,
4,8.46,0.1,7.9,6.93,Compound,None,,,31,4.32,0.1,2.41,1.87,Compound,None,,,58,3.15,0,2.11,1.13,Compound,None,,,85,2.32,0.1,1.38,1.95,Solvent,Weak + C13_Sat,,
5,6.57,0,1.58,0.43,Impurity,None,,,32,4.28,0,1.02,0.13,Impurity,Weak,,,59,3.14,0,2.53,1.27,Compound,None,,,86,2.29,0,0.98,0.16,Impurity,Weak,,
6,6.55,0,1.59,0.46,Impurity,None,,,33,4.26,0,2.22,0.29,Impurity,Weak,,,60,3.13,0.1,3.19,3.45,Compound,Weak + C13_Sat,,,87,2.09,0,2.23,0.26,Artifact,Weak,,
7,6.2,0,1.74,0.34,Impurity,None,,,34,4.25,0,1.33,0.16,Artifact,Weak,,,61,3.12,0,1.49,0.49,Compound,None,,,88,2.03,0,1.91,0.24,Artifact,Weak,,
8,6.19,0,2.17,0.33,Impurity,None,,,35,3.65,0,8.71,4.24,Compound,None,,,62,3.1,0,3.36,1.97,Compound,None,,,89,1.87,0.1,6.5,5.11,Compound,None,,
9,5.43,0,2.13,0.16,Artifact,Weak,,,36,3.64,0,2.46,1.08,Compound,None,,,63,3.06,0,1.62,0.17,Artifact,Weak,,,90,1.82,0,3.8,0.62,Compound,None,,
10,5.22,0,1.83,0.17,Artifact,Weak,,,37,3.63,0,3.37,2.01,Compound,None,,,64,3.04,0,2.22,0.45,Impurity,None,,,91,1.77,0,1.96,0.15,Artifact,Weak,,
