,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,11.3,0,0.7,0.05,Artifact,Weak,,,27,2.67,0.3,1.5,7.02,Solvent,Weak + C13_Sat,,,53,1.28,0,0.98,0.13,Impurity,Weak,,
2,10.2,0,2.67,1.54,Compound,None,,,28,2.67,0.5,1.32,7.94,Solvent,Weak + C13_Sat,,,54,1.26,0,2.53,0.7,Impurity,None,,
3,10.11,0,0.86,0.08,Impurity,Weak,,,29,2.66,0.3,1.37,5.61,Solvent,Weak + C13_Sat,,,55,1.23,0.2,3.89,10.87,Compound,None,,
4,8.93,0,0.63,0.05,Artifact,Weak,,,30,2.66,0.1,1.2,1.57,Solvent,Weak + C13_Sat,,,56,1.19,0,0.94,0.06,Artifact,Weak,,
5,8.32,0,1.25,0.34,Impurity,None,,,31,2.6,0,31.66,3.63,Compound,None,,,57,1.15,0,1.09,0.35,Compound,None,,
6,8.2,0,0.5,0.03,Artifact,Weak,,,32,2.52,0.3,1.17,5.01,Solvent,Weak,,,58,1.15,0.1,1.56,1.49,Compound,None,,
7,8.15,0,2.07,0.21,Artifact,Weak,,,33,2.52,0.3,0.92,2.9,Solvent,Weak,,,59,1.15,0.1,1.8,3.09,Compound,None,,
8,7.17,3.2,22.61,942.23,Compound,None,,,34,2.51,23.8,1.31,379.99,Solvent,None,,,60,1.14,0.1,1.77,1.86,Compound,None,,
9,6.82,0,0.31,0.02,Artifact,Weak,,,35,2.5,60.7,1.51,1238.96,Solvent,None,,,61,1.13,0,1.14,0.09,Artifact,Weak,,
10,6.52,0,1.81,0.39,Artifact,Weak,,,36,2.5,83.1,1.4,1505.89,Solvent,None,,,62,1.12,0,5.48,0.71,Compound,None,,
11,5.48,0,0.6,0.04,Artifact,Weak,,,37,2.5,55.7,1.38,955.33,Solvent,None,,,63,1.11,0,2.77,0.36,Impurity,Weak,,
12,5.4,0,0.89,0.06,Artifact,Weak,,,38,2.49,22.2,1.18,293.27,Solvent,None,,,64,1.11,0,1.01,0.39,Impurity,None,,
13,5.2,0,0.72,0.05,Artifact,Weak,,,39,2.47,0,1.46,0.17,Artifact,Weak,,,65,0.99,0,1.35,0.14,Impurity,Weak,,
14,5.07,0,20.26,3.58,Compound,None,,,40,2.45,0,1.08,0.07,Artifact,Weak,,,66,0.85,0,3.17,1.62,Compound,None,,
15,4.97,0,31.11,2.28,Artifact,Weak,,,41,2.34,0.1,1.23,2.05,Solvent,Weak + C13_Sat,,,67,0.83,0,10.91,4.18,Compound,None,,
16,4.89,0,151.94,42.25,Compound,None,,,42,2.33,0.3,1.34,5.72,Solvent,Weak + C13_Sat,,,68,0.1,0,22.42,1.86,CS Reference,Weak,,
17,4.46,0,5.61,0.68,Impurity,Weak,,,43,2.33,0.5,1.53,10,Solvent,Weak + C13_Sat,,,69,0.07,0,1.94,0.71,CS Reference,None,,
18,4.44,0,1.24,0.09,Artifact,Weak,,,44,2.32,0.3,1.25,4.75,Solvent,Weak + C13_Sat,,,70,-0.06,0,1.04,0.06,Artifact,Weak,,
19,4.21,0,0.46,0.03,Artifact,Weak,,,45,2.32,0.1,1.24,1.53,Solvent,Weak + C13_Sat,,,71,-0.68,0,0.59,0.05,Artifact,Weak,,
20,3.59,0,1.9,0.18,Impurity,Weak,,,46,2.22,0,1.38,0.1,Artifact,Weak,,,72,-0.97,0,0.56,0.04,Artifact,Weak,,
21,3.58,0,1.12,0.1,Artifact,Weak,,,47,2.08,0,1.11,0.07,Artifact,Weak,,,73,-1.32,0,0.58,0.04,Artifact,Weak,,
22,3.51,0,2.55,0.39,Impurity,None,,,48,2.01,0,27.11,5.82,Compound,None,,,74,-2.53,0,0.61,0.04,Artifact,Weak,,
23,3.16,0,0.54,0.04,Artifact,Weak,,,49,1.91,0.1,0.81,0.84,Impurity,None,,,75,-2.55,0,0.76,0.05,Artifact,Weak,,
24,3.13,0,3.12,1.25,Compound,None,,,50,1.83,0,49.44,14.45,Compound,None,,,76,-3.13,0,1.32,0.11,Artifact,Weak,,
25,3.11,0.1,2.05,2.66,Compound,None,,,51,1.75,0,2,0.18,Artifact,Weak,,,,,,,,,,,
26,2.68,0.1,1.25,2.03,Solvent,Weak + C13_Sat,,,52,1.3,0,1.3,0.16,Impurity,Weak,,,,,,,,,,,
