,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,15.23,0,0.5,0.05,Artifact,Weak,,,25,4.62,0,5.74,0.66,Artifact,Weak,,,49,2.66,0.3,1.23,5.01,Solvent,Weak + C13_Sat,,,73,1.3,0,1.85,0.42,Impurity,None,,
2,15.12,0,0.75,0.07,Artifact,Weak,,,26,4.59,0,1.88,0.69,Compound,None,,,50,2.66,0.1,1.24,1.98,Solvent,Weak + C13_Sat,,,74,1.28,0,0.87,0.25,Compound,None,,
3,14.22,0,0.73,0.07,Artifact,Weak,,,27,4.57,0,1.78,0.87,Compound,None,,,51,2.52,1.5,14.26,304.53,Solvent,None,,,75,1.26,0,1.52,0.63,Compound,None,,
4,13.82,0,0.6,0.06,Artifact,Weak,,,28,4.42,0,1.51,0.2,Impurity,Weak,,,52,2.52,0.3,0.97,4.49,Solvent,Weak,,,76,1.24,0.3,3.12,14.92,Compound,None,,
5,12.18,0,0.79,0.08,Artifact,Weak,,,29,4.38,0,0.95,0.12,Impurity,Weak,,,53,2.51,24.9,1.25,413.21,Solvent,None,,,77,1.22,0,0.62,0.11,Compound,None,,
6,11.07,0,1.53,0.16,Artifact,Weak,,,30,4.34,0,1.11,0.37,Compound,None,,,54,2.5,61.7,1.43,1182.34,Solvent,None,,,78,1.19,0,0.82,0.08,Artifact,Weak,,
7,10.64,0,0.61,0.05,Artifact,Weak,,,31,4.33,0,2.51,1.13,Compound,None,,,55,2.5,83,1.26,1348.54,Solvent,None,,,79,1.15,0.1,3.18,2.19,Compound,None,,
8,9.97,0,0.55,0.05,Artifact,Weak,,,32,4.32,0,2.29,0.29,Compound,None,,,56,2.5,55.9,1.34,951.67,Solvent,None,,,80,1.13,0,0.5,0.06,Impurity,Weak,,
9,8.53,0.2,2.75,6.9,Compound,None,,,33,4.24,0,0.46,0.05,Artifact,Weak,,,57,2.49,21.6,1.22,298.53,Solvent,None,,,81,1.1,0,0.51,0.05,Artifact,Weak,,
10,8.26,0,0.93,0.08,Artifact,Weak,,,34,4.08,0,0.46,0.04,Artifact,Weak,,,58,2.35,0,10.58,1.96,Compound,None,,,82,1.07,0,0.85,0.32,Compound,None,,
11,8.23,0,1.47,0.14,Artifact,Weak,,,35,3.63,0,1.01,0.15,Impurity,Weak,,,59,2.34,0.2,1.48,3.06,Solvent,Weak + C13_Sat,,,83,1.05,0.1,0.79,0.58,Compound,None,,
12,8.2,0,0.54,0.06,Artifact,Weak,,,36,3.58,0,0.97,0.15,Compound,None,,,60,2.33,0.3,1.22,5.37,Solvent,Weak + C13_Sat,,,84,1.04,0,0.7,0.18,Compound,None,,
13,6.67,0,0.73,0.07,Artifact,Weak,,,37,3.57,0,1.25,0.38,Compound,None,,,61,2.33,0.5,1.41,9.83,Solvent,Weak + C13_Sat,,,85,0.97,0,2.89,0.47,Impurity,None,,
14,6.57,0,1.03,0.19,Impurity,None,,,38,3.56,0,2.25,0.58,Compound,None,,,62,2.32,0.3,1.23,5.03,Solvent,Weak + C13_Sat,,,86,0.96,0,1.72,0.38,Impurity,None,,
15,6.28,0,1.11,0.24,Impurity,None,,,39,3.54,0,2.59,0.76,Compound,None,,,63,2.32,0.1,1.26,1.93,Solvent,Weak + C13_Sat,,,87,0.85,0,1.56,0.86,Compound,None,,
16,5.32,0,0.61,0.06,Artifact,Weak,,,40,3.53,0,2.11,0.45,Compound,None,,,64,2.29,0,0.96,0.12,Impurity,Weak,,,88,0.84,0,3.5,1.09,Compound,None,,
17,4.9,0,0.57,0.06,Artifact,Weak,,,41,3.52,0,1.35,0.21,Compound,None,,,65,2.23,0,1.75,0.17,Compound,None,,,89,0.82,0,0.5,0.04,Artifact,Weak,,
18,4.88,0,1.97,0.68,Compound,None,,,42,3.51,0,0.93,0.3,Impurity,None,,,66,2.21,0,3.67,0.55,Compound,None,,,90,0.46,0,0.54,0.05,Artifact,Weak,,
19,4.87,0,1.88,0.74,Compound,None,,,43,3.44,0,0.6,0.11,Impurity,None,,,67,2.08,0,0.98,0.09,Artifact,Weak,,,91,0.07,0,1.55,0.36,Impurity,None,,
20,4.83,0,2.31,0.62,Compound,None,,,44,3.26,0,0.97,0.2,Artifact,Weak,,,68,2,0,0.73,0.1,Impurity,Weak,,,92,-0.94,0,0.6,0.06,Artifact,Weak,,
21,4.81,0,2.07,0.41,Compound,None,,,45,3.13,0,2.31,0.48,Impurity,None,,,69,1.84,0,19.66,5.12,Compound,None,,,93,-1.37,0,0.56,0.05,Artifact,Weak,,
22,4.76,0,2.06,0.64,Compound,None,,,46,2.68,0.1,1.32,2.43,Solvent,Weak + C13_Sat,,,70,1.55,0,1.63,0.18,Artifact,Weak,,,,,,,,,,,
23,4.75,0,5.33,2.1,Compound,None,,,47,2.67,0.3,1.32,6.08,Solvent,Weak + C13_Sat,,,71,1.46,0,6.7,0.97,Compound,None,,,,,,,,,,,
24,4.74,0,1.83,0.65,Compound,None,,,48,2.67,0.5,1.4,9.47,Solvent,Weak + C13_Sat,,,72,1.34,0,0.94,0.12,Artifact,Weak,,,,,,,,,,,
