,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,15,0,0.45,0.05,Artifact,Weak,,,29,4.58,0,1.96,0.67,Compound,None,,,57,3.63,0,1.44,0.46,Compound,None,,,85,3.01,0,6.05,3.19,Compound,None,,,113,2.23,0,1.92,0.26,Artifact,Weak,,
2,13.74,0,0.42,0.05,Artifact,Weak,,,30,4.57,0,2.03,0.59,Compound,None,,,58,3.61,0,1.71,0.44,Impurity,None,,,86,2.98,0,1.69,0.21,Impurity,Weak,,,114,2.17,0,45.13,14.05,Compound,None,,
3,12.82,0,0.87,0.1,Artifact,Weak,,,31,4.55,0,0.5,0.06,Artifact,Weak,,,59,3.61,0,1.24,0.36,Impurity,None,,,87,2.91,0,2.02,0.71,Compound,None,,,115,2.09,0,1.72,0.93,Compound,None,,
4,12.26,0,0.42,0.04,Artifact,Weak,,,32,4.48,0.1,2.4,2.07,Compound,None,,,60,3.59,0,1.21,0.26,Compound,None,,,88,2.9,0,1.71,0.72,Compound,None,,,116,2.08,0,0.76,0.18,Compound,None,,
5,11.29,0,0.37,0.05,Artifact,Weak,,,33,4.46,0.1,2.69,3.63,Compound,None,,,61,3.58,0,1.67,0.92,Compound,None,,,89,2.89,0,4.28,2.59,Compound,None,,,117,2.06,0,1.88,0.22,Artifact,Weak,,
6,10.2,0,1.51,0.87,Compound,None,,,34,4.46,0,1.02,0.19,Compound,Weak,,,62,3.57,0.1,2.23,2.68,Compound,None,,,90,2.87,0,2.38,1.12,Compound,None,,,118,1.88,0.1,4.92,3.98,Compound,None,,
7,8.81,0,0.97,0.1,Artifact,Weak,,,35,4.45,0.1,2.95,2.26,Compound,None,,,63,3.56,0,1.94,0.94,Compound,None,,,91,2.87,0,1.86,0.49,Compound,None,,,119,1.83,0,5.83,1.24,Compound,None,,
8,8.4,0.1,7.67,5.09,Compound,None,,,36,4.44,0.1,2.02,2.95,Compound,None,,,64,3.55,0,1.04,0.12,Artifact,Weak,,,92,2.85,0,1.71,0.53,Compound,None,,,120,1.77,0,3.05,0.51,Impurity,None,,
9,7.79,0,1.27,0.18,Artifact,Weak,,,37,4.42,0.1,2.07,2.96,Compound,None,,,65,3.54,0.1,7.66,7.69,Compound,None,,,93,2.68,0.1,1.56,2.66,Solvent,Weak + C13_Sat,,,121,1.48,0,19.72,4.93,Compound,None,,
10,6.57,0.1,1.71,2.7,Compound,None,,,38,4.4,0,1.75,0.88,Compound,None,,,66,3.53,0,2.4,0.82,Compound,None,,,94,2.67,0.3,1.63,7.32,Solvent,Weak + C13_Sat,,,122,1.36,0,1.11,0.17,Artifact,Weak,,
11,6.55,0.1,1.71,2.83,Compound,None,,,39,4.39,0.1,1.91,1,Compound,None,,,67,3.51,0,1.47,0.33,Impurity,None,,,95,2.67,0.5,1.58,9.99,Solvent,Weak + C13_Sat,,,123,1.33,0,1.83,0.42,Impurity,None,,
12,6.2,0.1,2.67,3.6,Compound,None,,,40,4.38,0,1.95,0.29,Compound,None,,,68,3.47,0,2.23,1.27,Compound,Weak + C13_Sat,,,96,2.66,0.3,1.47,5.69,Solvent,Weak + C13_Sat,,,124,1.3,0,1.82,0.79,Compound,None,,
13,6.19,0.1,2.21,2.76,Compound,None,,,41,4.36,0,2.8,1.69,Compound,None,,,69,3.45,0,2.58,1.59,Compound,None,,,97,2.66,0.1,1.37,1.91,Solvent,Weak + C13_Sat,,,125,1.26,0,1.14,0.55,Compound,None,,
14,5.29,0,1.03,0.13,Artifact,Weak,,,42,4.34,0.1,3.06,3.61,Compound,None,,,70,3.44,0.1,3.1,2.47,Compound,None,,,98,2.6,0,34.77,4.84,Artifact,Weak,,,126,1.25,0.1,21.7,33.49,Compound,None,,
15,5.13,0,1.99,0.17,Artifact,Weak,,,43,4.33,0.1,4.69,4.82,Compound,None,,,71,3.42,0.1,3.1,2.29,Artifact,Weak,,,99,2.52,0.3,1.56,5.52,Solvent,Weak,,,127,1.24,0.6,3.31,28.38,Compound,None,,
16,5.1,0,3.43,0.62,Compound,None,,,44,4.31,0,2.08,1,Compound,None,,,72,3.39,0.1,3.21,3.78,Artifact,Weak,,,100,2.52,1.7,16.59,410.64,Solvent,None,,,128,1.15,0,3.73,2.14,Compound,None,,
17,5.08,0,2.1,0.31,Artifact,Weak,,,45,4.3,0,1.43,0.33,Impurity,None,,,73,3.25,0.2,95.19,255.47,Artifact,Weak,,,101,2.51,25,1.49,478.21,Solvent,None,,,129,1.13,0,0.71,0.09,Artifact,Weak,,
18,4.91,0.1,2.26,2.2,Compound,None,,,46,4.28,0.1,1.7,1.25,Compound,None,,,74,3.13,0.1,3.54,6.29,Compound,None,,,102,2.5,59.3,1.62,1248.71,Solvent,None,,,130,1.07,0,1.96,1.02,Compound,None,,
19,4.9,0.1,2.65,3.86,Compound,None,,,47,4.27,0.1,2.06,2,Compound,None,,,75,3.12,0,2,0.79,Compound,Weak + C13_Sat,,,103,2.5,80.8,1.56,1591.67,Solvent,None,,,131,1.06,0,2.4,1.42,Compound,None,,
