date,Start_Time,Seq.Program,Site,Core,PPM_CO2,Mass_g,Initials,Notes1,Notes2
26Feb2020,,,SR,56,587,262.39,,,
26Feb2020,,,SR,61,613,279.94,,,
26Feb2020,,,SR,80,621,288.31,,,
26Feb2020,,,SR,73,625,304.12,,,
26Feb2020,,,SR,35,605,187.93,,,
26Feb2020,,,SR,14,569,167.64,,,
26Feb2020,,,SR,26,574,195.62,,,
26Feb2020,,,SR,49,563,179.42,,,
26Feb2020,,,SR,28,554,172.87,,,
26Feb2020,,,SR,86,592,241.47,,,
26Feb2020,,,,amb,544,,,,
26Feb2020,,,SR,33,604,165.73,,,
26Feb2020,,,SR,4,570,199.75,,,
26Feb2020,,,SR,46,577,174.88,,,
26Feb2020,,,SR,63,559,234.50,,,
26Feb2020,,,SR,8,556,180.66,,,
26Feb2020,,,SR,13,563,188.85,,,
26Feb2020,,,,amb,528,,,,
28Feb2020,,,,amb,505,,,,
28Feb2020,,,CPCRW,14,583,249.63,,,
28Feb2020,,,CPCRW,48,610,230.22,,,
28Feb2020,,,CPCRW,35,600,185,,,
28Feb2020,,,CPCRW,49,575,149.98,,,
28Feb2020,,,CPCRW,8,616,282.46,,,
28Feb2020,,,CPCRW,46,582,238.8,,,
28Feb2020,,,CPCRW,85,570,230.34,,,
28Feb2020,,,CPCRW,79,653,236.94,,,
28Feb2020,,,CPCRW,33,560,264.25,,,
28Feb2020,,,,amb,515,,,,
28Feb2020,,,SR,56,620,263.32,,,
28Feb2020,,,SR,61,780,280.69,,,
28Feb2020,,,SR,80,624,289.55,,,
28Feb2020,,,SR,73,600,304.72,,,
28Feb2020,,,SR,35,595,188.68,,,
28Feb2020,,,SR,14,606,167.66,,,
28Feb2020,,,SR,26,603,195.55,,,
28Feb2020,,,SR,49,614,180.05,,,
28Feb2020,,,SR,28,574,173.76,,,
28Feb2020,,,SR,86,591,245.05,,,
28Feb2020,,,,amb,538,,,,
28Feb2020,,,SR,33,588,167.21,,,
28Feb2020,,,SR,4,584,199.99,,,
28Feb2020,,,SR,46,600,175.01,,,
28Feb2020,,,SR,63,583,235.71,,,
28Feb2020,,,SR,8,593,180.99,,,
28Feb2020,,,SR,13,577,188.66,,,
,,,,amb,544,,,,
2March2020,,,,amb,511,,,,
2March2020,,,CPCRW,14,564,249.84,,,
2March2020,,,CPCRW,48,552,229.90,,,
2March2020,,,CPCRW,35,562,184.86,,,
2March2020,,,CPCRW,49,556,148.66,,,
2March2020,,,CPCRW,8,564,284.20,,,
2March2020,,,CPCRW,46,551,238.09,,,
2March2020,,,CPCRW,85,534,229.17,,,
2March2020,,,CPCRW,79,588,237.07,,,
2March2020,,,CPCRW,33,554,263.44,,,
2March2020,,,,amb,534,,,,
2March2020,,,SR,56,606,263.21,,,
2March2020,,,SR,61,575,280.55,,,
2March2020,,,SR,80,579,289.83,,,
2March2020,,,SR,73,577,305.75,,,
2March2020,,,SR,35,585,188.46,,,
2March2020,,,SR,14,557,168.22,,,
2March2020,,,SR,26,583,196.48,,,
2March2020,,,SR,49,609,180.58,,,
2March2020,,,SR,28,584,174.75,,,
2March2020,,,SR,86,600,247.74,,,
2March2020,,,,amb,,,,,
2March2020,,,SR,33,594,167.28,,,
2March2020,,,SR,4,582,200.04,,,
2March2020,,,SR,46,596,175.11,,,
2March2020,,,SR,63,620,235.72,,,
2March2020,,,SR,8,599,181.07,,,
2March2020,,,SR,13,536,188.72,,,
2March2020,,,,amb,556,,,,
4March2020,,,,amb,538,,,,
4March2020,,,SR,56,586,263.80,,,
4March2020,,,SR,61,638,281.16,,,
4March2020,,,SR,80,593,290.67,,,
4March2020,,,SR,73,591,306.24,,,
4March2020,,,SR,35,585,188.89,,,
4March2020,,,SR,14,557,168.74,,,
4March2020,,,SR,26,579,196.58,,,
4March2020,,,SR,49,576,180.8,,,
4March2020,,,SR,28,569,175.39,,,
4March2020,,,SR,86,567,249.42,,,
4March2020,,,,amb,509,,,,
4March2020,,,SR,33,526,166.33,,,
4March2020,,,SR,4,551,203.16,,,
4March2020,,,SR,46,571,176.03,,,
4March2020,,,SR,63,549,236.47,,,
4March2020,,,SR,8,551,181.46,,,
4March2020,,,SR,13,554,189.59,,,
4March2020,,,,amb,,,,,
6March2020,,,,amb,470,,,,
6March2020,,,SR,56,546,263.99,,,
6March2020,,,SR,61,573,281.84,,,
6March2020,,,SR,80,593,291.03,,,
6March2020,,,SR,73,571,306.64,,,
6March2020,,,SR,35,594,189.22,,,
6March2020,,,SR,14,571,168.87,,,
6March2020,,,SR,26,526,196.75,,,
6March2020,,,SR,49,616,180.91,,,
6March2020,,,SR,28,643,175.96,,,
6March2020,,,SR,86,719,249.93,,,
6March2020,,,,amb,488,,,,
6March2020,,,SR,33,553,166.87,,,
6March2020,,,SR,4,602,203.56,,,
6March2020,,,SR,46,851,176.62,,,
6March2020,,,SR,63,572,237.11,,,
6March2020,,,SR,8,577,181.83,,,
6March2020,,,SR,13,549,190.32,,,
6March2020,,,,amb,493,,,,
9March2020,,,SR,56,533,264.81,,,
9March2020,,,SR,61,605,282.02,,,
9March2020,,,SR,80,525,291.34,,,
9March2020,,,SR,73,548,307.02,,,
9March2020,,,SR,35,542,189.17,,,
9March2020,,,SR,14,552,169.36,,,
9March2020,,,SR,26,568,197.3,,,
9March2020,,,SR,49,561,181.45,,,
9March2020,,,SR,28,548,176.16,,,
9March2020,,,SR,86,568,252.03,,,
9March2020,,,,amb,520,,,,
9March2020,,,SR,33,548,166.74,,,
9March2020,,,SR,4,561,201.74,,,
9March2020,,,SR,46,601,177.05,,,
9March2020,,,SR,63,578,235.19,,,
9March2020,,,SR,8,563,181.59,,,
9March2020,,,SR,13,572,190.55,,,
9March2020,,,,amb,549,,,,
11March2020,,,,amb,469,,,,
11March2020,,,SR,56,545,265.02,,,
11March2020,,,SR,61,570,281.95,,,
11March2020,,,SR,80,566,291.56,,,
11March2020,,,SR,73,550,307.22,,,
11March2020,,,SR,35,569,189.06,,,
11March2020,,,SR,14,497,169.59,,,
11March2020,,,SR,26,534,197.47,,,
11March2020,,,SR,49,547,181.45,,,
11March2020,,,SR,28,525,176.66,,,
11March2020,,,SR,86,546,252.27,,,
11March2020,,,,amb,514,,,,
11March2020,,,SR,33,535,166.89,,,
11March2020,,,SR,4,536,201.49,,,
11March2020,,,SR,46,543,177.4,,,
11March2020,,,SR,63,560,234.73,,,
11March2020,,,SR,8,554,182.18,,,
11March2020,,,SR,13,552,190.6,,,
11March2020,,,,amb,533,,,,
12March2020,,,,amb,484,,,,
12March2020,,,SR,56,518,265.09,,,
12March2020,,,SR,61,571,282.05,,,
12March2020,,,SR,80,548,291.62,,,
12March2020,,,SR,73,542,307.89,,,
12March2020,,,SR,35,553,189.06,,,
12March2020,,,SR,14,532,169.6,,,
12March2020,,,SR,26,558,197.56,,,
12March2020,,,SR,49,541,181.59,,,
12March2020,,,SR,28,545,176.77,,,
12March2020,,,SR,86,542,252.1,,,
12March2020,,,,amb,516,,,,
12March2020,,,SR,33,543,167.2,,,
12March2020,,,SR,4,535,202.01,,,
12March2020,,,SR,46,541,177.55,,,
12March2020,,,SR,63,548,234.48,,,
12March2020,,,SR,8,533,181.45,,,
12March2020,,,SR,13,536,190.51,,,
12March2020,,,,amb,517,,,,
