"Core","DATETIME","MPVPosition","CH4_dry","CO2_dry","Elapsed_seconds","Treatment","coreID","Site","location","drying","length","replicate","Core_assignment"
"1",2019-01-04 21:05:36,6,1.9745078558,514.78132672,3,"drydown","C1","CPCRW","upland","forced","90 day",1,"CPCRW_90d_up_FAD_r1"
"1",2019-01-04 21:06:38,6,1.9717973974,521.8992493,65,"drydown","C1","CPCRW","upland","forced","90 day",1,"CPCRW_90d_up_FAD_r1"
"1",2019-01-04 21:06:00,6,1.9745078558,514.78132672,27,"drydown","C1","CPCRW","upland","forced","90 day",1,"CPCRW_90d_up_FAD_r1"
"1",2019-01-17 20:13:44,6,2.0101036496,533.66147075,91,"drydown","C1","CPCRW","upland","forced","90 day",1,"CPCRW_90d_up_FAD_r1"
"1",2019-01-04 21:05:33,6,1.9638774,507.61468594,0,"drydown","C1","CPCRW","upland","forced","90 day",1,"CPCRW_90d_up_FAD_r1"
"1",2019-01-04 21:07:00,6,1.9717973974,521.8992493,87,"drydown","C1","CPCRW","upland","forced","90 day",1,"CPCRW_90d_up_FAD_r1"
"1",2019-01-04 21:05:39,6,1.9745078558,514.78132672,6,"drydown","C1","CPCRW","upland","forced","90 day",1,"CPCRW_90d_up_FAD_r1"
"1",2019-01-04 21:07:04,6,1.9707026779,508.65736854,91,"drydown","C1","CPCRW","upland","forced","90 day",1,"CPCRW_90d_up_FAD_r1"
"1",2019-01-24 18:39:39,5,2.2666231596,525.73771628,90,"drydown","C1","CPCRW","upland","forced","90 day",1,"CPCRW_90d_up_FAD_r1"
"1",2019-01-11 19:46:13,8,1.9889983554,525.1048065,91,"drydown","C1","CPCRW","upland","forced","90 day",1,"CPCRW_90d_up_FAD_r1"
"1",2019-01-17 20:13:40,6,2.0112760662,537.94867191,87,"drydown","C1","CPCRW","upland","forced","90 day",1,"CPCRW_90d_up_FAD_r1"
"1",2019-01-24 18:39:17,5,2.2666231596,525.73771628,68,"drydown","C1","CPCRW","upland","forced","90 day",1,"CPCRW_90d_up_FAD_r1"
"1",2019-01-17 20:13:17,6,2.0112760662,537.94867191,64,"drydown","C1","CPCRW","upland","forced","90 day",1,"CPCRW_90d_up_FAD_r1"
"1",2019-01-04 21:06:33,6,1.9717973974,521.8992493,60,"drydown","C1","CPCRW","upland","forced","90 day",1,"CPCRW_90d_up_FAD_r1"
