"Core","Sample_number","DATETIME","n","flux_co2_umol_s","flux_ch4_nmol_s","dry_soil_g","flux_co2_umol_g_s","flux_ch4_nmol_g_s","Core_assignment","coreID","Site","location","drying","length","replicate","Treatment"
"16",15960,2019-09-23 18:32:42,2,0.000158429447972695,1.46407225179129e-19,93.51,1.69425139528067e-06,1.56568522274761e-21,"SR_30d_low_FAD_r2","S16","SR","lowland","forced","30 day",2,"drought"
"16",16031,2019-09-23 20:54:36,3,0.000529809696635236,-9.14854582514344e-20,93.51,5.66580789899728e-06,-9.78349462639658e-22,"SR_30d_low_FAD_r2","S16","SR","lowland","forced","30 day",2,"sat"
"16",18177,2019-09-27 17:53:03,2,0.00243479956187055,1.43536495273656e-19,93.51,2.60378522283237e-05,1.53498551249765e-21,"SR_30d_low_FAD_r2","S16","SR","lowland","forced","30 day",2,"sat"
"16",20350,2019-09-30 17:36:35,3,0.00493768922851881,-9.08504953263134e-20,93.51,5.28038629934639e-05,-9.71559141549711e-22,"SR_30d_low_FAD_r2","S16","SR","lowland","forced","30 day",2,"sat"
"20",2045,2019-09-04 00:39:28,2,0.00661233939639719,-5.71064706827947e-05,90.93,7.27190079885317e-05,-6.28026731362528e-07,"SR_30d_low_CW_r3","S20","SR","lowland","constant weight","30 day",3,"drought"
"20",2058,2019-09-04 01:30:37,2,0.000169012089123842,2.92814450358258e-19,90.93,1.8587054781023e-06,3.22021830373098e-21,"SR_30d_low_CW_r3","S20","SR","lowland","constant weight","30 day",3,"drought"
"20",2082,2019-09-04 02:17:59,3,4.78494002484328e-05,-8.73233700414282e-20,90.93,5.26222371587295e-07,-9.6033619313129e-22,"SR_30d_low_CW_r3","S20","SR","lowland","constant weight","30 day",3,"drought"
"20",2105,2019-09-04 03:05:29,3,3.14360380272645e-05,-9.08631928572607e-20,90.93,3.45716903412124e-07,-9.99265290413072e-22,"SR_30d_low_CW_r3","S20","SR","lowland","constant weight","30 day",3,"drought"
"20",2130,2019-09-04 03:52:32,2,3.0643334836604e-05,0,90.93,3.36999173392764e-07,0,"SR_30d_low_CW_r3","S20","SR","lowland","constant weight","30 day",3,"drought"
"20",2150,2019-09-04 04:40:08,3,1.10590448851756e-05,-8.96557490864057e-20,90.93,1.21621520787151e-07,-9.85986463063958e-22,"SR_30d_low_CW_r3","S20","SR","lowland","constant weight","30 day",3,"drought"
"20",2166,2019-09-04 05:27:32,3,1.37100164762914e-05,-1.76944427029764e-19,90.93,1.50775502873544e-07,-1.94594113086731e-21,"SR_30d_low_CW_r3","S20","SR","lowland","constant weight","30 day",3,"drought"
"20",2183,2019-09-04 06:14:51,3,1.81362787420014e-05,9.36398891692637e-08,90.93,1.99453191927872e-07,1.02980192641882e-09,"SR_30d_low_CW_r3","S20","SR","lowland","constant weight","30 day",3,"drought"
"20",2202,2019-09-04 07:02:13,3,9.72268410763801e-06,3.62071051911233e-07,90.93,1.06924932449555e-07,3.98186574190292e-09,"SR_30d_low_CW_r3","S20","SR","lowland","constant weight","30 day",3,"drought"
"20",2232,2019-09-04 07:49:43,2,8.50477820577065e-06,1.46407225179129e-19,90.93,9.3531048122409e-08,1.61010915186549e-21,"SR_30d_low_CW_r3","S20","SR","lowland","constant weight","30 day",3,"drought"
"20",2262,2019-09-04 08:37:02,2,9.05711491804287e-06,1.43536495273656e-19,90.93,9.96053548668522e-08,1.57853838418185e-21,"SR_30d_low_CW_r3","S20","SR","lowland","constant weight","30 day",3,"drought"
"20",2302,2019-09-04 10:11:52,3,4.59744915349258e-06,-9.08631928572607e-20,90.93,5.05603118167006e-08,-9.99265290413072e-22,"SR_30d_low_CW_r3","S20","SR","lowland","constant weight","30 day",3,"drought"
"20",2324,2019-09-04 10:59:11,3,6.32931211327722e-06,-8.96557490864057e-20,90.93,6.96064237685826e-08,-9.85986463063958e-22,"SR_30d_low_CW_r3","S20","SR","lowland","constant weight","30 day",3,"drought"
"20",2346,2019-09-04 11:46:40,2,2.70217090354759e-06,0,90.93,2.97170450186692e-08,0,"SR_30d_low_CW_r3","S20","SR","lowland","constant weight","30 day",3,"drought"
"20",2399,2019-09-04 14:08:33,2,4.50279812278461e-06,1.49395127733805e-19,90.93,4.95193898909558e-08,1.64296852231172e-21,"SR_30d_low_CW_r3","S20","SR","lowland","constant weight","30 day",3,"drought"
"20",2422,2019-09-04 14:55:49,2,8.52628115076286e-06,1.43536495273656e-19,90.93,9.37675261273822e-08,1.57853838418185e-21,"SR_30d_low_CW_r3","S20","SR","lowland","constant weight","30 day",3,"drought"
"20",2449,2019-09-04 15:43:29,4,7.12656292745053e-06,2.4880957233044e-07,90.93,7.83741661437427e-08,2.73627595216584e-09,"SR_30d_low_CW_r3","S20","SR","lowland","constant weight","30 day",3,"drought"
"20",2506,2019-09-04 17:57:52,2,2.67417795995593e-05,1.46407225179129e-19,90.93,2.94091934450229e-07,1.61010915186549e-21,"SR_30d_low_CW_r3","S20","SR","lowland","constant weight","30 day",3,"sat"
"20",2512,2019-09-04 18:23:45,2,0.00067434000806796,1.49395127733805e-19,90.93,7.41603440083536e-06,1.64296852231172e-21,"SR_30d_low_CW_r3","S20","SR","lowland","constant weight","30 day",3,"sat"
"3",2064,2019-09-04 01:38:11,2,0.000260124791806244,2.87072990547311e-19,97.38,2.67123425555806e-06,2.94796663121084e-21,"SR_30d_low_CW_r4","S3","SR","lowland","constant weight","30 day",4,"drought"
"3",2085,2019-09-04 02:25:33,3,4.56695565339558e-05,-8.90581222136562e-20,97.38,4.68982917785539e-07,-9.14542228523888e-22,"SR_30d_low_CW_r4","S3","SR","lowland","constant weight","30 day",4,"drought"
"3",2110,2019-09-04 03:12:37,2,3.84903923438525e-05,0,97.38,3.95259728320523e-07,0,"SR_30d_low_CW_r4","S3","SR","lowland","constant weight","30 day",4,"drought"
"3",2136,2019-09-04 04:00:03,2,1.90092817908671e-05,0,97.38,1.95207247801058e-07,0,"SR_30d_low_CW_r4","S3","SR","lowland","constant weight","30 day",4,"drought"
"3",2153,2019-09-04 04:47:40,3,4.16693070662881e-06,-8.73233700414282e-20,97.38,4.27904159645596e-08,-8.96727973315139e-22,"SR_30d_low_CW_r4","S3","SR","lowland","constant weight","30 day",4,"drought"
"3",2169,2019-09-04 05:35:03,3,6.26437010494783e-06,-1.78116244427312e-19,97.38,6.43291241009225e-08,-1.82908445704778e-21,"SR_30d_low_CW_r4","S3","SR","lowland","constant weight","30 day",4,"drought"
"3",2186,2019-09-04 06:22:23,3,2.73279689762969e-06,-1.84190045319101e-19,97.38,2.80632254839771e-08,-1.89145661654448e-21,"SR_30d_low_CW_r4","S3","SR","lowland","constant weight","30 day",4,"drought"
"3",2208,2019-09-04 07:09:44,2,6.03071177725639e-06,1.46407225179129e-19,97.38,6.19296752644936e-08,1.50346298191753e-21,"SR_30d_low_CW_r4","S3","SR","lowland","constant weight","30 day",4,"drought"
"3",2238,2019-09-04 07:57:10,2,4.64487653419792e-06,1.43536495273656e-19,97.38,4.76984651283418e-08,1.47398331560542e-21,"SR_30d_low_CW_r4","S3","SR","lowland","constant weight","30 day",4,"drought"
"3",2268,2019-09-04 08:44:34,2,2.62284685845868e-06,1.49395127733805e-19,97.38,2.69341431347164e-08,1.53414589991584e-21,"SR_30d_low_CW_r4","S3","SR","lowland","constant weight","30 day",4,"drought"
"3",2428,2019-09-04 15:03:22,2,1.6737391248155e-06,1.43536495273656e-19,97.38,1.71877092299805e-08,1.47398331560542e-21,"SR_30d_low_CW_r4","S3","SR","lowland","constant weight","30 day",4,"drought"
"3",2490,2019-09-04 17:27:53,2,2.63393883724861e-05,1.49395127733805e-19,97.38,2.70480472093716e-07,1.53414589991584e-21,"SR_30d_low_CW_r4","S3","SR","lowland","constant weight","30 day",4,"sat"
"39",15916,2019-09-23 17:02:50,2,4.22030670734711e-06,1.49395127733805e-19,102.71,4.10895405252372e-08,1.45453342161235e-21,"SR_30d_low_FAD_r4","S39","SR","lowland","forced","30 day",4,"drought"
"39",15964,2019-09-23 18:37:33,2,0.000105656640914715,1.52507526228259e-19,102.71,1.02868893890288e-06,1.48483620122928e-21,"SR_30d_low_FAD_r4","S39","SR","lowland","forced","30 day",4,"drought"
"39",15985,2019-09-23 19:25:02,2,3.81858548220967e-06,1.43536495273656e-19,102.71,3.71783222880895e-08,1.39749289527461e-21,"SR_30d_low_FAD_r4","S39","SR","lowland","forced","30 day",4,"drought"
"39",16009,2019-09-23 20:12:16,2,3.43917300551646e-05,0,102.71,3.34843053793833e-07,0,"SR_30d_low_FAD_r4","S39","SR","lowland","forced","30 day",4,"sat"
"39",18175,2019-09-27 17:50:32,2,0.00388435442124504,1.40776178056855e-19,102.71,3.781865856533e-05,1.37061803190395e-21,"SR_30d_low_FAD_r4","S39","SR","lowland","forced","30 day",4,"sat"
"39",18205,2019-09-27 18:38:15,2,0.00472820083736516,1.46407225179129e-19,102.71,4.60344741248677e-05,1.42544275318011e-21,"SR_30d_low_FAD_r4","S39","SR","lowland","forced","30 day",4,"sat"
"39",20352,2019-09-30 17:41:13,2,0.00807699009117184,1.43536495273656e-19,102.71,7.86387897105621e-05,1.39749289527461e-21,"SR_30d_low_FAD_r4","S39","SR","lowland","forced","30 day",4,"sat"
"44",17540,2019-09-25 21:54:22,2,4.02185229985671e-05,1.49395127733805e-19,78.04,5.15357803672054e-07,1.91434043738858e-21,"SR_30d_low_FAD_r3","S44","SR","lowland","forced","30 day",3,"drought"
"44",17595,2019-09-25 23:28:47,2,0.000166815547691613,1.49395127733805e-19,78.04,2.13756468082539e-06,1.91434043738858e-21,"SR_30d_low_FAD_r3","S44","SR","lowland","forced","30 day",3,"sat"
"44",17621,2019-09-26 00:16:25,3,0.000463526162157787,-9.08631928572607e-20,78.04,5.93959715732685e-06,-1.1643156439936e-21,"SR_30d_low_FAD_r3","S44","SR","lowland","forced","30 day",3,"sat"
"44",17646,2019-09-26 01:03:47,3,0.000447706640313871,-9.14854582514344e-20,78.04,5.73688672877846e-06,-1.1722893163946e-21,"SR_30d_low_FAD_r3","S44","SR","lowland","forced","30 day",3,"sat"
"44",17673,2019-09-26 01:51:15,4,0.000484903930298033,1.51725616075085e-07,78.04,6.21353062913932e-06,1.94420317881965e-09,"SR_30d_low_FAD_r3","S44","SR","lowland","forced","30 day",3,"sat"
"44",17696,2019-09-26 02:38:31,3,0.000500723641285871,-9.08631928572607e-20,78.04,6.41624348136687e-06,-1.1643156439936e-21,"SR_30d_low_FAD_r3","S44","SR","lowland","forced","30 day",3,"sat"
"44",17721,2019-09-26 03:25:55,3,0.000493743824786885,-1.78092342539321e-19,78.04,6.32680452059053e-06,-2.28206487108305e-21,"SR_30d_low_FAD_r3","S44","SR","lowland","forced","30 day",3,"sat"
"44",17746,2019-09-26 04:13:11,2,0.00050967594186743,1.49395127733805e-19,78.04,6.53095773792196e-06,1.91434043738858e-21,"SR_30d_low_FAD_r3","S44","SR","lowland","forced","30 day",3,"sat"
"44",17772,2019-09-26 05:00:25,2,0.000611037244168941,0,78.04,7.82979554291314e-06,0,"SR_30d_low_FAD_r3","S44","SR","lowland","forced","30 day",3,"sat"
"44",17814,2019-09-26 06:35:30,2,0.000492063616611432,0,78.04,6.30527443120748e-06,0,"SR_30d_low_FAD_r3","S44","SR","lowland","forced","30 day",3,"sat"
"44",17839,2019-09-26 07:22:41,3,0.000740376077542352,-1.81726385714521e-19,78.04,9.48713579628847e-06,-2.3286312879872e-21,"SR_30d_low_FAD_r3","S44","SR","lowland","forced","30 day",3,"sat"
"44",17862,2019-09-26 08:10:04,2,0.00076811926658858,0,78.04,9.84263539964864e-06,0,"SR_30d_low_FAD_r3","S44","SR","lowland","forced","30 day",3,"sat"
"44",17887,2019-09-26 08:57:31,2,0.000750122737783503,1.43536495273656e-19,78.04,9.61202893110589e-06,1.83926826337334e-21,"SR_30d_low_FAD_r3","S44","SR","lowland","forced","30 day",3,"sat"
"44",17910,2019-09-26 09:44:47,3,0.00100901620570425,-9.02533727709703e-20,78.04,1.29294747014896e-05,-1.15650144504062e-21,"SR_30d_low_FAD_r3","S44","SR","lowland","forced","30 day",3,"sat"
"44",17937,2019-09-26 10:32:01,2,0.00120558326483333,1.43536495273656e-19,78.04,1.5448273511447e-05,1.83926826337334e-21,"SR_30d_low_FAD_r3","S44","SR","lowland","forced","30 day",3,"sat"
"44",17960,2019-09-26 11:19:42,2,0.000923148627889163,1.49395127733805e-19,78.04,1.18291725767448e-05,1.91434043738858e-21,"SR_30d_low_FAD_r3","S44","SR","lowland","forced","30 day",3,"sat"
"44",17986,2019-09-26 12:07:00,2,0.00110495173790572,1.52507526228259e-19,78.04,1.41587870054552e-05,1.95422252983418e-21,"SR_30d_low_FAD_r3","S44","SR","lowland","forced","30 day",3,"sat"
"44",18007,2019-09-26 12:54:15,3,0.00133354011963407,-1.81726385714521e-19,78.04,1.70879051721434e-05,-2.3286312879872e-21,"SR_30d_low_FAD_r3","S44","SR","lowland","forced","30 day",3,"sat"
"44",18034,2019-09-26 13:41:25,2,0.00193736905791561,1.49395127733805e-19,78.04,2.4825333904608e-05,1.91434043738858e-21,"SR_30d_low_FAD_r3","S44","SR","lowland","forced","30 day",3,"sat"
"44",18062,2019-09-26 14:28:59,2,0.001679849756775,1.46407225179129e-19,78.04,2.15254966270502e-05,1.87605362864081e-21,"SR_30d_low_FAD_r3","S44","SR","lowland","forced","30 day",3,"sat"
"44",18090,2019-09-26 15:16:19,2,0.00194974412940707,0,78.04,2.49839073476047e-05,0,"SR_30d_low_FAD_r3","S44","SR","lowland","forced","30 day",3,"sat"
"44",18109,2019-09-26 16:03:38,3,0.000416232182054698,-8.84722135148822e-20,78.04,5.33357485974754e-06,-1.13367777440905e-21,"SR_30d_low_FAD_r3","S44","SR","lowland","forced","30 day",3,"sat"
"44",18132,2019-09-26 16:51:14,3,0.00211775900384215,-9.14854582514344e-20,78.04,2.71368401312424e-05,-1.1722893163946e-21,"SR_30d_low_FAD_r3","S44","SR","lowland","forced","30 day",3,"sat"
"44",18225,2019-09-27 19:27:45,2,0.00598598283754453,1.46407225179129e-19,78.04,7.67040343098991e-05,1.87605362864081e-21,"SR_30d_low_FAD_r3","S44","SR","lowland","forced","30 day",3,"sat"
"44",18243,2019-09-27 20:07:38,3,0.00138869322881417,-1.78116244427312e-19,78.04,1.77946338904943e-05,-2.28237114847914e-21,"SR_30d_low_FAD_r3","S44","SR","lowland","forced","30 day",3,"sat"
"44",18261,2019-09-27 20:54:58,3,0.000673737615478553,-1.76921903630273e-19,78.04,8.63323443719314e-06,-2.26706693529309e-21,"SR_30d_low_FAD_r3","S44","SR","lowland","forced","30 day",3,"sat"
"44",18285,2019-09-27 21:42:27,2,0.00481207738180668,2.92814450358258e-19,78.04,6.16616783932173e-05,3.75210725728162e-21,"SR_30d_low_FAD_r3","S44","SR","lowland","forced","30 day",3,"sat"
"44",18306,2019-09-27 22:29:36,2,0.00650657558308804,2.92814450358258e-19,78.04,8.33748793322404e-05,3.75210725728162e-21,"SR_30d_low_FAD_r3","S44","SR","lowland","forced","30 day",3,"sat"
"44",18336,2019-09-27 23:17:20,2,0.00414761523536651,1.43536495273656e-19,78.04,5.31472992743018e-05,1.83926826337334e-21,"SR_30d_low_FAD_r3","S44","SR","lowland","forced","30 day",3,"sat"
"44",18354,2019-09-28 00:04:28,3,0.00132737872269354,-8.73121082850697e-20,78.04,1.70089533917675e-05,-1.11881225378101e-21,"SR_30d_low_FAD_r3","S44","SR","lowland","forced","30 day",3,"sat"
"44",18375,2019-09-28 00:51:52,2,0.00551189623559655,1.43536495273656e-19,78.04,7.06291162941639e-05,1.83926826337334e-21,"SR_30d_low_FAD_r3","S44","SR","lowland","forced","30 day",3,"sat"
"44",18396,2019-09-28 01:39:25,3,0.00536288865306521,-8.78977932219664e-20,78.04,6.87197418383548e-05,-1.12631718633991e-21,"SR_30d_low_FAD_r3","S44","SR","lowland","forced","30 day",3,"sat"
"44",18420,2019-09-28 02:26:35,3,0.000860950872739545,-8.73233700414282e-20,78.04,1.10321741765703e-05,-1.11895656126894e-21,"SR_30d_low_FAD_r3","S44","SR","lowland","forced","30 day",3,"sat"
"44",18447,2019-09-28 03:14:16,2,0.00396777326084884,1.43536495273656e-19,78.04,5.08428147212819e-05,1.83926826337334e-21,"SR_30d_low_FAD_r3","S44","SR","lowland","forced","30 day",3,"sat"
"44",18470,2019-09-28 04:01:20,2,0.00579790262711108,1.40776178056855e-19,78.04,7.42939854832276e-05,1.80389771984693e-21,"SR_30d_low_FAD_r3","S44","SR","lowland","forced","30 day",3,"sat"
"44",18493,2019-09-28 04:48:47,4,0.00458165078073432,3.5478493768681e-06,78.04,5.8709005391265e-05,4.5461934608766e-08,"SR_30d_low_FAD_r3","S44","SR","lowland","forced","30 day",3,"sat"
"44",18520,2019-09-28 05:36:20,2,0.00455468029981219,1.46407225179129e-19,78.04,5.83634072246564e-05,1.87605362864081e-21,"SR_30d_low_FAD_r3","S44","SR","lowland","forced","30 day",3,"sat"
"44",18544,2019-09-28 06:23:35,2,0.00533611339878555,1.46407225179129e-19,78.04,6.83766452945355e-05,1.87605362864081e-21,"SR_30d_low_FAD_r3","S44","SR","lowland","forced","30 day",3,"sat"
"44",18564,2019-09-28 07:10:43,2,0.00730192102158828,1.49395127733805e-19,78.04,9.35663893078969e-05,1.91434043738858e-21,"SR_30d_low_FAD_r3","S44","SR","lowland","forced","30 day",3,"sat"
"44",18594,2019-09-28 07:58:30,2,0.0043345669581121,1.43536495273656e-19,78.04,5.55428877256804e-05,1.83926826337334e-21,"SR_30d_low_FAD_r3","S44","SR","lowland","forced","30 day",3,"sat"
"44",18619,2019-09-28 08:45:54,2,0.00425667386116091,1.43536495273656e-19,78.04,5.45447701327641e-05,1.83926826337334e-21,"SR_30d_low_FAD_r3","S44","SR","lowland","forced","30 day",3,"sat"
"44",18645,2019-09-28 09:33:12,2,0.0047138826623075,1.43536495273656e-19,78.04,6.04034169952269e-05,1.83926826337334e-21,"SR_30d_low_FAD_r3","S44","SR","lowland","forced","30 day",3,"sat"
"44",18665,2019-09-28 10:20:12,2,0.00775328099539094,0,78.04,9.93500896385307e-05,0,"SR_30d_low_FAD_r3","S44","SR","lowland","forced","30 day",3,"sat"
"44",18693,2019-09-28 11:07:49,2,0.00569260523943452,1.43536495273656e-19,78.04,7.29447109102322e-05,1.83926826337334e-21,"SR_30d_low_FAD_r3","S44","SR","lowland","forced","30 day",3,"sat"
"44",18717,2019-09-28 11:55:07,2,0.00654914612144899,0,78.04,8.3920375723334e-05,0,"SR_30d_low_FAD_r3","S44","SR","lowland","forced","30 day",3,"sat"
"44",18742,2019-09-28 12:42:28,2,0.00660536279572669,1.43536495273656e-19,78.04,8.46407329026997e-05,1.83926826337334e-21,"SR_30d_low_FAD_r3","S44","SR","lowland","forced","30 day",3,"sat"
"44",18767,2019-09-28 13:29:46,2,0.00724114914524318,1.40776178056855e-19,78.04,9.27876620354072e-05,1.80389771984693e-21,"SR_30d_low_FAD_r3","S44","SR","lowland","forced","30 day",3,"sat"
"44",18789,2019-09-28 14:17:13,3,0.00428647928609562,-1.73519986921032e-19,78.04,5.49266951062996e-05,-2.22347497336022e-21,"SR_30d_low_FAD_r3","S44","SR","lowland","forced","30 day",3,"sat"
"44",18813,2019-09-28 15:04:29,3,0.000788116557924904,-1.79311498172811e-19,78.04,1.00988795223591e-05,-2.29768706013341e-21,"SR_30d_low_FAD_r3","S44","SR","lowland","forced","30 day",3,"sat"
"44",18836,2019-09-28 15:51:56,2,0.00699353959751336,0,78.04,8.96148077590129e-05,0,"SR_30d_low_FAD_r3","S44","SR","lowland","forced","30 day",3,"sat"
"44",18858,2019-09-28 16:39:17,2,0.00724995920634961,1.43536495273656e-19,78.04,9.29005536436393e-05,1.83926826337334e-21,"SR_30d_low_FAD_r3","S44","SR","lowland","forced","30 day",3,"sat"
"44",18883,2019-09-28 17:26:40,3,0.00171938978543912,-8.90581222136562e-20,78.04,2.20321602439662e-05,-1.14118557423957e-21,"SR_30d_low_FAD_r3","S44","SR","lowland","forced","30 day",3,"sat"
"44",18910,2019-09-28 18:14:19,2,0.0053416172620269,0,78.04,6.84471714765107e-05,0,"SR_30d_low_FAD_r3","S44","SR","lowland","forced","30 day",3,"sat"
"44",18937,2019-09-28 19:01:35,2,0.00608634984856063,0,78.04,7.79901313244571e-05,0,"SR_30d_low_FAD_r3","S44","SR","lowland","forced","30 day",3,"sat"
"44",18960,2019-09-28 19:48:43,3,0.000842832631385159,-1.76944427029764e-19,78.04,1.08000080905325e-05,-2.2673555488181e-21,"SR_30d_low_FAD_r3","S44","SR","lowland","forced","30 day",3,"sat"
"44",18978,2019-09-28 20:36:03,2,0.00896061622016651,1.52507526228259e-19,78.04,0.000114820812662308,1.95422252983418e-21,"SR_30d_low_FAD_r3","S44","SR","lowland","forced","30 day",3,"sat"
"44",19000,2019-09-28 21:23:40,3,0.0072969077694595,-8.61749567170504e-20,78.04,9.3502149788051e-05,-1.10424086003396e-21,"SR_30d_low_FAD_r3","S44","SR","lowland","forced","30 day",3,"sat"
"44",19023,2019-09-28 22:10:58,3,0.00690209943562752,-8.84722135148822e-20,78.04,8.84430988676002e-05,-1.13367777440905e-21,"SR_30d_low_FAD_r3","S44","SR","lowland","forced","30 day",3,"sat"
"44",19046,2019-09-28 22:58:19,3,0.0063239472486869,-8.73121082850697e-20,78.04,8.10346905264852e-05,-1.11881225378101e-21,"SR_30d_low_FAD_r3","S44","SR","lowland","forced","30 day",3,"sat"
"44",19066,2019-09-28 23:45:48,3,0.00757445814838683,-1.75795586443933e-19,78.04,9.70586641259204e-05,-2.25263437267982e-21,"SR_30d_low_FAD_r3","S44","SR","lowland","forced","30 day",3,"sat"
"44",19089,2019-09-29 00:33:07,3,0.00773151146588395,-8.84722135148822e-20,78.04,9.90711361594561e-05,-1.13367777440905e-21,"SR_30d_low_FAD_r3","S44","SR","lowland","forced","30 day",3,"sat"
"44",19116,2019-09-29 01:20:37,2,0.00627813519734591,0,78.04,8.0447657577472e-05,0,"SR_30d_low_FAD_r3","S44","SR","lowland","forced","30 day",3,"sat"
"44",19139,2019-09-29 02:07:42,2,0.0083900106838761,1.43536495273656e-19,78.04,0.000107509106661662,1.83926826337334e-21,"SR_30d_low_FAD_r3","S44","SR","lowland","forced","30 day",3,"sat"
"44",19167,2019-09-29 02:55:07,3,0.000994552721436824,-1.75795586443933e-19,78.04,1.2744140459211e-05,-2.25263437267982e-21,"SR_30d_low_FAD_r3","S44","SR","lowland","forced","30 day",3,"sat"
"44",19193,2019-09-29 03:42:41,2,0.00611660196961462,1.40776178056855e-19,78.04,7.83777802359639e-05,1.80389771984693e-21,"SR_30d_low_FAD_r3","S44","SR","lowland","forced","30 day",3,"sat"
"44",19215,2019-09-29 04:29:44,2,0.00927457003619081,1.43536495273656e-19,78.04,0.000118843798516028,1.83926826337334e-21,"SR_30d_low_FAD_r3","S44","SR","lowland","forced","30 day",3,"sat"
"44",19244,2019-09-29 05:17:30,2,0.00560055891553944,1.43536495273656e-19,78.04,7.17652346942522e-05,1.83926826337334e-21,"SR_30d_low_FAD_r3","S44","SR","lowland","forced","30 day",3,"sat"
"44",19266,2019-09-29 06:04:44,2,0.006932472537271,1.52507526228259e-19,78.04,8.88322980173116e-05,1.95422252983418e-21,"SR_30d_low_FAD_r3","S44","SR","lowland","forced","30 day",3,"sat"
"44",19286,2019-09-29 06:51:52,2,0.00932431997545444,1.49395127733805e-19,78.04,0.000119481291330785,1.91434043738858e-21,"SR_30d_low_FAD_r3","S44","SR","lowland","forced","30 day",3,"sat"
