"Core","Sample_number","DATETIME","n","flux_co2_umol_s","flux_ch4_nmol_s","dry_soil_g","flux_co2_umol_g_s","flux_ch4_nmol_g_s","Core_assignment","coreID","Site","location","drying","length","replicate","Treatment"
"1",2319,2019-07-29 19:46:41,2,0.000931976045618651,1.43536495273656e-19,141.3,6.59572572978521e-06,1.0158279920287e-21,"CPCRW_90d_up_FAD_r1","C1","CPCRW","upland","forced","90 day",1,"drought"
"1",2366,2019-07-29 22:14:36,2,0.000826351681893564,1.43536495273656e-19,141.3,5.84820723208467e-06,1.0158279920287e-21,"CPCRW_90d_up_FAD_r1","C1","CPCRW","upland","forced","90 day",1,"drought"
"13",932,2019-07-22 20:54:03,3,0.000108569333321113,-1.75795586443933e-19,163,6.66069529577383e-07,-1.07850053033088e-21,"CPCRW_150d_up_CW_r2","C13","CPCRW","upland","constant weight","150 day",2,"drought"
"16",2298,2019-07-29 18:46:42,3,4.17308798771635e-05,-8.78977932219664e-20,194.31,2.14764447929409e-07,-4.52358567350967e-22,"CPCRW_30d_up_FAD_r2","C16","CPCRW","upland","forced","30 day",2,"drought"
"16",2315,2019-07-29 19:41:38,2,0.000778080237198572,1.46407225179129e-19,194.31,4.00432420976055e-06,7.53472416134676e-22,"CPCRW_30d_up_FAD_r2","C16","CPCRW","upland","forced","30 day",2,"drought"
"16",2340,2019-07-29 20:55:59,3,0.000576091284694825,-8.96557490864057e-20,194.31,2.96480512940572e-06,-4.61405738697986e-22,"CPCRW_30d_up_FAD_r2","C16","CPCRW","upland","forced","30 day",2,"drought"
"16",2362,2019-07-29 22:09:32,2,0.000664529668689008,1.49395127733805e-19,194.31,3.41994580149765e-06,7.68849404219056e-22,"CPCRW_30d_up_FAD_r2","C16","CPCRW","upland","forced","30 day",2,"drought"
"18",1015,2019-07-23 15:34:59,59,8.83600255147832e-07,-1.33903404339327e-20,132.15,6.68634320959389e-09,-1.01326828860633e-22,"CPCRW_90d_up_FAD_r3","C18","CPCRW","upland","forced","90 day",3,"drought"
"18",1021,2019-07-23 16:15:39,2,6.62523545364362e-06,1.40776178056855e-19,132.15,5.01342069893577e-08,1.06527565688123e-21,"CPCRW_90d_up_FAD_r3","C18","CPCRW","upland","forced","90 day",3,"drought"
"18",2313,2019-07-29 19:39:05,2,0.000188314190537952,1.43536495273656e-19,132.15,1.42500333362052e-06,1.08616341485929e-21,"CPCRW_90d_up_FAD_r3","C18","CPCRW","upland","forced","90 day",3,"drought"
"18",2360,2019-07-29 22:07:01,2,0.00022083259606291,1.43536495273656e-19,132.15,1.67107526343481e-06,1.08616341485929e-21,"CPCRW_90d_up_FAD_r3","C18","CPCRW","upland","forced","90 day",3,"drought"
"27",2303,2019-07-29 18:59:14,3,0.000168613220944921,-8.90461712696604e-20,83.7,2.01449487389391e-06,-1.06387301397444e-21,"CPCRW_30d_up_FAD_r3","C27","CPCRW","upland","forced","30 day",3,"drought"
"27",2372,2019-07-29 22:22:05,2,0.000250761607121724,1.52507526228259e-19,83.7,2.99595707433362e-06,1.82207319269127e-21,"CPCRW_30d_up_FAD_r3","C27","CPCRW","upland","forced","30 day",3,"drought"
"4",934,2019-07-22 20:59:05,3,0.00152771933835429,-1.78116244427312e-19,188.66,8.09773846260093e-06,-9.44112394929039e-22,"CPCRW_150d_up_CW_r4","C4","CPCRW","upland","constant weight","150 day",4,"drought"
"44",979,2019-07-22 23:31:24,63,1.10704706179252e-06,-4.25173467172045e-07,84.37,1.3121335330005e-08,-5.03939157487312e-09,"CPCRW_30d_low_FAD_r3","C44","CPCRW","lowland","forced","30 day",3,"drought"
"6",2364,2019-07-29 22:12:04,2,7.4691053820641e-05,1.43536495273656e-19,161.94,4.61226712490064e-07,8.8635602861341e-22,"CPCRW_30d_up_FAD_r1","C6","CPCRW","upland","forced","30 day",1,"drought"
"62",933,2019-07-22 20:56:35,3,0.000501568549588934,-1.82896264966148e-19,74.08,6.77063376874911e-06,-2.46890206487781e-21,"CPCRW_150d_low_CW_r2","C62","CPCRW","lowland","constant weight","150 day",2,"drought"
"71",2286,2019-07-29 18:12:05,3,7.72685613370112e-05,-9.53361975220974e-20,127.49,6.06075467385765e-07,-7.4779353299943e-22,"CPCRW_90d_low_FAD_r4","C71","CPCRW","lowland","forced","90 day",4,"drought"
"71",2305,2019-07-29 19:04:17,3,0.000227680291639055,-8.90581222136562e-20,127.49,1.78586784562754e-06,-6.98549864410198e-22,"CPCRW_90d_low_FAD_r4","C71","CPCRW","lowland","forced","90 day",4,"drought"
