Sample,Core_no,coreID,Depth,POM,POM_ID
,34,S34,5cm-end,non-POM,POM136
,35,S35,0-5 cm,POM,POM137
,35,S35,0-5 cm,non-POM,POM138
,35,S35,5cm-end,POM,POM139
,35,S35,5cm-end,non-POM,POM140
,36,S36,0-5 cm,POM,POM141
,36,S36,0-5 cm,non-POM,POM142
,36,S36,5cm-end,POM,POM143
,36,S36,5cm-end,non-POM,POM144
,37,S37,0-5 cm,POM,POM145
,37,S37,0-5 cm,non-POM,POM146
,37,S37,5cm-end,POM,POM147
,37,S37,5cm-end,non-POM,POM148
,38,S38,0-5 cm,POM,POM149
,38,S38,0-5 cm,non-POM,POM150
,38,S38,5cm-end,POM,POM151
,38,S38,5cm-end,non-POM,POM152
,39,S39,0-5 cm,POM,POM153
,39,S39,0-5 cm,non-POM,POM154
,39,S39,5cm-end,POM,POM155
,39,S39,5cm-end,non-POM,POM156
,40,S40,0-5 cm,POM,POM157
,40,S40,0-5 cm,non-POM,POM158
,40,S40,5cm-end,POM,POM159
,40,S40,5cm-end,non-POM,POM160
,41,S41,0-5 cm,POM,POM161
,41,S41,0-5 cm,non-POM,POM162
,41,S41,5cm-end,POM,POM163
,41,S41,5cm-end,non-POM,POM164
,42,S42,0-5 cm,POM,POM165
,42,S42,0-5 cm,non-POM,POM166
,42,S42,5cm-end,POM,POM167
,42,S42,5cm-end,non-POM,POM168
,43,S43,0-5 cm,POM,POM169
,43,S43,0-5 cm,non-POM,POM170
,43,S43,5cm-end,POM,POM171
,43,S43,5cm-end,non-POM,POM172
,44,S44,0-5 cm,POM,POM173
,44,S44,0-5 cm,non-POM,POM174
,44,S44,5cm-end,POM,POM175
,44,S44,5cm-end,non-POM,POM176
,45,S45,0-5 cm,POM,POM177
,45,S45,0-5 cm,non-POM,POM178
,45,S45,5cm-end,POM,POM179
,45,S45,5cm-end,non-POM,POM180
,46,S46,0-5 cm,POM,POM181
,46,S46,0-5 cm,non-POM,POM182
,46,S46,5cm-end,POM,POM183
,46,S46,5cm-end,non-POM,POM184
