"Site","drying","length","cum","max","mean","median"
"CPCRW","constant weight","150 day",0.000147977832339261,2.45806475581098e-06,1.63646651912992e-06,1.67029746293951e-06
"CPCRW","constant weight","30 day",0.0977407867212076,0.000153034196974536,5.15253502840817e-05,4.7542452745996e-05
"CPCRW","constant weight","90 day",4.98645388633743e-05,1.39735916726393e-06,1.15929849622286e-06,1.15775996011363e-06
"CPCRW","forced","30 day",0.000318338249067799,6.09843924524846e-06,3.03195734415506e-06,2.61894725003632e-06
"CPCRW","forced","90 day",0.000287271820279425,6.83877229824025e-06,3.22009615238202e-06,2.41366521749975e-06
