"Site","Core","Depth","coarse_g","wet_soil_g","moisture_pc","dry_fine_g"
"SR",4,"5cm-end",7.25999999999999,118.77,70,69.86
"SR",6,"0-5cm",1.8,51.47,65.08,31.18
"SR",6,"5cm-end",4.33,95,72.58,55.05
"SR",8,"0-5cm",2.86,49.54,61.54,30.67
"SR",8,"5cm-end",13.35,66.87,73.77,38.48
"SR",9,"0-5cm",10.67,52.14,89.45,27.52
"SR",9,"5cm-end",14.57,57.94,82.82,31.69
"SR",11,"0-5cm",1.96000000000001,53.72,66.48,32.27
"SR",11,"5cm-end",10.45,108.6,69.28,64.15
"SR",13,"0-5cm",3.27,60.08,68.33,35.69
"SR",13,"5cm-end",4.26000000000001,78.52,65.63,47.41
"SR",14,"0-5cm",4.86,43.1,68.33,25.6
"SR",14,"5cm-end",3.81999999999999,70.62,72.58,40.92
"SR",15,"0-5cm",2.28,48.86,65.23,29.57
"SR",15,"5cm-end",11.05,89.64,70.56,52.56
"SR",16,"0-5cm",1.89,58.05,80.7,32.13
"SR",16,"5cm-end",4.7,95.42,74.14,54.79
"SR",18,"0-5cm",4.1,29.96,60,18.72
"SR",18,"5cm-end",11.96,102.81,75.37,58.62
"SR",20,"0-5cm",3,59.74,75.56,34.03
"SR",20,"5cm-end",2.2,89.84,73.76,51.7
"SR",26,"0-5cm",14.03,25.03,15.91,21.59
"SR",26,"5cm-end",6.82000000000001,105.74,58.82,66.58
"SR",28,"0-5cm",13.16,26.35,8.51,24.28
"SR",28,"5cm-end",15.12,76.62,55.22,49.36
"SR",33,"0-5cm",13.71,14.34,12.9,12.7
"SR",33,"5cm-end",8.55,85.7,72.13,49.79
"SR",34,"0-5cm",3.27,50.08,63.25,30.68
"SR",34,"5cm-end",11.33,104.43,74.28,59.92
"SR",35,"0-5cm",23.14,12.57,14.94,10.94
"SR",35,"5cm-end",8.43000000000001,99.19,68.85,58.74
"SR",37,"0-5cm",2.5,57.71,74.57,33.06
"SR",37,"5cm-end",8.41,105.14,70.8,61.56
"SR",39,"0-5cm",12.48,19.55,48.61,13.16
"SR",39,"5cm-end",9.97,118.47,76.56,67.1
"SR",44,"0-5cm",5.02,47.29,67.14,28.29
"SR",44,"5cm-end",5.23999999999999,71.36,80.7,39.49
"SR",46,"0-5cm",2.89,48.05,12.22,42.82
"SR",46,"5cm-end",6.5,74.33,64.52,45.18
"SR",49,"0-5cm",4.4,45.92,55.38,29.55
"SR",49,"5cm-end",4.19,80.97,66.67,48.58
"SR",52,"0-5cm",3.55,81.81,41.2,57.94
"SR",52,"5cm-end",21.04,123.41,51.76,81.32
"SR",53,"0-5cm",4.69,67.41,39.54,48.31
"SR",53,"5cm-end",4.91000000000001,110.77,54.38,71.75
"SR",54,"0-5cm",7.5,95.54,46.17,65.36
"SR",54,"5cm-end",-9,97.24,60.64,60.53
"SR",56,"0-5cm",2.52999999999999,50.74,20.69,42.04
"SR",56,"5cm-end",5.02000000000001,157.99,53.62,102.84
"SR",57,"0-5cm",1.92,51.01,17.2,43.52
"SR",57,"5cm-end",7.13000000000001,108.49,61.19,67.31
"SR",61,"0-5cm",1.51000000000001,55.52,34.62,41.24
"SR",61,"5cm-end",12.7,165.07,56.92,105.19
"SR",62,"0-5cm",2.42,105.08,49.03,70.51
"SR",62,"5cm-end",12.09,136.43,51.24,90.21
"SR",63,"0-5cm",2.04000000000001,46.87,5,44.64
"SR",63,"5cm-end",14.46,123.75,36.36,90.75
"SR",65,"0-5cm",3.89,102.58,46.18,70.17
"SR",65,"5cm-end",17.11,131.47,55.9,84.33
"SR",66,"0-5cm",4.7,87.34,43.34,60.93
"SR",66,"5cm-end",9.79999999999998,183.94,51.87,121.12
"SR",67,"0-5cm",1.09999999999999,126.94,50.67,84.25
"SR",67,"5cm-end",-9.69999999999999,116.24,53.09,75.93
"SR",70,"0-5cm",5.3,70.54,40.96,50.04
"SR",70,"5cm-end",7.8,69.14,54.3,44.81
"SR",72,"0-5cm",2.8,108.72,45.69,74.62
"SR",72,"5cm-end",13.98,121.73,47.31,82.64
"SR",73,"0-5cm",3.73,74.95,48.65,50.42
"SR",73,"5cm-end",7.13,176.17,51.47,116.31
"SR",76,"0-5cm",0.939999999999998,40.03,13.19,35.37
"SR",76,"5cm-end",11.89,153.28,53.95,99.56
"SR",78,"0-5cm",3.88000000000001,84.99,46.42,58.05
"SR",78,"5cm-end",15.24,173.11,50.01,115.4
"SR",80,"0-5cm",2.65000000000001,58.86,55.88,37.76
"SR",80,"5cm-end",10.98,173.24,50,115.49
"SR",83,"0-5cm",7.90000000000001,61.14,28.64,47.53
"SR",83,"5cm-end",23.5,74.14,70.53,43.48
"SR",86,"0-5cm",1.07,47,5.88,44.39
"SR",86,"5cm-end",6.27000000000001,150.68,49.28,100.94
"SR",87,"0-5cm",3.25,48.7,34.95,36.09
"SR",87,"5cm-end",14.41,162.47,50.73,107.79
