sample,Dist,peak.x,peak.y,Dist.plus,Dist.minus,Trans.name
Sample_5cm-end_SR_timezero__timezero,0.0363723790140114,211.133923247355,211.097550868341,0.0363823790140114,0.0363623790140114,CH4_O
Sample_5cm-end_SR_timezero__timezero,2.01564782456799,215.092475805151,213.076827980583,2.01565782456799,2.01563782456799,hydrogenation/dehydrogenation
Sample_5cm-end_SR_timezero__timezero,2.01564021992701,217.108116025078,215.092475805151,2.01565021992701,2.01563021992701,hydrogenation/dehydrogenation
Sample_5cm-end_SR_timezero__timezero,15.994917998327,227.092468866668,211.097550868341,15.994927998327,15.994907998327,hydroxylation (-H)
Sample_5cm-end_SR_timezero__timezero,14.015640886085,227.092468866668,213.076827980583,14.015650886085,14.015630886085,methanol (-H2O)
Sample_5cm-end_SR_timezero__timezero,15.994919972864,229.071747953447,213.076827980583,15.994929972864,15.994909972864,hydroxylation (-H)
Sample_5cm-end_SR_timezero__timezero,18.010568110553,229.108118978894,211.097550868341,18.010578110553,18.010558110553,condensation/dehydration
Sample_5cm-end_SR_timezero__timezero,14.015643173743,229.108118978894,215.092475805151,14.015653173743,14.015633173743,methanol (-H2O)
Sample_5cm-end_SR_timezero__timezero,2.01565011222598,229.108118978894,227.092468866668,2.01566011222598,2.01564011222598,hydrogenation/dehydrogenation
Sample_5cm-end_SR_timezero__timezero,0.0363710254470107,229.108118978894,229.071747953447,0.0363810254470107,0.0363610254470106,CH4_O
Sample_5cm-end_SR_timezero__timezero,2.01564599259399,229.14452854476,227.128882552166,2.01565599259399,2.01563599259399,hydrogenation/dehydrogenation
Sample_5cm-end_SR_timezero__timezero,14.015654815273,231.087403612581,217.071748797308,14.015664815273,14.015644815273,methanol (-H2O)
Sample_5cm-end_SR_timezero__timezero,2.01565565913401,231.087403612581,229.071747953447,2.01566565913401,2.01564565913401,hydrogenation/dehydrogenation
Sample_5cm-end_SR_timezero__timezero,14.015644873697,231.123760898775,217.108116025078,14.015654873697,14.015634873697,methanol (-H2O)
Sample_5cm-end_SR_timezero__timezero,2.01564191988101,231.123760898775,229.108118978894,2.01565191988101,2.01563191988101,hydrogenation/dehydrogenation
Sample_5cm-end_SR_timezero__timezero,2.01565740634101,235.170365022036,233.154707615695,2.01566740634101,2.01564740634101,hydrogenation/dehydrogenation
Sample_5cm-end_SR_timezero__timezero,2.01564398019201,237.076839708177,235.061195727985,2.01565398019201,2.01563398019201,hydrogenation/dehydrogenation
Sample_5cm-end_SR_timezero__timezero,0.0363878756759846,237.113227583853,237.076839708177,0.0363978756759846,0.0363778756759846,CH4_O
Sample_5cm-end_SR_timezero__timezero,0.0363752539829818,239.128889345626,239.092514091643,0.0363852539829818,0.0363652539829818,CH4_O
Sample_5cm-end_SR_timezero__timezero,27.994915925528,241.071743906111,213.076827980583,27.994925925528,27.994905925528,Formic Acid (-H2O)
Sample_5cm-end_SR_timezero__timezero,15.010905836103,242.139788388269,227.128882552166,15.010915836103,15.010895836103,secondary amine
Sample_5cm-end_SR_timezero__timezero,14.015647148437,243.033264171335,229.017617022898,14.015657148437,14.015637148437,methanol (-H2O)
Sample_5cm-end_SR_timezero__timezero,15.994921027067,243.033264171335,227.038343144268,15.994931027067,15.994911027067,hydroxylation (-H)
Sample_5cm-end_SR_timezero__timezero,28.031300306351,243.087383319883,215.056083013532,28.031310306351,28.031290306351,ethyl addition (-H2O)
Sample_5cm-end_SR_timezero__timezero,27.994907514732,243.087383319883,215.092475805151,27.994917514732,27.994897514732,Formic Acid (-H2O)
Sample_5cm-end_SR_timezero__timezero,15.994914453215,243.087383319883,227.092468866668,15.994924453215,15.994904453215,hydroxylation (-H)
Sample_5cm-end_SR_timezero__timezero,28.031299991246,243.123775796397,215.092475805151,28.031309991246,28.031289991246,ethyl addition (-H2O)
Sample_5cm-end_SR_timezero__timezero,26.015659771319,243.123775796397,217.108116025078,26.015669771319,26.015649771319,C2H2
Sample_5cm-end_SR_timezero__timezero,14.015656817503,243.123775796397,229.108118978894,14.015666817503,14.015646817503,methanol (-H2O)
Sample_5cm-end_SR_timezero__timezero,0.0363834105660032,245.103078637049,245.066695226483,0.0363934105660033,0.0363734105660032,CH4_O
Sample_5cm-end_SR_timezero__timezero,18.010556136597,245.139438688763,227.128882552166,18.010566136597,18.010546136597,condensation/dehydration
Sample_5cm-end_SR_timezero__timezero,15.994910144003,245.139438688763,229.14452854476,15.994920144003,15.994900144003,hydroxylation (-H)
Sample_5cm-end_SR_timezero__timezero,2.015654703346,247.082349929829,245.066695226483,2.015664703346,2.015644703346,hydrogenation/dehydrogenation
Sample_5cm-end_SR_timezero__timezero,2.01565825749998,247.118736894549,245.103078637049,2.01566825749998,2.01564825749998,hydrogenation/dehydrogenation
Sample_5cm-end_SR_timezero__timezero,0.0363869647199806,247.118736894549,247.082349929829,0.0363969647199806,0.0363769647199806,CH4_O
Sample_5cm-end_SR_timezero__timezero,14.015654998512,249.076850726497,235.061195727985,14.015664998512,14.015644998512,methanol (-H2O)
Sample_5cm-end_SR_timezero__timezero,15.994920392774,249.149628008469,233.154707615695,15.994930392774,15.994910392774,hydroxylation (-H)
Sample_5cm-end_SR_timezero__timezero,0.0363876986779985,251.128905329432,251.092517630754,0.0363976986779985,0.0363776986779985,CH4_O
Sample_5cm-end_SR_timezero__timezero,15.994923442015,251.165288464051,235.170365022036,15.994933442015,15.994913442015,hydroxylation (-H)
Sample_5cm-end_SR_timezero__timezero,0.0363831346190011,251.165288464051,251.128905329432,0.0363931346190011,0.0363731346190011,CH4_O
