"Biotic_abiotic","Trans_name","0-5cm_CPCRW_150d_CW_saturated","0-5cm_CPCRW_150d_FAD_saturated","0-5cm_CPCRW_30d_CW_saturated","0-5cm_CPCRW_30d_FAD_saturated","0-5cm_CPCRW_90d_CW_instant chemistry","0-5cm_CPCRW_90d_CW_saturated","0-5cm_CPCRW_90d_FAD_instant chemistry","0-5cm_CPCRW_90d_FAD_saturated","0-5cm_CPCRW_timezero__timezero","0-5cm_SR_150d_CW_saturated","0-5cm_SR_150d_FAD_saturated","0-5cm_SR_30d_CW_instant chemistry","0-5cm_SR_30d_CW_saturated","0-5cm_SR_30d_FAD_instant chemistry","0-5cm_SR_30d_FAD_saturated","0-5cm_SR_90d_CW_instant chemistry","0-5cm_SR_90d_CW_saturated","0-5cm_SR_90d_FAD_instant chemistry","0-5cm_SR_90d_FAD_saturated","0-5cm_SR_timezero__timezero","5cm-end_CPCRW_150d_CW_saturated","5cm-end_CPCRW_150d_FAD_saturated","5cm-end_CPCRW_30d_CW_saturated","5cm-end_CPCRW_30d_FAD_saturated","5cm-end_CPCRW_90d_CW_instant chemistry","5cm-end_CPCRW_90d_CW_saturated","5cm-end_CPCRW_90d_FAD_instant chemistry","5cm-end_CPCRW_90d_FAD_saturated","5cm-end_CPCRW_timezero__timezero","5cm-end_SR_150d_CW_saturated","5cm-end_SR_150d_FAD_saturated","5cm-end_SR_30d_CW_instant chemistry","5cm-end_SR_30d_CW_saturated","5cm-end_SR_30d_FAD_instant chemistry","5cm-end_SR_30d_FAD_saturated","5cm-end_SR_90d_CW_instant chemistry","5cm-end_SR_90d_CW_saturated","5cm-end_SR_90d_FAD_instant chemistry","5cm-end_SR_90d_FAD_saturated","5cm-end_SR_timezero__timezero"
"Biotic","Threonine",1,1,1,1,2,1,2,1,1,1,1,2,1,2,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,2,1,2,1,1
"both","C6H10O5",104,72,95,107,99,103,91,99,71,101,94,102,101,86,95,104,104,106,94,79,98,106,104,125,108,104,88,106,78,104,98,82,109,108,101,100,108,109,114,45
"both","C6H10O6",83,52,79,85,77,86,65,71,53,75,67,75,76,58,73,69,77,79,77,60,88,87,93,106,89,94,57,91,51,98,86,53,96,85,91,81,94,82,99,30
"both","D-Ribose (-H2O) (ribosylation)",4,2,3,4,3,3,2,3,2,4,3,3,3,3,4,4,3,4,3,2,4,4,3,4,4,3,2,4,2,4,3,2,3,4,4,4,3,4,3,1
"both","disaccharide (-H2O)",9,4,7,8,5,7,4,6,1,6,4,6,8,2,8,5,9,8,7,2,8,7,9,11,9,9,1,6,3,9,10,2,9,9,8,9,10,8,9,1
"both","erythose (-H2O)",197,166,200,213,203,202,173,189,156,200,183,210,198,170,187,203,209,205,202,155,205,215,221,226,210,216,182,206,152,211,208,161,213,215,207,203,213,208,217,108
"both","Glucuronic Acid (-H2O)",12,9,11,11,10,12,8,11,6,11,11,13,11,9,11,11,13,13,13,6,12,12,12,14,9,12,10,12,7,10,11,12,11,11,10,12,12,12,10,3
"Biotic","Asparagine",,1,,1,1,,1,1,,1,1,2,,1,,1,1,1,1,,,,,,,,1,,,,,1,,1,,1,,1,,
"Abiotic","methanol (-H2O)",,,1,1,,1,,,,,,1,,,,,,,,,1,1,1,1,,1,,1,,1,,,1,,1,,,,,
"Biotic","Arginine",,,,,15,,14,,,,,12,,6,,15,,11,,,,,,,,,13,,,,,9,,9,,9,,11,,
"Biotic","urea addition (-H)",,,,,,,1,,,,,1,,1,1,1,1,1,,,,,,,1,,1,,,1,,1,1,1,,1,,1,,
"both","transamination (-O)",,,,,,,1,,,,,,,1,,,,,,,,,,,,,1,,,,,1,,,,1,,1,,
"Abiotic","PO43-",,,,,,,,,1,,,,,,1,,,,,1,,,,,,,,,1,,,,,,,,,,,
"Biotic","biotinyl (-H2O)",,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,1,,2,,,,2,,
"Biotic","Cysteine",,,,,,,,,,,,1,,,,1,,,,,,,,,,,1,,,,,1,,,,,,,,
"Abiotic","phosphate",,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
"Biotic","guanosine (-H2O)",,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,
"Abiotic","NH4+",,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,1,,,,,,
"Biotic","carbamoyl P transfer (-H2PO4)",,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,,1,,1,1,,,,
"Abiotic","acetylation (-H)",,,,,,,,,,,,,,,,,,,,,1,,2,1,,,,,,2,,,,,2,,,,,
"Abiotic","CHO2",,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,3,,,,,1,,,,,
"Biotic","isoprene addition (-H)",,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,1,,1,,,,,
"Biotic","uridine (-H2O)",,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,
"Biotic","biotinyl (-H)",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
"Biotic","thymidine (-H2O)",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
"Biotic","deoxythymidine 5' diphosphate (-H2O)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,,,
"Biotic","uridine 5' diphosphate (-H2O)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,,,
"Biotic","thymidine 5' monophosphate (-H2O)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
