"Biotic_abiotic","Trans_name","0-5cm_CPCRW_150d_CW_saturated","0-5cm_CPCRW_150d_FAD_saturated","0-5cm_CPCRW_30d_CW_saturated","0-5cm_CPCRW_30d_FAD_saturated","0-5cm_CPCRW_90d_CW_instant chemistry","0-5cm_CPCRW_90d_CW_saturated","0-5cm_CPCRW_90d_FAD_instant chemistry","0-5cm_CPCRW_90d_FAD_saturated","0-5cm_CPCRW_timezero__timezero","0-5cm_SR_150d_CW_saturated","0-5cm_SR_150d_FAD_saturated","0-5cm_SR_30d_CW_instant chemistry","0-5cm_SR_30d_CW_saturated","0-5cm_SR_30d_FAD_instant chemistry","0-5cm_SR_30d_FAD_saturated","0-5cm_SR_90d_CW_instant chemistry","0-5cm_SR_90d_CW_saturated","0-5cm_SR_90d_FAD_instant chemistry","0-5cm_SR_90d_FAD_saturated","0-5cm_SR_timezero__timezero","5cm-end_CPCRW_150d_CW_saturated","5cm-end_CPCRW_150d_FAD_saturated","5cm-end_CPCRW_30d_CW_saturated","5cm-end_CPCRW_30d_FAD_saturated","5cm-end_CPCRW_90d_CW_instant chemistry","5cm-end_CPCRW_90d_CW_saturated","5cm-end_CPCRW_90d_FAD_instant chemistry","5cm-end_CPCRW_90d_FAD_saturated","5cm-end_CPCRW_timezero__timezero","5cm-end_SR_150d_CW_saturated","5cm-end_SR_150d_FAD_saturated","5cm-end_SR_30d_CW_instant chemistry","5cm-end_SR_30d_CW_saturated","5cm-end_SR_30d_FAD_instant chemistry","5cm-end_SR_30d_FAD_saturated","5cm-end_SR_90d_CW_instant chemistry","5cm-end_SR_90d_CW_saturated","5cm-end_SR_90d_FAD_instant chemistry","5cm-end_SR_90d_FAD_saturated","5cm-end_SR_timezero__timezero"
"Abiotic","acetotacetate (-H2O)",244.444444444444,251.612903225806,247.222222222222,263.888888888889,241.176470588235,250,222.222222222222,254.285714285714,203.030303030303,238.888888888889,241.176470588235,240.540540540541,244.117647058824,216.666666666667,235.294117647059,236.842105263158,252.777777777778,242.105263157895,261.764705882353,194.285714285714,250,284.375,262.857142857143,248.648648648649,242.857142857143,265.714285714286,210.526315789474,278.125,190.625,207.142857142857,227.027027027027,202.631578947368,244.736842105263,251.282051282051,202.439024390244,236.842105263158,261.764705882353,243.589743589744,271.428571428571,190
"Abiotic","acetylation (-H2O)",16.6666666666667,19.3548387096774,16.6666666666667,16.6666666666667,14.7058823529412,16.6666666666667,16.6666666666667,17.1428571428571,6.06060606060606,16.6666666666667,17.6470588235294,16.2162162162162,20.5882352941176,16.6666666666667,17.6470588235294,15.7894736842105,16.6666666666667,15.7894736842105,17.6470588235294,5.71428571428571,16.6666666666667,18.75,17.1428571428571,16.2162162162162,17.1428571428571,17.1428571428571,13.1578947368421,18.75,6.25,14.2857142857143,13.5135135135135,13.1578947368421,15.7894736842105,15.3846153846154,14.6341463414634,15.7894736842105,17.6470588235294,15.3846153846154,20,6.66666666666667
"Abiotic","C2H2",1058.33333333333,1106.45161290323,1055.55555555556,1083.33333333333,1100,1061.11111111111,963.888888888889,1062.85714285714,875.757575757576,1080.55555555556,1055.88235294118,1075.67567567568,1138.23529411765,925,1094.11764705882,1031.57894736842,1086.11111111111,1081.57894736842,1108.82352941176,842.857142857143,1075,1225,1117.14285714286,1100,1094.28571428571,1114.28571428571,923.684210526316,1209.375,909.375,914.285714285714,1037.83783783784,910.526315789474,1065.78947368421,1100,907.317073170732,1092.10526315789,1185.29411764706,1035.89743589744,1157.14285714286,736.666666666667
"Abiotic","Carboxylation",16.6666666666667,12.9032258064516,16.6666666666667,19.4444444444444,26.4705882352941,13.8888888888889,22.2222222222222,17.1428571428571,24.2424242424242,16.6666666666667,11.7647058823529,21.6216216216216,11.7647058823529,19.4444444444444,14.7058823529412,23.6842105263158,13.8888888888889,26.3157894736842,14.7058823529412,20,16.6666666666667,15.625,20,16.2162162162162,22.8571428571429,20,21.0526315789474,15.625,25,11.9047619047619,13.5135135135135,26.3157894736842,13.1578947368421,20.5128205128205,12.1951219512195,23.6842105263158,14.7058823529412,23.0769230769231,14.2857142857143,16.6666666666667
"Abiotic","condensation/dehydration",11.1111111111111,9.67741935483871,13.8888888888889,13.8888888888889,8.82352941176471,13.8888888888889,8.33333333333333,8.57142857142857,9.09090909090909,8.33333333333333,8.82352941176471,8.10810810810811,11.7647058823529,5.55555555555556,5.88235294117647,7.89473684210526,11.1111111111111,7.89473684210526,11.7647058823529,8.57142857142857,11.1111111111111,12.5,14.2857142857143,13.5135135135135,11.4285714285714,17.1428571428571,7.89473684210526,12.5,6.25,11.9047619047619,10.8108108108108,7.89473684210526,13.1578947368421,5.12820512820513,9.75609756097561,7.89473684210526,11.7647058823529,7.69230769230769,11.4285714285714,6.66666666666667
"Abiotic","ethyl addition (-H2O)",2.77777777777778,3.2258064516129,2.77777777777778,2.77777777777778,2.94117647058824,5.55555555555556,,2.85714285714286,,2.77777777777778,2.94117647058824,2.7027027027027,5.88235294117647,2.77777777777778,2.94117647058824,2.63157894736842,2.77777777777778,2.63157894736842,2.94117647058824,2.85714285714286,2.77777777777778,,,,,2.85714285714286,,,,,,2.63157894736842,2.63157894736842,2.56410256410256,,2.63157894736842,2.94117647058824,2.56410256410256,5.71428571428571,3.33333333333333
"Abiotic","Formic Acid (-H2O)",27.7777777777778,29.0322580645161,27.7777777777778,30.5555555555556,23.5294117647059,27.7777777777778,22.2222222222222,28.5714285714286,21.2121212121212,27.7777777777778,23.5294117647059,24.3243243243243,26.4705882352941,27.7777777777778,26.4705882352941,26.3157894736842,30.5555555555556,26.3157894736842,29.4117647058824,22.8571428571429,30.5555555555556,34.375,28.5714285714286,27.027027027027,31.4285714285714,28.5714285714286,26.3157894736842,28.125,25,21.4285714285714,27.027027027027,23.6842105263158,28.9473684210526,25.6410256410256,24.390243902439,23.6842105263158,32.3529411764706,25.6410256410256,31.4285714285714,26.6666666666667
"Abiotic","glyoxylate (-H2O)",22.2222222222222,25.8064516129032,25,22.2222222222222,23.5294117647059,22.2222222222222,19.4444444444444,20,24.2424242424242,22.2222222222222,20.5882352941176,27.027027027027,23.5294117647059,25,20.5882352941176,23.6842105263158,19.4444444444444,23.6842105263158,23.5294117647059,20,30.5555555555556,21.875,31.4285714285714,27.027027027027,22.8571428571429,31.4285714285714,23.6842105263158,25,25,21.4285714285714,18.9189189189189,21.0526315789474,21.0526315789474,25.6410256410256,19.5121951219512,21.0526315789474,20.5882352941176,20.5128205128205,25.7142857142857,13.3333333333333
"Abiotic","H2S",30.5555555555556,12.9032258064516,36.1111111111111,25,14.7058823529412,22.2222222222222,16.6666666666667,22.8571428571429,9.09090909090909,38.8888888888889,41.1764705882353,32.4324324324324,41.1764705882353,11.1111111111111,35.2941176470588,26.3157894736842,52.7777777777778,23.6842105263158,47.0588235294118,22.8571428571429,30.5555555555556,18.75,40,24.3243243243243,14.2857142857143,37.1428571428571,36.8421052631579,18.75,15.625,23.8095238095238,21.6216216216216,26.3157894736842,28.9473684210526,33.3333333333333,19.5121951219512,26.3157894736842,29.4117647058824,33.3333333333333,34.2857142857143,23.3333333333333
"Abiotic","hydrogenation/dehydrogenation",11.1111111111111,12.9032258064516,11.1111111111111,11.1111111111111,11.7647058823529,11.1111111111111,11.1111111111111,11.4285714285714,6.06060606060606,11.1111111111111,11.7647058823529,10.8108108108108,11.7647058823529,11.1111111111111,11.7647058823529,10.5263157894737,11.1111111111111,10.5263157894737,14.7058823529412,5.71428571428571,11.1111111111111,12.5,11.4285714285714,10.8108108108108,11.4285714285714,11.4285714285714,10.5263157894737,12.5,9.375,9.52380952380952,10.8108108108108,10.5263157894737,10.5263157894737,10.2564102564103,9.75609756097561,10.5263157894737,11.7647058823529,10.2564102564103,11.4285714285714,6.66666666666667
