"sample","Biotic_abiotic","Trans_name","count","total","percentage"
"0-5cm_CPCRW_150d_CW_saturated","Abiotic","acetotacetate (-H2O)",88,36,244.444444444444
"0-5cm_CPCRW_150d_CW_saturated","Abiotic","acetylation (-H2O)",6,36,16.6666666666667
"0-5cm_CPCRW_150d_CW_saturated","Abiotic","C2H2",381,36,1058.33333333333
"0-5cm_CPCRW_150d_CW_saturated","Abiotic","Carboxylation",6,36,16.6666666666667
"0-5cm_CPCRW_150d_CW_saturated","Abiotic","condensation/dehydration",4,36,11.1111111111111
"0-5cm_CPCRW_150d_CW_saturated","Abiotic","ethyl addition (-H2O)",1,36,2.77777777777778
"0-5cm_CPCRW_150d_CW_saturated","Abiotic","Formic Acid (-H2O)",10,36,27.7777777777778
"0-5cm_CPCRW_150d_CW_saturated","Abiotic","glyoxylate (-H2O)",8,36,22.2222222222222
"0-5cm_CPCRW_150d_CW_saturated","Abiotic","H2S",11,36,30.5555555555556
"0-5cm_CPCRW_150d_CW_saturated","Abiotic","hydrogenation/dehydrogenation",4,36,11.1111111111111
"0-5cm_CPCRW_150d_CW_saturated","Abiotic","hydroxylation (-H)",5,36,13.8888888888889
"0-5cm_CPCRW_150d_CW_saturated","Abiotic","Inorganic Phosphate",1,36,2.77777777777778
"0-5cm_CPCRW_150d_CW_saturated","Abiotic","NO3-",1,36,2.77777777777778
"0-5cm_CPCRW_150d_CW_saturated","Abiotic","SO42-",2,36,5.55555555555556
"0-5cm_CPCRW_150d_CW_saturated","Abiotic","sulfate (-H2O)",1,36,2.77777777777778
"0-5cm_CPCRW_150d_CW_saturated","Biotic","Alanine",3,36,8.33333333333333
"0-5cm_CPCRW_150d_CW_saturated","Biotic","Aspartic Acid",1,36,2.77777777777778
"0-5cm_CPCRW_150d_CW_saturated","Biotic","CH4_O",380,36,1055.55555555556
"0-5cm_CPCRW_150d_CW_saturated","Biotic","Cystine",1,36,2.77777777777778
"0-5cm_CPCRW_150d_CW_saturated","Biotic","Glutamic Acid",2,36,5.55555555555556
"0-5cm_CPCRW_150d_CW_saturated","Biotic","Glycine",1,36,2.77777777777778
"0-5cm_CPCRW_150d_CW_saturated","Biotic","Isoleucine",1,36,2.77777777777778
"0-5cm_CPCRW_150d_CW_saturated","Biotic","malonyl group (-H2O)",237,36,658.333333333333
"0-5cm_CPCRW_150d_CW_saturated","Biotic","NH_CH2",8,36,22.2222222222222
"0-5cm_CPCRW_150d_CW_saturated","Biotic","palmitoylation (-H2O)",24,36,66.6666666666667
"0-5cm_CPCRW_150d_CW_saturated","Biotic","Phenylalanine",8,36,22.2222222222222
"0-5cm_CPCRW_150d_CW_saturated","Biotic","Proline",1,36,2.77777777777778
"0-5cm_CPCRW_150d_CW_saturated","Biotic","secondary amine",3,36,8.33333333333333
"0-5cm_CPCRW_150d_CW_saturated","Biotic","Serine",74,36,205.555555555556
"0-5cm_CPCRW_150d_CW_saturated","Biotic","Threonine",1,36,2.77777777777778
"0-5cm_CPCRW_150d_CW_saturated","both","C6H10O5",104,36,288.888888888889
"0-5cm_CPCRW_150d_CW_saturated","both","C6H10O6",83,36,230.555555555556
"0-5cm_CPCRW_150d_CW_saturated","both","D-Ribose (-H2O) (ribosylation)",4,36,11.1111111111111
"0-5cm_CPCRW_150d_CW_saturated","both","disaccharide (-H2O)",9,36,25
"0-5cm_CPCRW_150d_CW_saturated","both","erythose (-H2O)",197,36,547.222222222222
"0-5cm_CPCRW_150d_CW_saturated","both","Glucuronic Acid (-H2O)",12,36,33.3333333333333
"0-5cm_CPCRW_150d_FAD_saturated","Abiotic","acetotacetate (-H2O)",78,31,251.612903225806
"0-5cm_CPCRW_150d_FAD_saturated","Abiotic","acetylation (-H2O)",6,31,19.3548387096774
"0-5cm_CPCRW_150d_FAD_saturated","Abiotic","C2H2",343,31,1106.45161290323
"0-5cm_CPCRW_150d_FAD_saturated","Abiotic","Carboxylation",4,31,12.9032258064516
"0-5cm_CPCRW_150d_FAD_saturated","Abiotic","condensation/dehydration",3,31,9.67741935483871
"0-5cm_CPCRW_150d_FAD_saturated","Abiotic","ethyl addition (-H2O)",1,31,3.2258064516129
"0-5cm_CPCRW_150d_FAD_saturated","Abiotic","Formic Acid (-H2O)",9,31,29.0322580645161
"0-5cm_CPCRW_150d_FAD_saturated","Abiotic","glyoxylate (-H2O)",8,31,25.8064516129032
"0-5cm_CPCRW_150d_FAD_saturated","Abiotic","H2S",4,31,12.9032258064516
"0-5cm_CPCRW_150d_FAD_saturated","Abiotic","hydrogenation/dehydrogenation",4,31,12.9032258064516
"0-5cm_CPCRW_150d_FAD_saturated","Abiotic","hydroxylation (-H)",5,31,16.1290322580645
"0-5cm_CPCRW_150d_FAD_saturated","Abiotic","NO3-",1,31,3.2258064516129
"0-5cm_CPCRW_150d_FAD_saturated","Biotic","Alanine",2,31,6.45161290322581
"0-5cm_CPCRW_150d_FAD_saturated","Biotic","Asparagine",1,31,3.2258064516129
"0-5cm_CPCRW_150d_FAD_saturated","Biotic","Aspartic Acid",1,31,3.2258064516129
"0-5cm_CPCRW_150d_FAD_saturated","Biotic","CH4_O",302,31,974.193548387097
"0-5cm_CPCRW_150d_FAD_saturated","Biotic","Glutamic Acid",1,31,3.2258064516129
"0-5cm_CPCRW_150d_FAD_saturated","Biotic","Glycine",1,31,3.2258064516129
"0-5cm_CPCRW_150d_FAD_saturated","Biotic","malonyl group (-H2O)",197,31,635.483870967742
"0-5cm_CPCRW_150d_FAD_saturated","Biotic","NH_CH2",5,31,16.1290322580645
