"DATETIME","ALARM_STATUS","MPVPosition","CH4_dry","CO2_dry","h2o_reported","Sample_number","Elapsed_seconds","Core"
2018-12-04 19:07:16,0,3,1.9262966086,830.59272467,2.6893467254,439,82,"3"
2018-12-04 19:07:18,0,3,1.9262966086,830.59272467,2.6893467254,439,84,"3"
2018-12-04 19:07:19,0,3,1.9262966086,830.59272467,2.6893467254,439,85,"3"
2018-12-04 19:07:23,0,3,1.936080623,787.96763208,2.6957627669,439,89,"3"
2018-12-04 19:08:19,0,4,1.989476214,488.78037803,0.77197708819,441,0,"4"
2018-12-04 19:08:22,0,4,2.0118037969,1222.3023422,2.7927650757,441,3,"4"
2018-12-04 19:08:26,0,4,2.0118037969,1222.3023422,2.7927650757,441,7,"4"
2018-12-04 19:08:45,0,4,2.0118037969,1222.3023422,2.7927650757,441,26,"4"
2018-12-04 19:08:48,0,4,1.5942250634,1613.117064,2.8888649516,441,29,"4"
2018-12-04 19:08:50,0,4,1.5942250634,1613.117064,2.8888649516,441,31,"4"
2018-12-04 19:08:51,0,4,1.5942250634,1613.117064,2.8888649516,441,32,"4"
2018-12-04 19:08:55,0,4,1.8110298068,1173.2563476,2.8951787146,441,36,"4"
2018-12-04 19:08:59,0,4,1.8110298068,1173.2563476,2.8951787146,441,40,"4"
2018-12-04 19:09:18,0,4,1.8110298068,1173.2563476,2.8951787146,441,59,"4"
2018-12-04 19:09:21,0,4,1.8423062483,980.91032659,2.907931888,441,62,"4"
2018-12-04 19:09:23,0,4,1.8423062483,980.91032659,2.907931888,441,64,"4"
2018-12-04 19:09:24,0,4,1.8423062483,980.91032659,2.907931888,441,65,"4"
2018-12-04 19:09:28,0,4,1.9147558935,843.99770333,2.908025792,441,69,"4"
2018-12-04 19:09:32,0,4,1.9147558935,843.99770333,2.908025792,441,73,"4"
2018-12-04 19:09:51,0,4,1.9147558935,843.99770333,2.908025792,441,92,"4"
2018-12-04 19:09:54,0,4,1.9256689995,760.92722173,2.9170674316,441,95,"4"
2018-12-04 19:09:56,0,4,1.9256689995,760.92722173,2.9170674316,441,97,"4"
2018-12-04 19:09:57,0,4,1.9256689995,760.92722173,2.9170674316,441,98,"4"
2018-12-04 19:10:01,0,4,1.951961878,697.17024003,2.9188532748,441,102,"4"
2018-12-04 19:10:43,0,5,1.9905263397,485.82476327,0.76612883691,443,0,"5"
2018-12-04 19:10:44,0,5,1.9905263397,485.82476327,0.76612883691,443,1,"5"
2018-12-04 19:10:49,0,5,1.9906132509,501.10005419,2.6276870152,443,6,"5"
2018-12-04 19:10:54,0,5,1.9906132509,501.10005419,2.6276870152,443,11,"5"
2018-12-04 19:11:16,0,5,1.9906132509,501.10005419,2.6276870152,443,33,"5"
2018-12-04 19:11:20,0,5,0.36182738628,2335.643048,2.8921429042,443,37,"5"
2018-12-04 19:11:24,0,5,0.36182738628,2335.643048,2.8921429042,443,41,"5"
2018-12-04 19:11:43,0,5,0.36182738628,2335.643048,2.8921429042,443,60,"5"
2018-12-04 19:11:47,0,5,1.4358143228,1374.6533289,2.909649832,443,64,"5"
2018-12-04 19:11:50,0,5,1.4358143228,1374.6533289,2.909649832,443,67,"5"
2018-12-04 19:12:10,0,5,1.4358143228,1374.6533289,2.909649832,443,87,"5"
2018-12-04 19:12:14,0,5,1.7489736102,952.09139309,2.9186518319,443,91,"5"
2018-12-04 19:12:15,0,5,1.7489736102,952.09139309,2.9186518319,443,92,"5"
