"DATETIME","ALARM_STATUS","MPVPosition","CH4_dry","CO2_dry","h2o_reported","Sample_number","Elapsed_seconds","Core"
2019-02-01 17:32:15,0,1,2.0035347464,491.69777092,0.75532958573,2,0,"51"
2019-02-01 17:32:19,0,1,2.0059854811,495.4230262,0.75068070342,2,4,"51"
2019-02-01 17:32:48,0,1,2.0059854811,495.4230262,0.75068070342,2,33,"51"
2019-02-01 17:32:51,0,1,2.0060071447,499.86741056,0.75278627912,2,36,"51"
2019-02-01 17:32:57,0,1,2.0059593158,499.85286637,0.75278627912,2,42,"51"
2019-02-01 17:33:20,0,1,2.0059593158,499.85286637,0.75278627912,2,65,"51"
2019-02-01 17:33:23,0,1,2.006071221,497.00576375,0.75234232413,2,68,"51"
2019-02-01 17:33:28,0,1,2.006071221,497.00576375,0.75234232413,2,73,"51"
2019-02-01 17:33:49,0,1,2.006071221,497.00576375,0.75234232413,2,94,"51"
2019-02-01 17:33:53,0,1,2.004886471,493.65361525,0.75197725103,2,98,"51"
2019-02-01 17:34:55,0,2,2.0063388277,488.25473578,0.75340406287,4,0,"1"
2019-02-01 17:34:59,0,2,2.0061970193,504.99777279,0.73961961664,4,4,"1"
2019-02-01 17:35:04,0,2,2.0062116947,505.00228083,0.73961961664,4,9,"1"
2019-02-01 17:35:26,0,2,2.0062116947,505.00228083,0.73961961664,4,31,"1"
2019-02-01 17:35:29,0,2,-4.6404023919,517.02080166,0.73873922743,4,34,"1"
2019-02-01 17:35:34,0,2,-4.6404023919,517.02080166,0.73873922743,4,39,"1"
2019-02-01 17:35:55,0,2,-4.6404023919,517.02080166,0.73873922743,4,60,"1"
2019-02-01 17:35:58,0,2,2.4190610848,503.04360569,0.73792251777,4,63,"1"
2019-02-01 17:36:04,0,2,2.4190610848,503.04360569,0.73792251777,4,69,"1"
2019-02-01 17:36:26,0,2,2.4190610848,503.04360569,0.73792251777,4,91,"1"
2019-02-01 17:36:30,0,2,2.3784393547,493.11520059,0.7389760596,4,95,"1"
2019-02-01 17:37:11,0,3,2.3786179798,484.57298711,0.75257421339,6,0,"59"
2019-02-01 17:37:34,0,3,2.3786179798,484.57298711,0.75257421339,6,23,"59"
2019-02-01 17:37:37,0,3,2.3384017325,503.12164626,0.87806141705,6,26,"59"
2019-02-01 17:37:42,0,3,2.3384017325,503.12164626,0.87806141705,6,31,"59"
2019-02-01 17:38:03,0,3,2.3384017325,503.12164626,0.87806141705,6,52,"59"
2019-02-01 17:38:06,0,3,2.3091424926,519.44458637,0.89116640322,6,55,"59"
2019-02-01 17:38:10,0,3,2.3091424926,519.44458637,0.89116640322,6,59,"59"
2019-02-01 17:38:29,0,3,2.3091424926,519.44458637,0.89116640322,6,78,"59"
2019-02-01 17:38:33,0,3,2.2775242099,507.24380292,0.89714497622,6,82,"59"
2019-02-01 17:38:38,0,3,2.2775242099,507.24380292,0.89714497622,6,87,"59"
2019-02-01 17:39:00,0,3,2.2775242099,507.24380292,0.89714497622,6,109,"59"
2019-02-01 17:39:04,0,3,2.2515883557,498.03079889,0.90544256822,6,113,"59"
2019-02-01 17:39:42,0,4,2.2048283183,476.22128041,0.75250046533,8,0,"15"
2019-02-01 17:40:05,0,4,2.2048283183,476.22128041,0.75250046533,8,23,"15"
2019-02-01 17:40:09,0,4,2.1853638143,486.36679998,0.75282958214,8,27,"15"
2019-02-01 17:40:15,0,4,2.1853638143,486.36679998,0.75282958214,8,33,"15"
2019-02-01 17:40:39,0,4,2.1853638143,486.36679998,0.75282958214,8,57,"15"
2019-02-01 17:40:42,0,4,2.1686285393,491.30201621,0.75386634463,8,60,"15"
2019-02-01 17:40:46,0,4,2.1686285393,491.30201621,0.75386634463,8,64,"15"
2019-02-01 17:41:05,0,4,2.1686285393,491.30201621,0.75386634463,8,83,"15"
2019-02-01 17:41:09,0,4,2.1503951855,485.54420689,0.754138043,8,87,"15"
2019-02-01 17:41:13,0,4,2.1503951855,485.54420689,0.754138043,8,91,"15"
2019-02-01 17:41:34,0,4,2.1503951855,485.54420689,0.754138043,8,112,"15"
2019-02-01 17:42:09,0,5,2.1367540752,477.502322,0.75778024175,9,0,"34"
2019-02-01 17:42:18,0,5,2.1367678064,477.5060666,0.75778024175,9,9,"34"
2019-02-01 17:42:39,0,5,2.1367678064,477.5060666,0.75778024175,9,30,"34"
2019-02-01 17:42:42,0,5,2.1240816309,492.68328808,0.73537537447,9,33,"34"
2019-02-01 17:42:46,0,5,2.1240816309,492.68328808,0.73537537447,9,37,"34"
2019-02-01 17:43:07,0,5,2.1240816309,492.68328808,0.73537537447,9,58,"34"
2019-02-01 17:43:12,0,5,2.1094572014,502.3303243,0.73714852797,9,63,"34"
2019-02-01 17:43:16,0,5,2.1094572014,502.3303243,0.73714852797,9,67,"34"
2019-02-01 17:43:37,0,5,2.1094572014,502.3303243,0.73714852797,9,88,"34"
2019-02-01 17:43:40,0,5,2.0927097261,489.41907193,0.73763067175,9,91,"34"
2019-02-01 17:44:44,0,6,2.0928682228,481.28321155,0.75192512186,11,0,"33"
2019-02-01 17:44:48,0,6,2.0927805166,474.70758776,0.74374921946,11,4,"33"
