Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,MolForm,AI,AI_Mod,DBE,DBE_O,DBE_AI,GFE,kmass.CH2,kdefect.CH2,NOSC,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,NtoP_ratio,bs1_class,bs2_class,bs3_class
237.999376025423,9,5,7,1,0,0,0,0,CHON,ConHC,239.006652492303,-0.213265626480144,1,C9H5O7N,0,0.777777777777778,8,1,0,22.3,237.733623795965,0.266376204034628,1.33333333333333,0.777777777777778,0.555555555555556,0.111111111111111,0,NA,Other,Cond Hydrocarbon,Other
238.006706008246,0,0,0,0,0,0,0,0,,None,239.013982475126,0,0,NA,NA,NA,NA,NA,NA,NA,237.740945594064,0.259054405935956,NA,NA,NA,NA,NA,NA,NA,NA,NA
238.0075750487,0,0,0,0,0,0,0,0,,None,239.01485151558,0,0,NA,NA,NA,NA,NA,NA,NA,237.74181366414,0.258186335860273,NA,NA,NA,NA,NA,NA,NA,NA,NA
238.011919046354,0,0,0,0,0,0,0,0,,None,239.019195513234,0,0,NA,NA,NA,NA,NA,NA,NA,237.746152811247,0.253847188752871,NA,NA,NA,NA,NA,NA,NA,NA,NA
238.019813681174,0,0,0,0,0,0,0,0,,None,239.027090148054,0,0,NA,NA,NA,NA,NA,NA,NA,237.754038630847,0.24596136915261,NA,NA,NA,NA,NA,NA,NA,NA,NA
238.030102537965,0,0,0,0,0,0,0,0,,None,239.037379004845,0,0,NA,NA,NA,NA,NA,NA,NA,237.764315999009,0.235684000991029,NA,NA,NA,NA,NA,NA,NA,NA,NA
238.030307028958,0,0,0,0,0,0,0,0,,None,239.037583495838,0,0,NA,NA,NA,NA,NA,NA,NA,237.764520261665,0.235479738334533,NA,NA,NA,NA,NA,NA,NA,NA,NA
238.035688662924,10,9,6,1,0,0,0,0,CHON,Lignin,239.042965129804,0.0916023459343268,1,C10H9O6N,0,0.5,7,1,0,43.2,237.769895886451,0.230104113549089,0.6,0.6,0.9,0.1,0,NA,Lignin,Lignin,Other
238.048312460395,0,0,0,0,0,0,0,0,,None,239.055588927275,0,1,NA,NA,NA,NA,NA,NA,NA,237.782505588077,0.217494411923099,NA,NA,NA,NA,NA,NA,NA,NA,NA
238.056880300398,7,13,8,1,0,0,0,0,CHON,Other,239.064156767278,-0.168858346483823,1,C7H13O8N,0,0,2,-6,-7,35.8714285714286,237.791063861153,0.208936138846781,0.857142857142857,1.14285714285714,1.85714285714286,0.142857142857143,0,NA,Other,Carbohydrate,Other
238.072072087337,11,13,5,1,0,0,0,0,CHON,Lignin,239.079348554217,0.100296336259986,1,C11H13O5N,0,0.333333333333333,6,1,0,60.3,237.806238684807,0.193761315192802,0,0.454545454545455,1.18181818181818,0.0909090909090909,0,NA,Lignin,Lignin,Other
238.080333738315,0,0,0,0,0,0,0,0,,None,239.087610205195,0,0,NA,NA,NA,NA,NA,NA,NA,237.814491110752,0.185508889248098,NA,NA,NA,NA,NA,NA,NA,NA,NA
238.08501063264,8,18,5,1,0,0,1,0,CHONP,Other,239.09228709952,-0.116674695949318,1,C8H18O5NP,0,0,1,-4,-6,95.925,237.819162782815,0.180837217185086,-1.25,0.625,2.25,0.125,0.125,1,Other,Other,Amino Sugar
238.086924163048,0,0,0,0,0,0,0,0,,None,239.094200629928,0,0,NA,NA,NA,NA,NA,NA,NA,237.821074176558,0.178925823442228,NA,NA,NA,NA,NA,NA,NA,NA,NA
238.093287700838,8,17,7,1,0,0,0,0,CHON,Carb,239.100564167718,-0.260401383218517,1,C8H17O7N,0,0,1,-6,-7,60.3,237.827430608765,0.172569391235385,0,0.875,2.125,0.125,0,NA,Carbohydrate,Carbohydrate,Other
238.095226337615,0,0,0,0,0,0,0,0,,None,239.102502804495,0,0,NA,NA,NA,NA,NA,NA,NA,237.829367080842,0.170632919157526,NA,NA,NA,NA,NA,NA,NA,NA,NA
238.108466123662,12,17,4,1,0,0,0,0,CHON,Lignin,239.115742590542,0.0646078681742142,1,C12H17O4N,0,0.222222222222222,5,1,0,74.55,237.842592083226,0.157407916773906,-0.5,0.333333333333333,1.41666666666667,0.0833333333333333,0,NA,Lignin,Lignin,Other
238.116348475467,0,0,0,0,0,0,0,0,,None,239.123624942347,0,0,NA,NA,NA,NA,NA,NA,NA,237.850465633527,0.149534366473347,NA,NA,NA,NA,NA,NA,NA,NA,NA
238.129221128242,0,0,0,0,0,0,0,0,,None,239.136497595122,0,0,NA,NA,NA,NA,NA,NA,NA,237.863323912583,0.136676087417442,NA,NA,NA,NA,NA,NA,NA,NA,NA
238.155219282791,0,0,0,0,0,0,0,0,,None,239.162495749671,0,0,NA,NA,NA,NA,NA,NA,NA,237.88929303736,0.110706962640052,NA,NA,NA,NA,NA,NA,NA,NA,NA
238.193487576708,0,0,0,0,0,0,0,0,,None,239.200764043588,0,0,NA,NA,NA,NA,NA,NA,NA,237.927518600558,0.0724813994419264,NA,NA,NA,NA,NA,NA,NA,NA,NA
238.209171088231,0,0,0,0,0,0,0,0,,None,239.216447555111,0,0,NA,NA,NA,NA,NA,NA,NA,237.943184599732,0.0568154002680217,NA,NA,NA,NA,NA,NA,NA,NA,NA
238.216721035575,0,0,0,0,0,0,0,0,,None,239.223997502455,0,0,NA,NA,NA,NA,NA,NA,NA,237.950726116737,0.0492738832626571,NA,NA,NA,NA,NA,NA,NA,NA,NA
238.241179631256,0,0,0,0,0,0,0,0,,None,239.248456098136,0,0,NA,NA,NA,NA,NA,NA,NA,237.975157401732,0.0248425982680942,NA,NA,NA,NA,NA,NA,NA,NA,NA
238.295466765696,0,0,0,0,0,0,0,0,,None,239.302743232576,0,0,NA,NA,NA,NA,NA,NA,NA,238.029383918673,0.970616081327393,NA,NA,NA,NA,NA,NA,NA,NA,NA
238.304780713067,0,0,0,0,0,0,0,0,,None,239.312057179947,0,0,NA,NA,NA,NA,NA,NA,NA,238.038687466007,0.961312533993237,NA,NA,NA,NA,NA,NA,NA,NA,NA
238.320578744871,0,0,0,0,0,0,0,0,,None,239.327855211751,0,0,NA,NA,NA,NA,NA,NA,NA,238.054467857587,0.945532142412674,NA,NA,NA,NA,NA,NA,NA,NA,NA
