"Core","Sample_number","DATETIME","n","flux_co2_umol_s","flux_ch4_nmol_s","dry_soil_g","flux_co2_umol_g_s","flux_ch4_nmol_g_s","Core_assignment","coreID","Site","location","drying","length","replicate","Treatment"
"1",72,2019-01-04 21:06:14,11,3.51649036905116e-05,2.28199183480282e-09,141.3,2.4886697587057e-07,1.61499775994538e-11,"CPCRW_90d_up_FAD_r1","C1","CPCRW","upland","forced","90 day",1,"drydown"
"1",178,2019-01-11 19:45:27,11,2.61004680891149e-05,1.26705129514304e-08,141.3,1.84716688528768e-07,8.9671004610265e-11,"CPCRW_90d_up_FAD_r1","C1","CPCRW","upland","forced","90 day",1,"drydown"
"1",374,2019-01-17 20:13:01,9,1.90611241981697e-05,3.63643483600221e-08,141.3,1.3489826042583e-07,2.57355614720609e-10,"CPCRW_90d_up_FAD_r1","C1","CPCRW","upland","forced","90 day",1,"drydown"
"11",45,2019-01-04 19:58:04,11,8.65894901619094e-05,-3.08428710480031e-07,127.64,6.78388359150027e-07,-2.41639541272353e-09,"CPCRW_90d_up_CW_r1","C11","CPCRW","upland","constant weight","90 day",1,"drydown"
"11",207,2019-01-11 20:50:54,11,5.88938243413938e-05,-8.54836437692974e-08,127.64,4.61405706215871e-07,-6.69724567293148e-10,"CPCRW_90d_up_CW_r1","C11","CPCRW","upland","constant weight","90 day",1,"drydown"
"11",347,2019-01-17 19:14:56,11,5.23241889719516e-05,4.34253896755917e-08,127.64,4.09935670416418e-07,3.40217719175742e-10,"CPCRW_90d_up_CW_r1","C11","CPCRW","upland","constant weight","90 day",1,"drydown"
"11",531,2019-01-24 20:00:20,13,0.000154024294212377,-7.9175739386951e-07,127.64,1.20670866665917e-06,-6.20305071975486e-09,"CPCRW_90d_up_CW_r1","C11","CPCRW","upland","constant weight","90 day",1,"drydown"
"13",43,2019-01-04 19:55:34,11,4.2386515819535e-05,1.06985343970145e-08,163,2.60039974352975e-07,6.56351803497824e-11,"CPCRW_150d_up_CW_r2","C13","CPCRW","upland","constant weight","150 day",2,"drydown"
"13",201,2019-01-11 20:43:09,11,0.000398347828597303,-2.88537731051499e-09,163,2.44385170918591e-06,-1.7701701291503e-11,"CPCRW_150d_up_CW_r2","C13","CPCRW","upland","constant weight","150 day",2,"drydown"
"13",352,2019-01-17 19:20:03,11,2.46696256723374e-05,2.93364300187459e-08,163,1.51347396762806e-07,1.79978098274515e-10,"CPCRW_150d_up_CW_r2","C13","CPCRW","upland","constant weight","150 day",2,"drydown"
