sample,Dist,peak.x,peak.y,Dist.plus,Dist.minus,Trans.name
Sample_SR_5cm-end_timezero,8.04146677241098,211.097550868341,203.05608409593,8.04147677241098,8.04145677241099,C3H4O_2
Sample_SR_5cm-end_timezero,0.0363723790140114,211.133923247355,211.097550868341,0.0363823790140114,0.0363623790140114,CH4_O
Sample_SR_5cm-end_timezero,10.020743884653,213.076827980583,203.05608409593,10.020753884653,10.020733884653,C2H2O_1
Sample_SR_5cm-end_timezero,11.999998917602,215.056083013532,203.05608409593,12.000008917602,11.999988917602,C1
Sample_SR_5cm-end_timezero,1.979255032949,215.056083013532,213.076827980583,1.979265032949,1.979245032949,C_1H_2O1
Sample_SR_5cm-end_timezero,12.036391709221,215.092475805151,203.05608409593,12.036401709221,12.036381709221,C2H4O_1
Sample_SR_5cm-end_timezero,3.99492493681001,215.092475805151,211.097550868341,3.99493493681001,3.99491493681001,C_1O1
Sample_SR_5cm-end_timezero,2.01564782456799,215.092475805151,213.076827980583,2.01565782456799,2.01563782456799,H2
Sample_SR_5cm-end_timezero,3.994920816725,217.071748797308,213.076827980583,3.994930816725,3.994910816725,C_1O1
Sample_SR_5cm-end_timezero,1.97927299215701,217.071748797308,215.092475805151,1.97928299215701,1.97926299215701,C_1H_2O1
Sample_SR_5cm-end_timezero,14.052031929148,217.108116025078,203.05608409593,14.052041929148,14.052021929148,C2H6O_1
Sample_SR_5cm-end_timezero,6.01056515673702,217.108116025078,211.097550868341,6.01057515673702,6.01055515673702,C_1H2O
Sample_SR_5cm-end_timezero,2.052033011546,217.108116025078,215.056083013532,2.052043011546,2.052023011546,CH6O_1
Sample_SR_5cm-end_timezero,2.01564021992701,217.108116025078,215.092475805151,2.01565021992701,2.01563021992701,H2
Sample_SR_5cm-end_timezero,20.005091883799,221.081892385438,201.076800501639,20.005101883799,20.005081883799,C3O_1
Sample_SR_5cm-end_timezero,9.98434151709702,221.081892385438,211.097550868341,9.98435151709702,9.98433151709702,H_2C1
Sample_SR_5cm-end_timezero,9.94796913808301,221.081892385438,211.133923247355,9.94797913808301,9.94795913808301,H_6O1
Sample_SR_5cm-end_timezero,12.000008847838,221.154689665063,209.154680817225,12.000018847838,11.999998847838,C1
Sample_SR_5cm-end_timezero,1.97926856733801,223.133958232401,221.154689665063,1.97927856733801,1.97925856733801,C_1H_2O1
Sample_SR_5cm-end_timezero,24.036384770738,227.092468866668,203.05608409593,24.036394770738,24.036374770738,C3H4O_1
Sample_SR_5cm-end_timezero,15.994917998327,227.092468866668,211.097550868341,15.994927998327,15.994907998327,O1
Sample_SR_5cm-end_timezero,14.015640886085,227.092468866668,213.076827980583,14.015650886085,14.015630886085,CH2
Sample_SR_5cm-end_timezero,12.036385853136,227.092468866668,215.056083013532,12.036395853136,12.036375853136,C2H4O_1
Sample_SR_5cm-end_timezero,11.999993061517,227.092468866668,215.092475805151,12.000003061517,11.999983061517,C1
Sample_SR_5cm-end_timezero,9.98435284159001,227.092468866668,217.108116025078,9.98436284159001,9.98434284159001,H_2C1
Sample_SR_5cm-end_timezero,3.994924319765,227.128882552166,223.133958232401,3.994934319765,3.994914319765,C_1O1
Sample_SR_5cm-end_timezero,1.97927387863001,229.017617022898,227.038343144268,1.97928387863001,1.97926387863001,C_1H_2O1
Sample_SR_5cm-end_timezero,15.994919972864,229.071747953447,213.076827980583,15.994929972864,15.994909972864,O1
Sample_SR_5cm-end_timezero,13.979272148296,229.071747953447,215.092475805151,13.979282148296,13.979262148296,H_2O1
Sample_SR_5cm-end_timezero,11.999999156139,229.071747953447,217.071748797308,12.000009156139,11.999989156139,C1
Sample_SR_5cm-end_timezero,26.052034882964,229.108118978894,203.05608409593,26.052044882964,26.052024882964,C3H6O_1
Sample_SR_5cm-end_timezero,18.010568110553,229.108118978894,211.097550868341,18.010578110553,18.010558110553,H2O
Sample_SR_5cm-end_timezero,16.031290998311,229.108118978894,213.076827980583,16.031300998311,16.031280998311,C1H4
Sample_SR_5cm-end_timezero,14.052035965362,229.108118978894,215.056083013532,14.052045965362,14.052025965362,C2H6O_1
Sample_SR_5cm-end_timezero,14.015643173743,229.108118978894,215.092475805151,14.015653173743,14.015633173743,CH2
Sample_SR_5cm-end_timezero,12.000002953816,229.108118978894,217.108116025078,12.000012953816,11.999992953816,C1
Sample_SR_5cm-end_timezero,2.01565011222598,229.108118978894,227.092468866668,2.01566011222598,2.01564011222598,H2
Sample_SR_5cm-end_timezero,0.0363710254470107,229.108118978894,229.071747953447,0.0363810254470107,0.0363610254470106,CH4_O
Sample_SR_5cm-end_timezero,7.989838879697,229.14452854476,221.154689665063,7.989848879697,7.989828879697,C_2O2
Sample_SR_5cm-end_timezero,6.01057031235899,229.14452854476,223.133958232401,6.01058031235899,6.01056031235899,C_1H2O
Sample_SR_5cm-end_timezero,2.01564599259399,229.14452854476,227.128882552166,2.01565599259399,2.01563599259399,H2
Sample_SR_5cm-end_timezero,14.015654815273,231.087403612581,217.071748797308,14.015664815273,14.015644815273,CH2
Sample_SR_5cm-end_timezero,2.01565565913401,231.087403612581,229.071747953447,2.01566565913401,2.01564565913401,H2
Sample_SR_5cm-end_timezero,20.026210030434,231.123760898775,211.097550868341,20.026220030434,20.026200030434,H4O
Sample_SR_5cm-end_timezero,19.98983765142,231.123760898775,211.133923247355,19.98984765142,19.98982765142,C_1O2
Sample_SR_5cm-end_timezero,16.067677885243,231.123760898775,215.056083013532,16.067687885243,16.067667885243,C2H8O_1
