"Core","cum","max","mean","median","sd","cv","se","n","Core_assignment","coreID","Site","location","drying","length","replicate"
"1",2.00555517771388e-05,3.51192486672442e-07,2.67407357028517e-07,2.60665815331218e-07,6.62741816591724e-08,0.247839784198999,7.65268332424907e-09,75,"CPCRW_90d_up_FAD_r1","C1","CPCRW","upland","forced","90 day",1
"11",6.33980832561542e-05,1.20670866665917e-06,6.89109600610372e-07,5.69897032682949e-07,3.17089274969362e-07,0.460143458585548,3.30588421870096e-08,92,"CPCRW_90d_up_CW_r1","C11","CPCRW","upland","constant weight","90 day",1
"13",0.000106675216981975,2.85329008378556e-06,1.11120017689558e-06,3.03606588493195e-07,1.23940468113344e-06,1.11537480546128,1.26496210566409e-07,96,"CPCRW_150d_up_CW_r2","C13","CPCRW","upland","constant weight","150 day",2
"15",0.00036396731938434,7.84365489326707e-06,3.6396731938434e-06,3.00432113080745e-06,2.68402467136864e-06,0.737435623590804,2.68402467136864e-07,100,"CPCRW_90d_up_CW_r2","C15","CPCRW","upland","constant weight","90 day",2
"16",9.29780591726722e-05,2.7099492614171e-06,1.60306998573573e-06,1.60306998573573e-06,1.11654652713851e-06,0.696505166383034,1.46609741600469e-07,58,"CPCRW_30d_up_FAD_r2","C16","CPCRW","upland","forced","30 day",2
"18",0.000108832448926109,2.89321097174126e-06,1.5115617906404e-06,1.27147668935231e-06,1.05131931019749e-06,0.695518579992737,1.23899168905502e-07,72,"CPCRW_90d_up_FAD_r3","C18","CPCRW","upland","forced","90 day",3
"20",3.45201569451712e-05,1.15277378520843e-06,8.21908498694551e-07,8.21908498694551e-07,3.34875921267543e-07,0.407436985746504,5.16724764732236e-08,42,"CPCRW_30d_up_CW_r3","C20","CPCRW","upland","constant weight","30 day",3
"25",1.67958889065474e-05,2.30749964101221e-07,1.90862373938038e-07,1.92755712616884e-07,3.39845150878252e-08,0.178057698783826,3.62276148086119e-09,88,"CPCRW_90d_up_CW_r4","C25","CPCRW","upland","constant weight","90 day",4
"26",0.000123399673765819,2.84738951600191e-06,9.95158659401765e-07,4.81889162666554e-07,1.08186265294845e-06,1.08712579921559,9.71541342671475e-08,124,"CPCRW_150d_up_CW_r3","C26","CPCRW","upland","constant weight","150 day",3
"27",0.000110228307864593,3.21416443084981e-06,1.96836264043916e-06,1.96836264043916e-06,1.25707624456306e-06,0.638640573000611,1.67983879150265e-07,56,"CPCRW_30d_up_FAD_r3","C27","CPCRW","upland","forced","30 day",3
