"Core","cum","max","mean","median","sd","cv","se","n","Core_assignment","coreID","Site","location","drying","length","replicate"
"13",0.135223842878353,0.000137485628884609,4.40181780202971e-05,2.92641134267164e-05,3.97056849664111e-05,0.902029269546379,7.16377746991122e-07,3072,"CPCRW_150d_up_CW_r2","C13","CPCRW","upland","constant weight","150 day",2
"16",0.167196032514421,0.000160272736979428,4.88591561994216e-05,4.445721085021e-05,3.25770604219552e-05,0.666754462336394,5.56893168997548e-07,3422,"CPCRW_30d_up_FAD_r2","C16","CPCRW","upland","forced","30 day",2
"26",0.127543224810577,9.77241379099087e-05,3.99446366459685e-05,3.69983671203388e-05,2.57723142840792e-05,0.645200869205562,4.56093580390811e-07,3193,"CPCRW_150d_up_CW_r3","C26","CPCRW","upland","constant weight","150 day",3
"27",0.242223390001098,0.00028716039847221,7.72396014034113e-05,5.50022827359743e-05,6.79526953190758e-05,0.87976496621427,1.21344098784064e-06,3136,"CPCRW_30d_up_FAD_r3","C27","CPCRW","upland","forced","30 day",3
"28",0.115600560044592,0.000105956933878005,4.00973153120332e-05,3.30303582818687e-05,2.85308904101094e-05,0.711541163992775,5.31365072854722e-07,2883,"CPCRW_150d_up_CW_r1","C28","CPCRW","upland","constant weight","150 day",1
"39",0.454033824146931,0.000366632747622353,0.000139788738961494,0.000138857881416468,7.74530816474759e-05,0.554072396838856,1.35903515659561e-06,3248,"CPCRW_30d_up_FAD_r4","C39","CPCRW","upland","forced","30 day",4
"4",0.159253614405029,0.000131002811587227,4.87909357858544e-05,4.30212285002817e-05,3.22708892127671e-05,0.661411565344954,5.64853543231402e-07,3264,"CPCRW_150d_up_CW_r4","C4","CPCRW","upland","constant weight","150 day",4
"44",0.305544817402502,0.000408737123186881,9.84675531429269e-05,7.30641274072206e-05,9.26494451375024e-05,0.940913449966818,1.66322856425108e-06,3103,"CPCRW_30d_low_FAD_r3","C44","CPCRW","lowland","forced","30 day",3
"50",0.116027794534381,0.000143306714602155,3.57228431448218e-05,2.91529227944567e-05,2.86171628650709e-05,0.801088612937548,5.02132769780132e-07,3248,"CPCRW_30d_low_FAD_r1","C50","CPCRW","lowland","forced","30 day",1
"55",0.331730311741655,0.000361613002514417,0.000113918376284909,9.36609982930735e-05,8.86674661655507e-05,0.778342081911298,1.64311746763214e-06,2912,"CPCRW_150d_low_CW_r4","C55","CPCRW","lowland","constant weight","150 day",4
"56",0.408591183855069,0.000422255993458764,0.000123815510259112,0.000106742395534018,8.21534174635062e-05,0.663514751032255,1.4301074340797e-06,3300,"CPCRW_30d_low_FAD_r4","C56","CPCRW","lowland","forced","30 day",4
"6",0.16623103070451,0.000142539250328377,4.73727645210914e-05,3.79463590831774e-05,3.36259910824977e-05,0.709816946982832,5.67653616872995e-07,3509,"CPCRW_30d_up_FAD_r1","C6","CPCRW","upland","forced","30 day",1
"60",0.29867538631687,0.000315732913437624,0.000104724890012928,8.35883835601725e-05,8.00407332119052e-05,0.764295223437566,1.49877450793337e-06,2852,"CPCRW_150d_low_CW_r1","C60","CPCRW","lowland","constant weight","150 day",1
"62",0.58998439561663,0.000480393146603718,0.000190317546973106,0.000149642544331447,0.000136045615029388,0.714834849403624,2.44345137767715e-06,3100,"CPCRW_150d_low_CW_r2","C62","CPCRW","lowland","constant weight","150 day",2
"72",0.0573965817193751,8.89805170335849e-05,2.33319437883639e-05,1.50058648555163e-05,2.0495925952564e-05,0.878449139877741,4.13237751530317e-07,2460,"CPCRW_150d_low_CW_r3","C72","CPCRW","lowland","constant weight","150 day",3
"75",0.0417633279782699,0.000117336535472071,2.16166293883385e-05,9.73743372127445e-06,2.82587827089579e-05,1.30727053701548,6.42909567757978e-07,1932,"CPCRW_30d_low_FAD_r2","C75","CPCRW","lowland","forced","30 day",2
