"Core","DATETIME","MPVPosition","CH4_dry","CO2_dry","Elapsed_seconds","Treatment","coreID","Site","location","drying","length","replicate","Core_assignment"
"1",2018-12-28 03:36:39,2,-4.1899157945,558.8287527,8,"drydown","C1","CPCRW","upland","forced","90 day",1,"CPCRW_90d_up_FAD_r1"
"1",2018-12-28 03:37:02,2,-4.1899157945,558.8287527,31,"drydown","C1","CPCRW","upland","forced","90 day",1,"CPCRW_90d_up_FAD_r1"
"1",2018-12-28 03:37:05,2,2.8261356021,603.95012278,34,"drydown","C1","CPCRW","upland","forced","90 day",1,"CPCRW_90d_up_FAD_r1"
"1",2018-12-28 03:37:10,2,2.8261356021,603.95012278,39,"drydown","C1","CPCRW","upland","forced","90 day",1,"CPCRW_90d_up_FAD_r1"
"1",2018-12-28 03:37:33,2,2.8261356021,603.95012278,62,"drydown","C1","CPCRW","upland","forced","90 day",1,"CPCRW_90d_up_FAD_r1"
"1",2018-12-28 03:37:36,2,2.7708779165,540.05622592,65,"drydown","C1","CPCRW","upland","forced","90 day",1,"CPCRW_90d_up_FAD_r1"
"1",2018-12-28 03:37:41,2,2.7708779165,540.05622592,70,"drydown","C1","CPCRW","upland","forced","90 day",1,"CPCRW_90d_up_FAD_r1"
"1",2018-12-20 22:10:25,1,2.0971634493,525.7562402,0,"drydown","C1","CPCRW","upland","forced","90 day",1,"CPCRW_90d_up_FAD_r1"
"1",2018-12-20 22:10:30,1,2.0971634493,525.7562402,5,"drydown","C1","CPCRW","upland","forced","90 day",1,"CPCRW_90d_up_FAD_r1"
"1",2018-12-20 22:10:53,1,2.0971634493,525.7562402,28,"drydown","C1","CPCRW","upland","forced","90 day",1,"CPCRW_90d_up_FAD_r1"
"1",2018-12-20 22:11:31,1,1.952475757,644.61863363,66,"drydown","C1","CPCRW","upland","forced","90 day",1,"CPCRW_90d_up_FAD_r1"
"1",2018-12-20 22:11:01,1,2.1080387554,605.63906531,36,"drydown","C1","CPCRW","upland","forced","90 day",1,"CPCRW_90d_up_FAD_r1"
"1",2018-12-20 22:11:22,1,2.1080387554,605.63906531,57,"drydown","C1","CPCRW","upland","forced","90 day",1,"CPCRW_90d_up_FAD_r1"
"1",2018-12-20 22:11:26,1,1.952475757,644.61863363,61,"drydown","C1","CPCRW","upland","forced","90 day",1,"CPCRW_90d_up_FAD_r1"
"1",2018-12-28 03:38:08,2,2.7080722482,507.97532993,97,"drydown","C1","CPCRW","upland","forced","90 day",1,"CPCRW_90d_up_FAD_r1"
