"Site","drying","length","cum","max","mean","median"
"CPCRW","constant weight","150 day",0.00016390260827586,3.0268390408493e-06,1.48203383800775e-06,1.06469695898826e-06
"CPCRW","forced","30 day",0.000204782116841659,3.61908138381414e-06,2.06261014903403e-06,1.78973793325632e-06
"CPCRW","forced","90 day",0.000149346994482383,4.13911648072741e-06,2.4890006810083e-06,2.18866417183478e-06
