"Site","drying","length","cum","max","mean","median"
"CPCRW","constant weight","150 day",0.00086687370000148,2.1619942436099e-05,9.02893825658114e-06,3.49589909914697e-06
"CPCRW","forced","30 day",0.000370097300168147,8.32955163110749e-06,4.78773552486198e-06,4.3051470145556e-06
"CPCRW","forced","90 day",0.000331753753936775,1.15436074705374e-05,7.74598946806922e-06,6.14145045127578e-06
