coreID,depth,Site,length,location,drying,rep,DOC_ID
C50,5cm-end,CPCRW,30d,low,FAD,r1,DOC-052
C44,5cm-end,CPCRW,30d,low,FAD,r3,DOC-053
C56,5cm-end,CPCRW,30d,low,FAD,r4,DOC-054
C20,5cm-end,CPCRW,30d,up,CW,r3,DOC-055
C3,5cm-end,CPCRW,30d,up,CW,r4,DOC-056
C9,5cm-end,CPCRW,30d,up,CW,r2,DOC-057
C6,5cm-end,CPCRW,30d,up,FAD,r1,DOC-058
C39,5cm-end,CPCRW,30d,up,FAD,r4,DOC-059
C27,5cm-end,CPCRW,30d,up,FAD,r3,DOC-060
C61,5cm-end,CPCRW,90d,low,CW,r2,DOC-061
C86,5cm-end,CPCRW,90d,low,CW,r1,DOC-062
C53,5cm-end,CPCRW,90d,low,CW,r4,DOC-063
C71,5cm-end,CPCRW,90d,low,FAD,r4,DOC-064
C77,5cm-end,CPCRW,90d,low,FAD,r1,DOC-065
C52,5cm-end,CPCRW,90d,low,FAD,r3,DOC-066
C34,5cm-end,CPCRW,90d,up,CW,r3,DOC-067
C15,5cm-end,CPCRW,90d,up,CW,r2,DOC-068
C11,5cm-end,CPCRW,90d,up,CW,r1,DOC-069
C1,5cm-end,CPCRW,90d,up,FAD,r1,DOC-070
C37,5cm-end,CPCRW,90d,up,FAD,r4,DOC-071
C18,5cm-end,CPCRW,90d,up,FAD,r3,DOC-072
S13,0-5cm,SR,150d,low,CW,r2,DOC-073
S26,0-5cm,SR,150d,low,CW,r3,DOC-074
S4,0-5cm,SR,150d,low,CW,r4,DOC-075
S8,0-5cm,SR,150d,low,FAD,r3,DOC-076
S49,0-5cm,SR,150d,low,FAD,r3,DOC-077
S14,0-5cm,SR,150d,low,FAD,r4,DOC-078
S56,0-5cm,SR,150d,up,CW,r4,DOC-079
S61,0-5cm,SR,150d,up,CW,r1,DOC-080
S63,0-5cm,SR,150d,up,CW,r2,DOC-081
S80,0-5cm,SR,150d,up,FAD,r2,DOC-082
S86,0-5cm,SR,150d,up,FAD,r1,DOC-083
S3,0-5cm,SR,30d,low,CW,r4,DOC-084
S9,0-5cm,SR,30d,low,CW,r2,DOC-085
S20,0-5cm,SR,30d,low,CW,r3,DOC-086
S27,0-5cm,SR,30d,low,FAD,r3,DOC-087
S16,0-5cm,SR,30d,low,FAD,r2,DOC-088
S39,0-5cm,SR,30d,low,FAD,r4,DOC-089
S83,0-5cm,SR,30d,up,CW,r1,DOC-090
S54,0-5cm,SR,30d,up,CW,r4,DOC-091
S66,0-5cm,SR,30d,up,CW,r3,DOC-092
S57,0-5cm,SR,30d,up,FAD,r4,DOC-093
S76,0-5cm,SR,30d,up,FAD,r2,DOC-094
S15,0-5cm,SR,90d,low,CW,r2,DOC-095
S11,0-5cm,SR,90d,low,CW,r1,DOC-096
S25,0-5cm,SR,90d,low,CW,r4,DOC-097
S1,0-5cm,SR,90d,low,FAD,r1,DOC-098
S18,0-5cm,SR,90d,low,FAD,r3,DOC-099
S37,0-5cm,SR,90d,low,FAD,r4,DOC-100
S53,0-5cm,SR,90d,up,CW,r4,DOC-101
S87,0-5cm,SR,90d,up,CW,r1,DOC-102
S65,0-5cm,SR,90d,up,CW,r3,DOC-103
S52,0-5cm,SR,90d,up,FAD,r3,DOC-104
S72,0-5cm,SR,90d,up,FAD,r4,DOC-105
S78,0-5cm,SR,90d,up,FAD,r1,DOC-106
S13,5cm-end,SR,150d,low,CW,r2,DOC-107
S26,5cm-end,SR,150d,low,CW,r3,DOC-108
S4,5cm-end,SR,150d,low,CW,r4,DOC-109
S8,5cm-end,SR,150d,low,FAD,r3,DOC-110
S49,5cm-end,SR,150d,low,FAD,r3,DOC-111
S14,5cm-end,SR,150d,low,FAD,r4,DOC-112
S56,5cm-end,SR,150d,up,CW,r4,DOC-113
S61,5cm-end,SR,150d,up,CW,r1,DOC-114
S63,5cm-end,SR,150d,up,CW,r2,DOC-115
S80,5cm-end,SR,150d,up,FAD,r2,DOC-116
S86,5cm-end,SR,150d,up,FAD,r1,DOC-117
S3,5cm-end,SR,30d,low,CW,r4,DOC-118
S9,5cm-end,SR,30d,low,CW,r2,DOC-119
S20,5cm-end,SR,30d,low,CW,r3,DOC-120
S27,5cm-end,SR,30d,low,FAD,r3,DOC-121
S16,5cm-end,SR,30d,low,FAD,r2,DOC-122
S39,5cm-end,SR,30d,low,FAD,r4,DOC-123
S83,5cm-end,SR,30d,up,CW,r1,DOC-124
S54,5cm-end,SR,30d,up,CW,r4,DOC-125
S66,5cm-end,SR,30d,up,CW,r3,DOC-126
S57,5cm-end,SR,30d,up,FAD,r4,DOC-127
S76,5cm-end,SR,30d,up,FAD,r2,DOC-128
S15,5cm-end,SR,90d,low,CW,r2,DOC-129
S11,5cm-end,SR,90d,low,CW,r1,DOC-130
S25,5cm-end,SR,90d,low,CW,r4,DOC-131
S1,5cm-end,SR,90d,low,FAD,r1,DOC-132
S18,5cm-end,SR,90d,low,FAD,r3,DOC-133
S37,5cm-end,SR,90d,low,FAD,r4,DOC-134
S53,5cm-end,SR,90d,up,CW,r4,DOC-135
S87,5cm-end,SR,90d,up,CW,r1,DOC-136
S65,5cm-end,SR,90d,up,CW,r3,DOC-137
S52,5cm-end,SR,90d,up,FAD,r3,DOC-138
S72,5cm-end,SR,90d,up,FAD,r4,DOC-139
S78,5cm-end,SR,90d,up,FAD,r1,DOC-140
