Start_Date,Start_Time,Stop_Date,Stop_Time,Seq.Program,Site,Core,Valve,Mass_g,Initials,Notes1,Notes2,time,date,error,error,edits made
2019-07-01,14:29,2019-07-02,10:01,,SR,84,9,353.85,CGN/SF,,,0,0,,0,
2019-07-01,14:29,2019-07-02,10:01,,SR,74,10,330.48,CGN/SF,,,0,0,,0,
2019-07-01,14:29,2019-07-02,10:01,,SR,93,11,296.82,CGN/SF,,,0,0,,0,
2019-07-01,14:29,2019-07-02,10:01,,SR,80,12,330.44,CGN/SF,,,0,0,,0,
2019-07-01,14:29,2019-07-02,10:01,,SR,85,13,312.35,CGN/SF,,,0,0,,0,
2019-07-01,14:29,2019-07-02,10:01,,SR,87,14,301.51,CGN/SF,,,0,0,,0,
2019-07-01,14:29,2019-07-02,10:01,,SR,78,15,356.12,CGN/SF,,,0,0,,0,
2019-07-01,14:29,2019-07-02,10:01,,SR,,16,,CGN/SF,,,0,0,,0,
2019-07-02,10:02,2019-07-02,11:11,,SR,14,1,262.25,AS/CGN,,,,,,,
2019-07-02,10:02,2019-07-02,11:11,,SR,10,2,286.02,AS/CGN,,,,,,,
2019-07-02,10:02,2019-07-02,11:11,,SR,6,3,286.63,AS/CGN,,,,,,,
2019-07-02,10:02,2019-07-02,11:11,,SR,9,4,264.03,AS/CGN,,,,,,,
2019-07-02,10:02,2019-07-02,11:11,,SR,4,5,290.49,AS/CGN,,,,,,,
2019-07-02,10:02,2019-07-02,11:11,,SR,2,6,287.61,AS/CGN,,,,,,,
2019-07-02,10:02,2019-07-02,11:11,,SR,12,7,268.8,AS/CGN,,,,,,,
2019-07-02,10:02,2019-07-02,11:11,,SR,7,8,264.11,AS/CGN,,,,,,,
2019-07-02,10:02,2019-07-02,11:11,,SR,5,9,285.03,AS/CGN,,,,,,,
2019-07-02,10:02,2019-07-02,11:11,,SR,72,10,344.74,AS/CGN,,,,,,,
2019-07-02,10:02,2019-07-02,11:11,,SR,15,11,295.52,AS/CGN,,,,,,,
2019-07-02,10:02,2019-07-02,11:11,,SR,3,12,284.89,AS/CGN,,,,,,,
2019-07-02,10:02,2019-07-02,11:11,,SR,66,13,375.52,AS/CGN,,,,,,,
2019-07-02,10:02,2019-07-02,11:11,,SR,67,14,351.81,AS/CGN,,,,,,,
2019-07-02,10:02,2019-07-02,11:11,,SR,76,15,300.21,AS/CGN,,,,,,,
2019-07-02,10:02,2019-07-02,11:11,,SR,,16,,AS/CGN,,,,,,,
2019-07-02,11:12,2019-07-02,12:05,,SR,25,1,299.9,CGN,,,,,,,
2019-07-02,11:12,2019-07-02,12:05,,SR,1,2,280.53,CGN,,,,,,,
2019-07-02,11:12,2019-07-02,12:05,,SR,16,3,299.91,CGN,,,,,,,
2019-07-02,11:12,2019-07-02,12:05,,SR,22,4,323.48,CGN,,,,,,,
2019-07-02,11:12,2019-07-02,12:05,,SR,30,5,286.94,CGN,,,,,,,
2019-07-02,11:12,2019-07-02,12:05,,SR,29,6,278.7,CGN,,,,,,,
2019-07-02,11:12,2019-07-02,12:05,,SR,8,7,270.09,CGN,,,,,,,
2019-07-02,11:12,2019-07-02,12:05,,SR,24,8,300.88,CGN,,,,,,,
2019-07-02,11:12,2019-07-02,12:05,,SR,23,9,296.87,CGN,,,,,,,
2019-07-02,11:12,2019-07-02,12:05,,SR,20,10,297.57,CGN,,,,,,,
2019-07-02,11:12,2019-07-02,12:05,,SR,11,11,324.47,CGN,,,,,,,
2019-07-02,11:12,2019-07-02,12:05,,SR,17,12,311.21,CGN,,,,,,,
2019-07-02,11:12,2019-07-02,12:05,,SR,19,13,287.82,CGN,,,,,,,
2019-07-02,11:12,2019-07-02,12:05,,SR,13,14,282.03,CGN,,,,,,,
2019-07-02,11:12,2019-07-02,12:05,,SR,18,15,289.76,CGN,,,,,,,
2019-07-02,11:12,2019-07-02,12:05,,SR,,16,,CGN,,,,,,,
2019-07-02,12:06,2019-07-02,13:00,,SR,21,1,293.15,CGN,,,,,,,
2019-07-02,12:06,2019-07-02,13:00,,SR,26,2,327.43,CGN,,,,,,,
2019-07-02,12:06,2019-07-02,13:00,,SR,27,3,305.75,CGN,,,,,,,
2019-07-02,12:06,2019-07-02,13:00,,SR,28,4,295.64,CGN,,,,,,,
2019-07-02,12:06,2019-07-02,13:00,,SR,,,,CGN,,,,,,,
2019-07-03,8:25,2019-07-03,10:02,,SR,54,1,316.38,CGN,CO2 level ignited at 505ppm,,,,,,
2019-07-03,8:25,2019-07-03,10:02,,SR,39,2,310.26,CGN,,,,,,,
2019-07-03,8:25,2019-07-03,10:02,,SR,73,3,346.57,CGN,,,,,,,
2019-07-03,8:25,2019-07-03,10:02,,SR,48,4,283.83,CGN,,,,,,,
2019-07-03,8:25,2019-07-03,10:02,,SR,37,5,324.98,CGN,,,,,,,
2019-07-03,8:25,2019-07-03,10:02,,SR,9,6,258.24,CGN,,,,,,,
2019-07-03,8:25,2019-07-03,10:02,,SR,10,7,279.91,CGN,,,,,,,
2019-07-03,8:25,2019-07-03,10:02,,SR,14,8,255.81,CGN,,,,,,,
2019-07-03,8:25,2019-07-03,10:02,,SR,4,9,284.31,CGN,,,,,,,
2019-07-03,8:25,2019-07-03,10:02,,SR,87,10,295.66,CGN,,,,,,,
2019-07-03,8:25,2019-07-03,10:02,,SR,3,11,277.29,CGN,,,,,,,
2019-07-03,8:25,2019-07-03,10:02,,SR,72,12,338.37,CGN,,,,,,,
2019-07-03,8:25,2019-07-03,10:02,,SR,2,13,280.92,CGN,,,,,,,
2019-07-03,8:25,2019-07-03,10:02,,SR,5,14,278.34,CGN,,,,,,,
2019-07-03,8:25,2019-07-03,10:02,,SR,15,15,287.44,CGN,,,,,,,
2019-07-03,8:25,2019-07-03,10:02,,SR,,16,,CGN,,,,,,,
2019-07-03,10:03,2019-07-03,11:16,,SR,6,1,278.24,CGN,CO2 level ignited at 541ppm,,,,,,
2019-07-03,10:03,2019-07-03,11:16,,SR,49,2,268.13,CGN,,,,,,,
2019-07-03,10:03,2019-07-03,11:16,,SR,80,3,324.45,CGN,,,,,,,
2019-07-03,10:03,2019-07-03,11:16,,SR,55,4,299.87,CGN,,,,,,,
2019-07-03,10:03,2019-07-03,11:16,,SR,66,5,368.23,CGN,,,,,,,
2019-07-03,10:03,2019-07-03,11:16,,SR,33,6,274.88,CGN,,,,,,,
2019-07-03,10:03,2019-07-03,11:16,,SR,28,7,288.65,CGN,,,,,,,
2019-07-03,10:03,2019-07-03,11:16,,SR,67,8,344.93,CGN,,,,,,,
2019-07-03,10:03,2019-07-03,11:16,,SR,61,9,323.7,CGN,,,,,,,
2019-07-03,10:03,2019-07-03,11:16,,SR,86,10,293.23,CGN,,,,,,,
2019-07-03,10:03,2019-07-03,11:16,,SR,76,11,294.84,CGN,,,,,,,
2019-07-03,10:03,2019-07-03,11:16,,SR,27,12,299.29,CGN,,,,,,,
2019-07-03,10:03,2019-07-03,11:16,,SR,70,13,233.78,CGN,,,,,,,
2019-07-03,10:03,2019-07-03,11:16,,SR,40,14,304.75,CGN,,,,,,,
2019-07-03,10:03,2019-07-03,11:16,,SR,60,15,327.25,CGN,,,,,,,
2019-07-03,10:03,2019-07-03,11:16,,SR,,16,,CGN,,,,,,,
2019-07-03,11:17,2019-07-03,12:18,,SR,34,1,306.86,CGN,CO2 level ignited at 519ppm,,,,,,
2019-07-03,11:17,2019-07-03,12:18,,SR,59,2,317.4,CGN,,,,,,,
2019-07-03,11:17,2019-07-03,12:18,,SR,68,3,289.26,CGN,,,,,,,
2019-07-03,11:17,2019-07-03,12:18,,SR,75,4,321.52,CGN,,,,,,,
2019-07-03,11:17,2019-07-03,12:18,,SR,83,5,255.82,CGN,,,,,,,
2019-07-03,11:17,2019-07-03,12:18,,SR,52,6,302.53,CGN,,,,,,,
2019-07-03,11:17,2019-07-03,12:18,,SR,42,7,302.99,CGN,,,,,,,
2019-07-03,11:17,2019-07-03,12:18,,SR,38,8,307.64,CGN,,,,,,,
2019-07-03,11:17,2019-07-03,12:18,,SR,74,9,324.1,CGN,,,,,,,
2019-07-03,11:17,2019-07-03,12:18,,SR,35,10,309.96,CGN,,,,,,,
2019-07-03,11:17,2019-07-03,12:18,,SR,82,11,294.74,CGN,,,,,,,
2019-07-03,11:17,2019-07-03,12:18,,SR,26,12,310.69,CGN,,,,,,,
2019-07-03,11:17,2019-07-03,12:18,,SR,36,13,302.48,CGN,,,,,,,
2019-07-03,11:17,2019-07-03,12:18,,SR,78,14,347.51,CGN,,,,,,,
2019-07-03,11:17,2019-07-03,12:18,,SR,31,15,298.05,CGN,,,,,,,
2019-07-03,11:17,2019-07-03,12:18,,SR,,16,,CGN,,,,,,,
2019-07-03,12:19,2019-07-03,13:24,,SR,64,1,241.91,CGN,CO2 level ignited at 544ppm,,,,,,
2019-07-03,12:19,2019-07-03,13:24,,SR,44,2,260.42,CGN,,,,,,,
2019-07-03,12:19,2019-07-03,13:24,,SR,8,3,264.6,CGN,,,,,,,
2019-07-03,12:19,2019-07-03,13:24,,SR,20,4,290.74,CGN,,,,,,,
2019-07-03,12:19,2019-07-03,13:24,,SR,16,5,294.03,CGN,,,,,,,
2019-07-03,12:19,2019-07-03,13:24,,SR,56,6,302.71,CGN,,,,,,,
2019-07-03,12:19,2019-07-03,13:24,,SR,18,7,283.83,CGN,,,,,,,
2019-07-03,12:19,2019-07-03,13:24,,SR,57,8,252.65,CGN,,,,,,,
2019-07-03,12:19,2019-07-03,13:24,,SR,53,9,270.62,CGN,,,,,,,
2019-07-03,12:19,2019-07-03,13:24,,SR,63,10,296.93,CGN,,,,,,,
2019-07-03,12:19,2019-07-03,13:24,,SR,65,11,336.33,CGN,,,,,,,
2019-07-03,12:19,2019-07-03,13:24,,SR,51,12,262.16,CGN,,,,,,,
2019-07-03,12:19,2019-07-03,13:24,,SR,17,13,305.56,CGN,,,,,,,
2019-07-03,12:19,2019-07-03,13:24,,SR,11,14,317.47,CGN,,,,,,,
2019-07-03,12:19,2019-07-03,13:24,,SR,46,15,266.39,CGN,,,,,,,
2019-07-03,12:19,2019-07-03,13:24,,SR,,16,,CGN,,,,,,,
2019-07-03,13:25,2019-07-03,9:19,,SR,1,1,273.95,CGN,CO2 level ignited at 516ppm,,0,,0,0,
2019-07-03,13:25,2019-07-03,9:19,,SR,62,2,333.87,CGN,Stopped at step #6,,0,,0,0,
2019-07-03,13:25,2019-07-03,9:19,,SR,29,3,269.74,CGN,,,0,,0,0,
2019-07-03,13:25,2019-07-03,9:19,,SR,13,4,273.31,CGN,"Didn't register, will transfer to round 3",,0,,0,0,
2019-07-03,13:25,2019-07-03,9:19,,SR,,,,CGN,,,0,,0,0,
2019-07-05,8:31,2019-07-05,9:19,,SR,72,1,330.09,CGN,CO2 level: 499ppm,,,,,,
2019-07-05,8:31,2019-07-05,9:19,,SR,3,2,260.44,CGN,,,,,,,
2019-07-05,8:31,2019-07-05,9:19,,SR,14,3,243.03,CGN,,,,,,,
2019-07-05,8:31,2019-07-05,9:19,,SR,48,4,269.76,CGN,,,,,,,
2019-07-05,8:31,2019-07-05,9:19,,SR,73,5,339.5,CGN,,,,,,,
2019-07-05,8:31,2019-07-05,9:19,,SR,4,6,274.27,CGN,,,,,,,
2019-07-05,8:31,2019-07-05,9:19,,SR,2,7,268.77,CGN,,,,,,,
2019-07-05,8:31,2019-07-05,9:19,,SR,15,8,271.52,CGN,,,,,,,
2019-07-05,8:31,2019-07-05,9:19,,SR,5,9,263.79,CGN,,,,,,,
2019-07-05,8:31,2019-07-05,9:19,,SR,87,10,289.33,CGN,,,,,,,
2019-07-05,8:31,2019-07-05,9:19,,SR,9,11,248.47,CGN,,,,,,,
2019-07-05,8:31,2019-07-05,9:19,,SR,10,12,269.06,CGN,,,,,,,
2019-07-05,8:31,2019-07-05,9:19,,SR,54,13,306.6,CGN,,,,,,,
2019-07-05,8:31,2019-07-05,9:19,,SR,39,14,298.99,CGN,,,,,,,
2019-07-05,8:31,2019-07-05,9:19,,SR,37,15,311.51,CGN,,,,,,,
2019-07-05,8:31,2019-07-05,9:19,,SR,,16,,CGN,,,,,,,
2019-07-05,9:21,2019-07-05,12:35,,SR,35,1,289.67,CGN,CO2 level: 514ppm,,,,,,
2019-07-05,9:21,2019-07-05,12:35,,SR,83,2,248.16,CGN,Stopped at step#7 (10:26AM),,,,,,
2019-07-05,9:21,2019-07-05,12:35,,SR,26,3,292.81,CGN,,,,,,,
2019-07-05,9:21,2019-07-05,12:35,,SR,75,4,314.36,CGN,,,,,,,
2019-07-05,9:21,2019-07-05,12:35,,SR,59,5,308.79,CGN,,,,,,,
2019-07-05,9:21,2019-07-05,12:35,,SR,68,6,284.74,CGN,,,,,,,
2019-07-05,9:21,2019-07-05,12:35,,SR,74,7,315.23,CGN,,,,,,,
2019-07-05,9:21,2019-07-05,12:35,,SR,36,8,292.19,CGN,,,,,,,
2019-07-05,9:21,2019-07-05,12:35,,SR,52,9,293.99,CGN,,,,,,,
2019-07-05,9:21,2019-07-05,12:35,,SR,78,10,342.56,CGN,,,,,,,
2019-07-05,9:21,2019-07-05,12:35,,SR,31,11,280.75,CGN,,,,,,,
2019-07-05,9:21,2019-07-05,12:35,,SR,42,12,290.74,CGN,,,,,,,
2019-07-05,9:21,2019-07-05,12:35,,SR,38,13,292.64,CGN,,,,,,,
2019-07-05,9:21,2019-07-05,12:35,,SR,34,14,291.43,CGN,,,,,,,
2019-07-05,9:21,2019-07-05,12:35,,SR,82,15,287.03,CGN,,,,,,,
2019-07-05,9:21,2019-07-05,12:35,,SR,,16,,CGN,,,,,,,
2019-07-05,12:37,2019-07-05,14:35,,SR,80,1,317.89,CGN,CO2 level: 484ppm,,,,,,
2019-07-05,12:37,2019-07-05,14:35,,SR,66,2,356.38,CGN,,,,,,,
2019-07-05,12:37,2019-07-05,14:35,,SR,55,3,290.22,CGN,,,,,,,
2019-07-05,12:37,2019-07-05,14:35,,SR,86,4,281.89,CGN,,,,,,,
2019-07-05,12:37,2019-07-05,14:35,,SR,61,5,315.47,CGN,,,,,,,
2019-07-05,12:37,2019-07-05,14:35,,SR,60,6,319.01,CGN,,,,,,,
2019-07-05,12:37,2019-07-05,14:35,,SR,40,7,291.7,CGN,,,,,,,
2019-07-05,12:37,2019-07-05,14:35,,SR,49,8,257.54,CGN,,,,,,,
2019-07-05,12:37,2019-07-05,14:35,,SR,28,9,275.83,CGN,,,,,,,
2019-07-05,12:37,2019-07-05,14:35,,SR,76,10,285.16,CGN,,,,,,,
2019-07-05,12:37,2019-07-05,14:35,,SR,27,11,288.01,CGN,,,,,,,
2019-07-05,12:37,2019-07-05,14:35,,SR,67,12,336.68,CGN,,,,,,,
2019-07-05,12:37,2019-07-05,14:35,,SR,70,13,228.55,CGN,,,,,,,
2019-07-05,12:37,2019-07-05,14:35,,SR,33,14,263.32,CGN,,,,,,,
2019-07-05,12:37,2019-07-05,14:35,,SR,6,15,263.38,CGN,,,,,,,
2019-07-05,12:37,2019-07-05,14:35,,SR,,16,,CGN,,,,,,,
2019-07-05,14:38,2019-07-05,15:29,,SR,1,1,261.45,CGN,CO2 level: 507ppm,,,,,,
2019-07-05,14:38,2019-07-05,15:29,,SR,51,2,256.22,CGN,,,,,,,
2019-07-05,14:38,2019-07-05,15:29,,SR,46,3,250.79,CGN,,,,,,,
2019-07-05,14:38,2019-07-05,15:29,,SR,29,4,256.95,CGN,,,,,,,
2019-07-05,14:38,2019-07-05,15:29,,SR,65,5,328.25,CGN,,,,,,,
2019-07-05,14:38,2019-07-05,15:29,,SR,17,6,291.46,CGN,,,,,,,
2019-07-05,14:38,2019-07-05,15:29,,SR,63,7,287.91,CGN,,,,,,,
2019-07-05,14:38,2019-07-05,15:29,,SR,62,8,323.66,CGN,,,,,,,
2019-07-05,14:38,2019-07-05,15:29,,SR,53,10,264,CGN,,,,,,,
2019-07-05,14:38,2019-07-05,15:29,,SR,44,11,249.41,CGN,,,,,,,
2019-07-05,14:38,2019-07-05,15:29,,SR,56,12,295.83,CGN,,,,,,,
2019-07-05,14:38,2019-07-05,15:29,,SR,64,13,235.85,CGN,,,,,,,
2019-07-05,14:38,2019-07-05,15:29,,SR,18,14,273.31,CGN,,,,,,,
2019-07-05,14:38,2019-07-05,15:29,,SR,16,15,283.44,CGN,,,,,,,
2019-07-05,14:38,2019-07-05,15:29,,SR,,16,,CGN,,,,,,,
2019-07-05,15:31,2019-07-05,16:10,,SR,20,1,279.44,CGN,CO2 level: 465ppm,,,,,,
2019-07-05,15:31,2019-07-05,16:10,,SR,11,2,304.97,CGN,,,,,,,
2019-07-05,15:31,2019-07-05,16:10,,SR,57,3,245.11,CGN,,,,,,,
2019-07-05,15:31,2019-07-05,16:10,,SR,8,4,253.37,CGN,,,,,,,
2019-07-05,15:31,2019-07-05,16:10,,SR,13,5&6,257.95,CGN,This core ran twice on this round because it was not registered at round 2. Twice using valve #5 and #6.,,,,,,
2019-07-08,9:36,2019-07-08,10:27,,SR,11,1,288.26,CGN,CO2 level: 526ppm,,,,,,
2019-07-08,9:36,2019-07-08,10:27,,SR,20,2,264.91,CGN,,,,,,,
2019-07-08,9:36,2019-07-08,10:27,,SR,13,3,245.26,CGN,,,,,,,
2019-07-08,9:36,2019-07-08,10:27,,SR,51,4,250.54,CGN,,,,,,,
2019-07-08,9:36,2019-07-08,10:27,,SR,57,5,239.28,CGN,,,,,,,
2019-07-08,9:36,2019-07-08,10:27,,SR,18,6,258.03,CGN,,,,,,,
2019-07-08,9:36,2019-07-08,10:27,,SR,8,7,244.16,CGN,,,,,,,
2019-07-08,9:36,2019-07-08,10:27,,SR,64,8,230.46,CGN,,,,,,,
2019-07-08,9:36,2019-07-08,10:27,,SR,,9,,CGN,,,,,,,
2019-07-08,9:36,2019-07-08,10:27,,SR,17,10,276.98,CGN,,,,,,,
2019-07-08,9:36,2019-07-08,10:27,,SR,46,11,235.84,CGN,,,,,,,
2019-07-08,9:36,2019-07-08,10:27,,SR,44,12,238.73,CGN,,,,,,,
2019-07-08,9:36,2019-07-08,10:27,,SR,63,13,278.9,CGN,,,,,,,
2019-07-08,9:36,2019-07-08,10:27,,SR,16,14,270.08,CGN,,,,,,,
2019-07-08,9:36,2019-07-08,10:27,,SR,62,15,317.04,CGN,,,,,,,
2019-07-08,9:36,2019-07-08,10:27,,SR,,16,,CGN,,,,,,,
2019-07-08,10:29,2019-07-08,11:33,,SR,1,1,239.49,CGN,CO2 level: 530ppm,,,,,,
2019-07-08,10:29,2019-07-08,11:33,,SR,29,2,242.67,CGN,,,,,,,
2019-07-08,10:29,2019-07-08,11:33,,SR,35,3,258.53,CGN,,,,,,,
2019-07-08,10:29,2019-07-08,11:33,,SR,65,4,321.12,CGN,,,,,,,
2019-07-08,10:29,2019-07-08,11:33,,SR,59,5,299.85,CGN,,,,,,,
2019-07-08,10:29,2019-07-08,11:33,,SR,83,6,235.79,CGN,Core was spilled a bit (4-5 grams loss),,,,,,
2019-07-08,10:29,2019-07-08,11:33,,SR,42,7,272.21,CGN,,,,,,,
2019-07-08,10:29,2019-07-08,11:33,,SR,53,8,257.18,CGN,,,,,,,
2019-07-08,10:29,2019-07-08,11:33,,SR,82,9,274.73,CGN/SF,Tube was fixed,,,,,,
2019-07-08,10:29,2019-07-08,11:33,,SR,31,10,260.52,CGN,,,,,,,
2019-07-08,10:29,2019-07-08,11:33,,SR,56,11,289.16,CGN,,,,,,,
2019-07-08,10:29,2019-07-08,11:33,,SR,74,12,301.45,CGN,,,,,,,
2019-07-08,10:29,2019-07-08,11:33,,SR,34,13,272.36,CGN,,,,,,,
2019-07-08,10:29,2019-07-08,11:33,,SR,78,14,335.88,CGN,,,,,,,
2019-07-08,10:29,2019-07-08,11:33,,SR,26,15,272.61,CGN,,,,,,,
2019-07-08,10:29,2019-07-08,11:33,,SR,,16,,CGN,,,,,,,
2019-07-08,11:36,2019-07-08,12:31,,SR,3,1,239.4,CGN,CO2 level: 529ppm,,,,,,
2019-07-08,11:36,2019-07-08,12:31,,SR,14,2,229.58,CGN,,,,,,,
2019-07-08,11:36,2019-07-08,12:31,,SR,4,3,260.02,CGN,,,,,,,
2019-07-08,11:36,2019-07-08,12:31,,SR,39,4,281.22,CGN,,,,,,,
2019-07-08,11:36,2019-07-08,12:31,,SR,9,5,237.49,CGN,,,,,,,
2019-07-08,11:36,2019-07-08,12:31,,SR,54,6,297.84,CGN,,,,,,,
2019-07-08,11:36,2019-07-08,12:31,,SR,72,7,321.16,CGN,,,,,,,
2019-07-08,11:36,2019-07-08,12:31,,SR,2,8,253.47,CGN,,,,,,,
2019-07-08,11:36,2019-07-08,12:31,,SR,48,9,251.51,CGN,,,,,,,
2019-07-08,11:36,2019-07-08,12:31,,SR,87,10,283.1,CGN,,,,,,,
2019-07-08,11:36,2019-07-08,12:31,,SR,15,11,250.38,CGN,,,,,,,
2019-07-08,11:36,2019-07-08,12:31,,SR,5,12,246.73,CGN,,,,,,,
2019-07-08,11:36,2019-07-08,12:31,,SR,37,13,289.67,CGN,,,,,,,
2019-07-08,11:36,2019-07-08,12:31,,SR,73,14,331.25,CGN,,,,,,,
2019-07-08,11:36,2019-07-08,12:31,,SR,10,15,253.79,CGN,,,,,,,
2019-07-08,11:36,2019-07-08,12:31,,SR,,16,,CGN,,,,,,,
2019-07-08,12:34,2019-07-08,13:55,,SR,49,1,240.85,CGN,CO2 level: 517ppm,,,,,,
2019-07-08,12:34,2019-07-08,13:55,,SR,86,2,272.34,CGN,"Rerun the whole thing twice accidentially, blame it on lunch break",,,,,,
2019-07-08,12:34,2019-07-08,13:55,,SR,27,3,272.98,CGN,,,,,,,
2019-07-08,12:34,2019-07-08,13:55,,SR,60,4,313.76,CGN,,,,,,,
2019-07-08,12:34,2019-07-08,13:55,,SR,61,5,300.28,CGN,,,,,,,
2019-07-08,12:34,2019-07-08,13:55,,SR,76,6,276.7,CGN,,,,,,,
2019-07-08,12:34,2019-07-08,13:55,,SR,67,7,329.87,CGN,,,,,,,
2019-07-08,12:34,2019-07-08,13:55,,SR,38,8,271.07,CGN,,,,,,,
2019-07-08,12:34,2019-07-08,13:55,,SR,36,9,276.4,CGN,,,,,,,
2019-07-08,12:34,2019-07-08,13:55,,SR,52,10,286.78,CGN,,,,,,,
2019-07-08,12:34,2019-07-08,13:55,,SR,70,11,219.92,CGN,,,,,,,
2019-07-08,12:34,2019-07-08,13:55,,SR,75,12,304.74,CGN,,,,,,,
