"Core","cum","max","mean","median","sd","cv","se","n","Core_assignment","coreID","Site","location","drying","length","replicate"
"62",0.000150577640760501,2.34068227209367e-06,9.7146865006775e-07,8.15739735225247e-07,7.18985399570676e-07,0.740101494289634,5.77502970133853e-08,155,"CPCRW_150d_low_CW_r2","C62","CPCRW","lowland","constant weight","150 day",2
"64",0.000155560078504814,1.86608917926256e-06,1.0802783229501e-06,1.32041480184266e-06,7.11802808939993e-07,0.658906870403687,5.93169007449995e-08,144,"CPCRW_90d_low_CW_r3","C64","CPCRW","lowland","constant weight","90 day",3
"65",0.000109332426440905,2.32024314558449e-06,9.93931149462773e-07,7.75878115855961e-07,6.7546950928634e-07,0.679593862866091,6.44034907280603e-08,110,"CPCRW_30d_low_CW_r3","C65","CPCRW","lowland","constant weight","30 day",3
"66",5.51617083854777e-05,1.338342976413e-06,6.26837595289519e-07,4.33678103027983e-07,4.23205133894066e-07,0.675143190316464,4.51138188557935e-08,88,"CPCRW_30d_low_CW_r2","C66","CPCRW","lowland","constant weight","30 day",2
"69",5.57701149769838e-05,6.42224526316573e-07,4.42619960134792e-07,4.30164032806478e-07,1.4142572954279e-07,0.319519547875161,1.25992053719923e-08,126,"CPCRW_30d_low_CW_r1","C69","CPCRW","lowland","constant weight","30 day",1
"71",0.000161775412055497,4.58250012991988e-06,2.15700549407329e-06,1.75504281437515e-06,1.8507923615365e-06,0.858037852301181,2.1371109362944e-07,75,"CPCRW_90d_low_FAD_r4","C71","CPCRW","lowland","forced","90 day",4
"72",7.42435846019511e-05,1.80672447235399e-06,6.18696538349593e-07,3.16045886152894e-07,7.11196808808447e-07,1.14950830451647,6.49230891683459e-08,120,"CPCRW_150d_low_CW_r3","C72","CPCRW","lowland","constant weight","150 day",3
"75",4.78932164962916e-05,7.65407004185198e-07,2.85078669620783e-07,2.15323668490936e-07,2.48893327676385e-07,0.873068925175872,1.92025371218394e-08,168,"CPCRW_30d_low_FAD_r2","C75","CPCRW","lowland","forced","30 day",2
"77",0.000304707225582126,8.75544719058505e-06,2.43765780465701e-06,8.98741999283065e-07,3.22515417731195e-06,1.32305452026551,2.88466559135478e-07,125,"CPCRW_90d_low_FAD_r1","C77","CPCRW","lowland","forced","90 day",1
"82",1.31962153831776e-05,2.42219876517834e-07,1.19965594392523e-07,5.57376948973718e-08,9.94212934684097e-08,0.828748392169064,9.47944838965358e-09,110,"CPCRW_30d_up_CW_r1","C82","CPCRW","upland","constant weight","30 day",1
"86",1.35143141874163e-05,4.05280217529712e-07,2.8154821223784e-07,2.8154821223784e-07,1.25041375144755e-07,0.444120650423897,1.80481678999163e-08,48,"CPCRW_90d_low_CW_r1","C86","CPCRW","lowland","constant weight","90 day",1
"9",3.27238509493885e-05,4.29603221724044e-07,2.9748955408535e-07,3.36711876258119e-07,1.14060790682151e-07,0.383411078190084,1.08752696815204e-08,110,"CPCRW_30d_up_CW_r2","C9","CPCRW","upland","constant weight","30 day",2
