"Site","drying","length","cum","max","mean","median"
"CPCRW","constant weight","150 day",0.226925989691635,0.000214861136481137,7.56429778529325e-05,6.05264822961768e-05
"CPCRW","forced","30 day",0.237701425142148,0.00025603018751528,7.41103496275771e-05,6.18700766928499e-05
