"Site","drying","length","cum","max","mean","median"
"CPCRW","constant weight","150 day",0.00086687370000148,2.1619942436099e-05,9.02893825658114e-06,3.49589909914697e-06
"CPCRW","constant weight","30 day",0.000734262055566043,2.68512810455822e-05,1.18034335038067e-05,7.47664692209841e-06
"CPCRW","constant weight","90 day",0.000629414603779366,2.2678383261725e-05,9.50289415800262e-06,5.01467961283029e-06
"CPCRW","forced","30 day",0.000370097300168147,8.32955163110749e-06,4.78773552486198e-06,4.3051470145556e-06
"CPCRW","forced","90 day",0.000331753753936775,1.15436074705374e-05,7.74598946806922e-06,6.14145045127578e-06
